VALEUR,#briseis,#pyrrhus,#polixene,#alcime,#achille,#antilochus,#phenice,#ilione
Fréquences (scènes),0.52,0.56,0.28,0.2,0.36,0.12,0.12,0.04
Fréquences(répliques),0.24143739472206627,0.22290847838293093,0.2240314430095452,0.05951712521055587,0.21897810218978103,0.015160022459292532,0.011791128579449747,0.006176305446378439
Confrontation,0.2571428571428571,0.2571428571428571,0.14285714285714285,0.08571428571428572,0.12857142857142856,0.05714285714285714,0.05714285714285714,0.014285714285714285
Déviations,#briseis,#pyrrhus,#polixene,#alcime,#achille,#antilochus,#phenice,#ilione
#briseis,5.760000000000001,0.07120879120879098,0.11252747252747271,0.9846153846153848,1.5347008547008545,0.20102564102564105,1.3292307692307692,0.52
#pyrrhus,0.07120879120879098,4.839999999999996,0.2975510204081628,2.8000000000000007,1.8336507936507938,1.0371428571428567,1.6800000000000002,0.56
#polixene,0.11252747252747271,0.2975510204081628,12.959999999999992,1.4000000000000004,0.9168253968253969,0.8400000000000001,0.8400000000000001,1.8514285714285712
#alcime,0.9846153846153848,2.8000000000000003,1.4000000000000001,16.0,2.6888888888888896,0.6,0.2666666666666667,0.20000000000000004
#achille,1.5347008547008545,1.8336507936507944,0.9168253968253972,2.688888888888889,10.24,1.08,1.08,0.36
#antilochus,0.20102564102564105,1.0371428571428567,0.8400000000000001,0.6000000000000001,1.08,19.360000000000003,0.36,0.12
#phenice,1.3292307692307692,1.6800000000000002,0.8400000000000001,0.2666666666666665,1.08,0.36,19.360000000000003,0.12
#ilione,0.52,0.56,1.8514285714285712,0.20000000000000004,0.36,0.12,0.12,23.04
Successions,#briseis,#pyrrhus,#polixene,#alcime,#achille,#antilochus,#phenice,#ilione
#briseis,0.04,0.34,0.18,0.1,0.22,0.02,0.1,0.0
#pyrrhus,0.32653061224489793,0.02040816326530612,0.30612244897959184,0.02040816326530612,0.24489795918367346,0.08163265306122448,0.0,0.0
#polixene,0.2727272727272727,0.45454545454545453,0.030303030303030304,0.0,0.18181818181818182,0.0,0.0,0.06060606060606061
#alcime,0.3,0.0,0.05,0.0,0.65,0.0,0.0,0.0
#achille,0.2391304347826087,0.2826086956521739,0.10869565217391304,0.30434782608695654,0.06521739130434782,0.0,0.0,0.0
#antilochus,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0
#phenice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ilione,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
