VALEUR,#persee,#didas,#onomaste,#erixene,#phenice,#demetrius,#philippe,#antigonus
Fréquences (scènes),0.2903225806451613,0.1935483870967742,0.0967741935483871,0.5483870967741935,0.1935483870967742,0.22580645161290322,0.5161290322580645,0.12903225806451613
Fréquences(répliques),0.18869687062120505,0.0831387202241943,0.03362914525922466,0.2050443717888837,0.04203643157403083,0.2087809434843531,0.20270901447921533,0.03596450256889304
Confrontation,0.14130434782608695,0.08695652173913043,0.043478260869565216,0.2391304347826087,0.09782608695652174,0.09782608695652174,0.25,0.043478260869565216
Déviations,#persee,#didas,#onomaste,#erixene,#phenice,#demetrius,#philippe,#antigonus
#persee,15.612903225806448,0.3160095579450418,0.019115890083632018,0.17731393632721906,0.3160095579450418,0.0005120327700972854,0.08960573476702495,1.161290322580645
#didas,0.316009557945042,20.16129032258065,0.5806451612903225,1.594244149272612,1.161290322580645,0.3072196620583718,0.2634408602150538,0.7741935483870968
#onomaste,0.019115890083631983,0.5806451612903225,25.29032258064517,0.25300442757748254,0.5806451612903225,0.6774193548387096,0.1317204301075269,0.3870967741935484
#erixene,0.17731393632721906,1.594244149272612,0.25300442757748254,6.322580645161291,2.231499051233397,0.18324749254540515,0.8771347248576846,0.6494307400379505
#phenice,0.316009557945042,1.161290322580645,0.5806451612903225,2.231499051233397,20.16129032258065,1.3548387096774193,0.38844086021505375,0.7741935483870968
#demetrius,0.0005120327700972854,0.3072196620583718,0.6774193548387096,0.18324749254540515,1.3548387096774193,18.580645161290327,0.7200460829493086,0.9032258064516129
#philippe,0.08960573476702517,0.2634408602150538,0.1317204301075269,0.8771347248576846,0.38844086021505375,0.7200460829493086,7.258064516129033,0.4238911290322581
#antigonus,1.1612903225806452,0.7741935483870968,0.3870967741935484,0.6494307400379505,0.7741935483870968,0.9032258064516129,0.4238911290322581,23.516129032258064
Successions,#persee,#didas,#onomaste,#erixene,#phenice,#demetrius,#philippe,#antigonus
#persee,0.05263157894736842,0.07894736842105263,0.18421052631578946,0.2894736842105263,0.02631578947368421,0.13157894736842105,0.21052631578947367,0.02631578947368421
#didas,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.0
#onomaste,0.7777777777777778,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
#erixene,0.1935483870967742,0.016129032258064516,0.0,0.04838709677419355,0.22580645161290322,0.3387096774193548,0.11290322580645161,0.06451612903225806
#phenice,0.05555555555555555,0.0,0.0,0.7777777777777778,0.0,0.0,0.16666666666666666,0.0
#demetrius,0.15384615384615385,0.15384615384615385,0.0,0.5641025641025641,0.02564102564102564,0.0,0.10256410256410256,0.0
#philippe,0.14285714285714285,0.30357142857142855,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.125,0.07142857142857142,0.17857142857142858
#antigonus,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
