VALEUR,#alceste,#philinte,#flipotte,#oronte,#alceste #philinte,#monsieur-loyal,#celimene,#celimene #philinte
Fréquences (scènes),1.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
Fréquences(répliques),0.3709677419354839,0.187683284457478,0.001466275659824047,0.21994134897360704,0.001466275659824047,0.08797653958944282,0.12903225806451613,0.001466275659824047
Confrontation,0.2619047619047619,0.2619047619047619,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.07142857142857142,0.07142857142857142
Déviations,#alceste,#philinte,#flipotte,#oronte,#alceste #philinte,#monsieur-loyal,#celimene,#celimene #philinte
#alceste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philinte,0.0,0.16666666666666655,0.03333333333333337,0.03333333333333337,0.03333333333333337,0.03333333333333337,0.03333333333333337,0.03333333333333337
#flipotte,0.0,0.03333333333333332,4.166666666666668,4.166666666666668,4.166666666666668,0.16666666666666666,0.16666666666666666,0.16666666666666666
#flipotte,0.0,0.03333333333333332,4.166666666666668,4.166666666666668,4.166666666666668,0.16666666666666666,0.16666666666666666,0.16666666666666666
#flipotte,0.0,0.03333333333333332,4.166666666666668,4.166666666666668,4.166666666666668,0.16666666666666666,0.16666666666666666,0.16666666666666666
#monsieur-loyal,0.0,0.03333333333333332,0.16666666666666666,0.16666666666666666,0.16666666666666666,4.166666666666668,0.16666666666666666,0.16666666666666666
#celimene,0.0,0.03333333333333332,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,4.166666666666668,4.166666666666668
#celimene,0.0,0.03333333333333332,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,4.166666666666668,4.166666666666668
Successions,#alceste,#philinte,#flipotte,#oronte,#alceste #philinte,#monsieur-loyal,#celimene,#celimene #philinte
#alceste,0.03225806451612903,0.3333333333333333,0.010752688172043012,0.5053763440860215,0.0,0.10752688172043011,0.0,0.010752688172043012
#philinte,0.45901639344262296,0.01639344262295082,0.0,0.14754098360655737,0.0,0.03278688524590164,0.3442622950819672,0.0
#flipotte,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#oronte,0.8771929824561403,0.10526315789473684,0.0,0.0,0.017543859649122806,0.0,0.0,0.0
#alceste #philinte,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#monsieur-loyal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#flipotte,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#flipotte,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
