VALEUR,#madame-dubuisson,#monsieur-dubuisson,#la-montagne,#mathurine,#lucas,#leandre,#marthon,#lucile,#monsieur-caton,#le-rotisseur,#monsieur-bavardin,#la-paysanne,#la-bohemienne,#monsieur-orgon
Fréquences (scènes),0.13043478260869565,0.6086956521739131,0.391304347826087,0.30434782608695654,0.17391304347826086,0.2608695652173913,0.13043478260869565,0.08695652173913043,0.4782608695652174,0.043478260869565216,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.043478260869565216
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24390243902439024,0.7560975609756098,0.0
Confrontation,0.07339449541284404,0.1559633027522936,0.12844036697247707,0.07339449541284404,0.05963302752293578,0.0779816513761468,0.05045871559633028,0.04128440366972477,0.14678899082568808,0.009174311926605505,0.08256880733944955,0.03211009174311927,0.03211009174311927,0.03669724770642202
Déviations,#madame-dubuisson,#monsieur-dubuisson,#la-montagne,#mathurine,#lucas,#leandre,#marthon,#lucile,#monsieur-caton,#le-rotisseur,#monsieur-bavardin,#la-paysanne,#la-bohemienne,#monsieur-orgon
#madame-dubuisson,17.39130434782609,0.7546583850931675,0.5813204508856681,0.008281573498964792,0.43840579710144933,0.060386473429951744,0.9468599033816427,2.094202898550724,0.22266139657443992,0.13043478260869565,0.060386473429951744,5.797101449275362,5.797101449275362,5.797101449275362
#monsieur-dubuisson,0.7546583850931678,3.5217391304347814,0.04175293305728094,0.015971606033717865,0.845496894409938,0.7474120082815734,0.3737060041407867,0.03881987577639754,0.7930547713156405,0.2515527950310558,0.03312629399585926,0.2515527950310558,0.2515527950310558,0.2515527950310558
#la-montagne,0.5813204508856685,0.04175293305728094,8.52173913043478,0.024844720496894377,1.3152173913043481,1.162640901771337,0.02576489533011269,0.060386473429951744,0.021519543258673758,0.3913043478260869,0.05152979066022538,0.9468599033816427,0.9468599033816427,0.9468599033816427
#mathurine,0.008281573498964814,0.015971606033717865,0.024844720496894377,11.130434782608695,0.5031055900621116,0.3737060041407867,0.9130434782608695,0.6086956521739131,0.5426312817617166,0.30434782608695654,0.01656314699792963,0.30434782608695654,0.30434782608695654,1.590062111801242
#lucas,0.43840579710144933,0.845496894409938,1.3152173913043477,0.5031055900621116,15.695652173913043,3.6684782608695654,0.5217391304347826,0.34782608695652173,0.43577075098814233,0.17391304347826086,0.0018115942028985484,0.17391304347826086,0.17391304347826086,3.9239130434782608
#leandre,0.060386473429951744,0.7474120082815736,1.1626409017713362,0.3737060041407868,3.6684782608695654,12.56521739130435,0.060386473429951744,0.43840579710144933,0.26350461133069847,0.2608695652173913,0.20410628019323662,0.2608695652173913,0.2608695652173913,2.094202898550724
#marthon,0.9468599033816427,0.3737060041407868,0.02576489533011275,0.9130434782608696,0.5217391304347826,0.060386473429951744,17.39130434782609,11.594202898550725,0.22266139657443992,0.13043478260869565,0.060386473429951744,5.797101449275362,5.797101449275362,0.13043478260869565
#lucile,2.094202898550724,0.03881987577639754,0.06038647342995167,0.6086956521739131,0.34782608695652173,0.43840579710144933,11.594202898550725,19.17391304347826,0.0019762845849802344,0.08695652173913043,0.5217391304347826,9.58695652173913,9.58695652173913,0.08695652173913043
