VALEUR,#monsieur-le-comte,#la-france,#monsieur-dancourt,#madame-de-chanvallon,#monsieur-barry,#jodelet,#garguille,#spacamonte,#zerbinette,#mostelin,#isabelle,#cascaret,#tous-ensemble,#margot
Fréquences (scènes),0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.6190476190476191,0.2857142857142857,0.23809523809523808,0.5238095238095238,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.047619047619047616
Fréquences(répliques),0.0,0.0,0.0,0.0,0.27835051546391754,0.26804123711340205,0.0,0.061855670103092786,0.12371134020618557,0.12371134020618557,0.061855670103092786,0.0,0.020618556701030927,0.061855670103092786
Confrontation,0.013333333333333334,0.006666666666666667,0.006666666666666667,0.013333333333333334,0.06,0.22,0.06,0.07333333333333333,0.18666666666666668,0.11333333333333333,0.14666666666666667,0.02,0.04,0.04
Déviations,#monsieur-le-comte,#la-france,#monsieur-dancourt,#madame-de-chanvallon,#monsieur-barry,#jodelet,#garguille,#spacamonte,#zerbinette,#mostelin,#isabelle,#cascaret,#tous-ensemble,#margot
#monsieur-le-comte,17.190476190476193,8.595238095238097,8.595238095238097,0.09523809523809523,0.2857142857142857,1.2380952380952381,0.5714285714285714,0.47619047619047616,1.0476190476190477,0.5714285714285714,0.6666666666666666,0.09523809523809523,0.09523809523809523,0.09523809523809523
#la-france,8.595238095238097,19.047619047619047,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.6190476190476191,0.2857142857142857,0.23809523809523808,0.5238095238095238,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.047619047619047616
#monsieur-dancourt,8.595238095238097,0.047619047619047616,19.047619047619047,0.047619047619047616,0.14285714285714285,0.6190476190476191,0.2857142857142857,0.23809523809523808,0.5238095238095238,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.047619047619047616
#madame-de-chanvallon,0.09523809523809523,0.047619047619047616,0.047619047619047616,19.047619047619047,5.142857142857144,0.23443223443223438,0.2857142857142857,0.23809523809523808,0.5238095238095238,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.047619047619047616
#monsieur-barry,0.2857142857142857,0.14285714285714285,0.14285714285714285,5.142857142857144,15.428571428571432,0.7032967032967032,0.8571428571428571,0.7142857142857142,0.2077922077922079,0.023809523809523826,0.0,0.14285714285714285,5.142857142857144,5.142857142857144
#jodelet,1.2380952380952381,0.6190476190476191,0.6190476190476191,0.23443223443223438,0.7032967032967036,3.047619047619048,0.791208791208791,0.2644688644688647,0.20812520812520788,0.4450549450549453,1.6410256410256414,0.23443223443223438,0.23443223443223438,0.23443223443223438
#garguille,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.7912087912087914,10.714285714285714,0.22857142857142873,0.006493506493506528,0.29761904761904756,0.5,0.2857142857142857,0.2857142857142857,0.2857142857142857
#spacamonte,0.47619047619047616,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.7142857142857142,0.2644688644688644,0.22857142857142873,12.19047619047619,0.14632034632034632,0.22857142857142873,0.26666666666666655,0.23809523809523808,0.23809523809523808,0.23809523809523808
#zerbinette,1.0476190476190474,0.5238095238095237,0.5238095238095237,0.5238095238095237,0.20779220779220778,0.20812520812520788,0.006493506493506488,0.14632034632034632,4.761904761904762,0.23376623376623382,3.0303030303030307,0.4329004329004331,0.4329004329004331,0.4329004329004331
#mostelin,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.023809523809523826,0.4450549450549449,0.29761904761904756,0.22857142857142873,0.23376623376623354,10.714285714285714,0.0,0.2857142857142857,1.7857142857142858,1.7857142857142858
#isabelle,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.64102564102564,0.5,0.26666666666666655,3.0303030303030294,0.0,9.333333333333336,1.3333333333333337,1.3333333333333337,1.3333333333333337
#cascaret,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.23443223443223438,0.2857142857142857,0.23809523809523808,0.43290043290043284,0.2857142857142857,1.3333333333333337,19.047619047619047,0.047619047619047616,0.047619047619047616
#tous-ensemble,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,5.142857142857144,0.23443223443223438,0.2857142857142857,0.23809523809523808,0.43290043290043284,1.7857142857142858,1.3333333333333337,0.047619047619047616,19.047619047619047,19.047619047619047
#tous-ensemble,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,5.142857142857144,0.23443223443223438,0.2857142857142857,0.23809523809523808,0.43290043290043284,1.7857142857142858,1.3333333333333337,0.047619047619047616,19.047619047619047,19.047619047619047
