VALEUR,#damis,#la-vigne,#eraste,#l-olive,#lisette,#olimpe,#angelique,#dorante,#lisimon
Fréquences (scènes),0.36,0.4,0.16,0.24,0.56,0.32,0.52,0.08,0.08
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.16233766233766234,0.16233766233766234,0.06493506493506493,0.07792207792207792,0.19480519480519481,0.11038961038961038,0.16233766233766234,0.032467532467532464,0.032467532467532464
Déviations,#damis,#la-vigne,#eraste,#l-olive,#lisette,#olimpe,#angelique,#dorante,#lisimon
#damis,10.24,5.377777777777778,0.13444444444444442,0.622962962962963,0.21460317460317493,0.43555555555555564,0.021880341880341922,0.10888888888888891,0.10888888888888891
#la-vigne,5.377777777777779,9.0,0.09999999999999995,0.06666666666666664,0.4571428571428574,0.012500000000000022,0.276923076923077,0.049999999999999975,0.049999999999999975
#eraste,0.13444444444444442,0.09999999999999995,17.639999999999997,4.335,0.02571428571428576,0.061250000000000006,0.5607692307692308,0.32,0.32
#l-olive,0.622962962962963,0.06666666666666678,4.335,14.440000000000005,0.03857142857142864,0.0033333333333333396,1.4405128205128206,0.48,0.48
#lisette,0.21460317460317463,0.45714285714285785,0.02571428571428576,0.03857142857142864,4.839999999999996,0.06035714285714275,0.4063736263736258,0.6914285714285713,0.01285714285714288
#olimpe,0.43555555555555564,0.012500000000000022,0.061250000000000006,0.0033333333333333396,0.06035714285714275,11.559999999999997,1.1215384615384616,0.64,0.64
#angelique,0.021880341880341922,0.276923076923077,0.5607692307692308,1.4405128205128206,0.4063736263736258,1.1215384615384616,5.760000000000001,0.0015384615384615413,0.8861538461538461
#dorante,0.10888888888888891,0.049999999999999975,0.32,0.48,0.6914285714285713,0.64,0.0015384615384615413,21.16,0.16
#lisimon,0.10888888888888891,0.049999999999999975,0.32,0.48,0.01285714285714288,0.64,0.8861538461538461,0.16,21.16
Successions,#damis,#la-vigne,#eraste,#l-olive,#lisette,#olimpe,#angelique,#dorante,#lisimon
#damis,0.0,0.22727272727272727,0.022727272727272728,0.0,0.25,0.11363636363636363,0.3409090909090909,0.022727272727272728,0.022727272727272728
#la-vigne,0.38636363636363635,0.0,0.022727272727272728,0.4090909090909091,0.06818181818181818,0.045454545454545456,0.045454545454545456,0.0,0.022727272727272728
#eraste,0.0967741935483871,0.03225806451612903,0.0,0.7419354838709677,0.03225806451612903,0.0,0.0967741935483871,0.0,0.0
#l-olive,0.0,0.28125,0.34375,0.0,0.3125,0.015625,0.046875,0.0,0.0
#lisette,0.1015625,0.0546875,0.015625,0.15625,0.0078125,0.1171875,0.4296875,0.078125,0.0390625
#olimpe,0.07407407407407407,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.6296296296296297,0.0,0.037037037037037035,0.0,0.0
#angelique,0.11627906976744186,0.023255813953488372,0.03488372093023256,0.023255813953488372,0.7093023255813954,0.046511627906976744,0.0,0.046511627906976744,0.0
#dorante,0.0,0.06666666666666667,0.0,0.0,0.6666666666666666,0.0,0.26666666666666666,0.0,0.0
#lisimon,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0
