VALEUR,#nanette,#sophie,#monsieur-martin,#gros-jean,#nicolas,#mademoiselle-giraut,#monsieur-pruneau,#dorante,#bracassak,#mademoiselle-bracassak,#barbalou
Fréquences (scènes),0.18181818181818182,0.5454545454545454,0.36363636363636365,0.13636363636363635,0.09090909090909091,0.4090909090909091,0.2727272727272727,0.5454545454545454,0.22727272727272727,0.2727272727272727,0.09090909090909091
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.13414634146341464,0.0,0.0,0.8658536585365854,0.0,0.0
Confrontation,0.0761904761904762,0.14761904761904762,0.1,0.02857142857142857,0.023809523809523808,0.11904761904761904,0.10952380952380952,0.18095238095238095,0.0761904761904762,0.09047619047619047,0.047619047619047616
Déviations,#nanette,#sophie,#monsieur-martin,#gros-jean,#nicolas,#mademoiselle-giraut,#monsieur-pruneau,#dorante,#bracassak,#mademoiselle-bracassak,#barbalou
#nanette,14.727272727272725,0.30681818181818193,0.14204545454545456,0.5454545454545454,0.36363636363636365,1.1363636363636362,3.3409090909090917,0.30681818181818193,0.009090909090909097,0.007575757575757562,1.1136363636363635
#sophie,0.30681818181818193,4.545454545454547,0.4261363636363635,1.6363636363636362,0.007575757575757562,0.0016835016835016804,0.16161616161616174,0.920454545454546,1.0939393939393938,0.16161616161616174,0.007575757575757562
#monsieur-martin,0.14204545454545456,0.4261363636363635,8.909090909090908,0.7575757575757578,0.10227272727272725,0.02272727272727276,0.015151515151515124,0.4261363636363635,0.7681818181818183,0.015151515151515124,0.10227272727272725
#gros-jean,0.5454545454545454,1.6363636363636362,0.7575757575757578,16.40909090909091,1.9393939393939397,1.2272727272727273,0.8181818181818181,0.2474747474747474,2.5484848484848492,0.8181818181818181,0.2727272727272727
#nicolas,0.36363636363636365,0.007575757575757562,0.10227272727272725,1.9393939393939397,18.18181818181818,0.8181818181818182,0.5454545454545454,0.007575757575757562,0.45454545454545453,0.3787878787878789,0.18181818181818182
#mademoiselle-giraut,1.1363636363636362,0.0016835016835017136,0.02272727272727276,1.227272727272727,0.8181818181818182,7.681818181818182,5.121212121212123,0.0016835016835017136,0.5343434343434342,0.8619528619528616,0.04040404040404038
#monsieur-pruneau,3.3409090909090917,0.16161616161616174,0.015151515151515124,0.8181818181818181,0.5454545454545454,5.121212121212121,11.636363636363635,0.911616161616162,0.09696969696969691,0.2474747474747474,0.3787878787878789
#dorante,0.30681818181818193,0.920454545454546,0.4261363636363635,0.2474747474747474,0.007575757575757562,0.0016835016835016804,0.911616161616162,4.545454545454547,0.5939393939393942,0.911616161616162,0.7575757575757578
#bracassak,0.009090909090909073,1.0939393939393938,0.7681818181818179,2.5484848484848492,0.4545454545454546,0.5343434343434342,0.09696969696969691,0.5939393939393942,13.136363636363638,0.2969696969696971,0.6545454545454544
#mademoiselle-bracassak,0.007575757575757562,0.16161616161616174,0.015151515151515124,0.8181818181818181,0.3787878787878789,0.8619528619528619,0.2474747474747474,0.911616161616162,0.2969696969696971,11.636363636363635,3.8787878787878793
#barbalou,1.1136363636363635,0.007575757575757562,0.10227272727272725,0.2727272727272727,0.18181818181818182,0.04040404040404038,0.3787878787878789,0.7575757575757578,0.6545454545454544,3.8787878787878793,18.18181818181818
Successions,#nanette,#sophie,#monsieur-martin,#gros-jean,#nicolas,#mademoiselle-giraut,#monsieur-pruneau,#dorante,#bracassak,#mademoiselle-bracassak,#barbalou
#nanette,0.0,0.7142857142857143,0.03571428571428571,0.0,0.0,0.17857142857142858,0.07142857142857142,0.0,0.0,0.0,0.0
#sophie,0.37254901960784315,0.0196078431372549,0.058823529411764705,0.0,0.0392156862745098,0.17647058823529413,0.0392156862745098,0.1568627450980392,0.0196078431372549,0.0784313725490196,0.0392156862745098
#monsieur-martin,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.15789473684210525,0.19736842105263158,0.32894736842105265,0.02631578947368421,0.06578947368421052,0.13157894736842105,0.039473684210526314,0.0
#gros-jean,0.0,0.0,0.39285714285714285,0.0,0.21428571428571427,0.0,0.0,0.17857142857142858,0.21428571428571427,0.0,0.0
#nicolas,0.0,0.03225806451612903,0.4838709677419355,0.1935483870967742,0.0,0.0,0.0,0.1935483870967742,0.0,0.0967741935483871,0.0
#mademoiselle-giraut,0.10526315789473684,0.15789473684210525,0.42105263157894735,0.0,0.0,0.03508771929824561,0.22807017543859648,0.05263157894736842,0.0,0.0,0.0
#monsieur-pruneau,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,0.7368421052631579,0.0,0.05263157894736842,0.0,0.0,0.0
#dorante,0.0,0.2033898305084746,0.05084745762711865,0.05084745762711865,0.06779661016949153,0.03389830508474576,0.0,0.0,0.423728813559322,0.05084745762711865,0.11864406779661017
#bracassak,0.0,0.0,0.23404255319148937,0.14893617021276595,0.02127659574468085,0.0,0.0,0.48936170212765956,0.0,0.0851063829787234,0.02127659574468085
#mademoiselle-bracassak,0.0,0.2777777777777778,0.2222222222222222,0.0,0.16666666666666666,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111
#barbalou,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.08333333333333333,0.0
