VALEUR,#lucas,#lisette,#angelique,#monsieur-bernard,#l-olive,#dorante,#monsieur-bernard #lucas,#maturine,#le-chevalier
Fréquences (scènes),0.4782608695652174,0.6086956521739131,0.5217391304347826,0.391304347826087,0.5217391304347826,0.34782608695652173,0.043478260869565216,0.043478260869565216,0.043478260869565216
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.15346534653465346,0.16336633663366337,0.1782178217821782,0.1485148514851485,0.1485148514851485,0.13366336633663367,0.019801980198019802,0.024752475247524754,0.0297029702970297
Déviations,#lucas,#lisette,#angelique,#monsieur-bernard,#l-olive,#dorante,#monsieur-bernard #lucas,#maturine,#le-chevalier
#lucas,6.260869565217391,0.07227555053642018,0.011857707509881446,1.6881862099253395,0.09519104084321468,0.007905138339920938,0.5691699604743082,0.5691699604743082,0.5691699604743082
#lisette,0.07227555053642018,3.5217391304347814,1.8698240165631477,0.04175293305728094,0.7269668737060039,0.15527950310559016,0.2515527950310558,0.6086956521739131,0.2515527950310558
#angelique,0.011857707509881365,1.8698240165631463,5.2608695652173925,0.36231884057970987,0.25392512077294666,0.16349637681159426,0.43840579710144933,0.43840579710144933,0.43840579710144933
#monsieur-bernard,1.6881862099253395,0.04175293305728094,0.3623188405797104,8.52173913043478,0.019726247987117616,0.24154589371980698,0.9468599033816427,0.9468599033816427,0.9468599033816427
#l-olive,0.0951910408432149,0.7269668737060043,0.25392512077294666,0.019726247987117498,5.2608695652173925,3.5072463768115947,0.5217391304347826,0.43840579710144933,0.43840579710144933
#dorante,0.007905138339920938,0.15527950310559016,0.16349637681159426,0.24154589371980667,3.5072463768115947,9.782608695652174,0.34782608695652173,1.2228260869565217,1.2228260869565217
#monsieur-bernard #lucas,0.5691699604743082,0.2515527950310558,0.43840579710144933,0.9468599033816426,0.5217391304347826,0.34782608695652173,21.043478260869566,0.043478260869565216,0.043478260869565216
#maturine,0.5691699604743082,0.6086956521739131,0.43840579710144933,0.9468599033816426,0.43840579710144933,1.2228260869565217,0.043478260869565216,21.043478260869566,0.043478260869565216
#le-chevalier,0.5691699604743082,0.2515527950310558,0.43840579710144933,0.9468599033816426,0.43840579710144933,1.2228260869565217,0.043478260869565216,0.043478260869565216,21.043478260869566
Successions,#lucas,#lisette,#angelique,#monsieur-bernard,#l-olive,#dorante,#monsieur-bernard #lucas,#maturine,#le-chevalier
#lucas,0.0,0.3561643835616438,0.0821917808219178,0.3698630136986301,0.1643835616438356,0.0273972602739726,0.0,0.0,0.0
#lisette,0.2,0.0,0.375,0.13333333333333333,0.21666666666666667,0.058333333333333334,0.0,0.0,0.016666666666666666
#angelique,0.11363636363636363,0.4318181818181818,0.0,0.3181818181818182,0.045454545454545456,0.06818181818181818,0.011363636363636364,0.0,0.011363636363636364
#monsieur-bernard,0.25,0.2159090909090909,0.2727272727272727,0.011363636363636364,0.125,0.06818181818181818,0.0,0.0,0.056818181818181816
#l-olive,0.1566265060240964,0.3614457831325301,0.024096385542168676,0.10843373493975904,0.0,0.3253012048192771,0.0,0.0,0.024096385542168676
#dorante,0.0625,0.08333333333333333,0.1875,0.08333333333333333,0.5625,0.0,0.0,0.020833333333333332,0.0
#monsieur-bernard #lucas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#maturine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.0,0.2,0.2,0.3,0.3,0.0,0.0,0.0,0.0
