VALEUR,#artabaze,#amidor,#filidan,#hesperie,#lysandre,#alcidon,#phalante,#melisse,#sestiane
Fréquences (scènes),0.2647058823529412,0.3235294117647059,0.3235294117647059,0.23529411764705882,0.29411764705882354,0.4117647058823529,0.11764705882352941,0.23529411764705882,0.14705882352941177
Fréquences(répliques),0.14662349676225717,0.1780758556891767,0.08926919518963922,0.11332099907493062,0.06244218316373728,0.1276595744680851,0.11609620721554116,0.09805735430157261,0.06845513413506013
Confrontation,0.07462686567164178,0.12686567164179105,0.1417910447761194,0.11940298507462686,0.14925373134328357,0.17164179104477612,0.04477611940298507,0.08955223880597014,0.08208955223880597
Déviations,#artabaze,#amidor,#filidan,#hesperie,#lysandre,#alcidon,#phalante,#melisse,#sestiane
#artabaze,18.38235294117647,0.002673796791443831,0.002673796791443831,2.1176470588235294,1.0248366013071895,1.975723622782446,1.0588235294117647,0.0065359477124183035,1.3235294117647058
#amidor,0.0026737967914438584,15.558823529411764,0.5836169178415165,0.13368983957219255,1.544385026737968,1.4125286478227654,0.06684491978609627,0.9745989304812834,0.09037433155080213
#filidan,0.0026737967914438584,0.5836169178415165,15.558823529411764,0.06550802139037429,0.01711229946524065,0.5164247517188694,1.2941176470588236,0.9745989304812834,0.2358288770053476
#hesperie,2.1176470588235294,0.13368983957219255,0.06550802139037429,19.88235294117647,0.052941176470588255,0.026260504201680645,0.9411764705882353,0.6636029411764707,2.826470588235294
#lysandre,1.0248366013071895,1.544385026737968,0.01711229946524065,0.052941176470588255,16.941176470588232,5.7890756302521025,0.5764705882352941,0.7779411764705884,0.1505882352941177
#alcidon,1.9757236227824466,1.4125286478227654,0.5164247517188694,0.026260504201680645,5.789075630252099,11.764705882352938,0.07563025210084037,1.597689075630252,0.0016806722689075764
#phalante,1.0588235294117647,0.06684491978609627,1.2941176470588236,0.9411764705882353,0.5764705882352941,0.07563025210084037,26.470588235294116,0.003676470588235296,0.5882352941176471
#melisse,0.0065359477124183035,0.9745989304812834,0.9745989304812834,0.6636029411764707,0.7779411764705884,1.597689075630252,0.003676470588235296,19.88235294117647,0.5764705882352941
#sestiane,1.3235294117647058,0.09037433155080213,0.2358288770053476,2.826470588235294,0.1505882352941177,0.0016806722689075512,0.5882352941176471,0.5764705882352941,24.735294117647058
Successions,#artabaze,#amidor,#filidan,#hesperie,#lysandre,#alcidon,#phalante,#melisse,#sestiane
#artabaze,0.010752688172043012,0.26881720430107525,0.27956989247311825,0.0,0.021505376344086023,0.1827956989247312,0.0,0.22580645161290322,0.010752688172043012
#amidor,0.25773195876288657,0.0,0.18556701030927836,0.041237113402061855,0.010309278350515464,0.041237113402061855,0.30927835051546393,0.010309278350515464,0.14432989690721648
#filidan,0.4090909090909091,0.2727272727272727,0.015151515151515152,0.10606060606060606,0.06060606060606061,0.10606060606060606,0.0,0.030303030303030304,0.0
#hesperie,0.0,0.07142857142857142,0.19047619047619047,0.0,0.023809523809523808,0.3333333333333333,0.0,0.2857142857142857,0.09523809523809523
#lysandre,0.04081632653061224,0.02040816326530612,0.04081632653061224,0.02040816326530612,0.0,0.6326530612244898,0.16326530612244897,0.04081632653061224,0.04081632653061224
#alcidon,0.18478260869565216,0.03260869565217391,0.09782608695652174,0.16304347826086957,0.29347826086956524,0.021739130434782608,0.13043478260869565,0.05434782608695652,0.021739130434782608
#phalante,0.0,0.484375,0.015625,0.0,0.125,0.1875,0.0,0.1875,0.0
#melisse,0.36666666666666664,0.016666666666666666,0.0,0.16666666666666666,0.06666666666666667,0.05,0.23333333333333334,0.016666666666666666,0.08333333333333333
#sestiane,0.0,0.5172413793103449,0.034482758620689655,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.0,0.13793103448275862,0.034482758620689655
