VALEUR,#cecile,#le-commandeur,#germeuil,#le-pere-de-famille,#la-brie,#saint-albin,#madame-papillon,#monsieur-le-bon,#mademoiselle-clairet,#fille-de-boutique,#philippe,#madame-hebert,#sophie,#le-pere-de-germeuil,#deschamps,#cecile #saint-albin,#madame-hebert #monsieur-le-bon #deschamps,#madame-hebert #monsieur-le-bon,#sophie #madame-hebert,#le-pere-de-famille #saint-albin #madame-hebert #monsieur-le-bon,#saint-albin #cecile-germeuil #mademoiselle-clairet,#saint-albin #cecile,#l-exempt,#le-pere-de-famille #saint-albin #monsieur-le-bon
Fréquences (scènes),0.5283018867924528,0.33962264150943394,0.3018867924528302,0.4716981132075472,0.03773584905660377,0.37735849056603776,0.018867924528301886,0.03773584905660377,0.1509433962264151,0.018867924528301886,0.05660377358490566,0.09433962264150944,0.09433962264150944,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.14959016393442623,0.09221311475409837,0.06147540983606557,0.12090163934426229,0.012295081967213115,0.10860655737704918,0.012295081967213115,0.02663934426229508,0.055327868852459015,0.012295081967213115,0.018442622950819672,0.05327868852459016,0.0471311475409836,0.004098360655737705,0.004098360655737705,0.006147540983606557,0.014344262295081968,0.040983606557377046,0.02663934426229508,0.02663934426229508,0.02663934426229508,0.02663934426229508,0.02663934426229508,0.02663934426229508
Déviations,#cecile,#le-commandeur,#germeuil,#le-pere-de-famille,#la-brie,#saint-albin,#madame-papillon,#monsieur-le-bon,#mademoiselle-clairet,#fille-de-boutique,#philippe,#madame-hebert,#sophie,#le-pere-de-germeuil,#deschamps,#cecile #saint-albin,#madame-hebert #monsieur-le-bon #deschamps,#madame-hebert #monsieur-le-bon,#sophie #madame-hebert,#le-pere-de-famille #saint-albin #madame-hebert #monsieur-le-bon,#saint-albin #cecile-germeuil #mademoiselle-clairet,#saint-albin #cecile,#l-exempt,#le-pere-de-famille #saint-albin #monsieur-le-bon
#cecile,11.79245283018868,0.02729110512129377,0.7675623315363882,0.11040431266846357,0.8423180592991913,0.5606805929919131,0.4211590296495957,0.8423180592991913,0.1415936657681941,0.4211590296495957,0.10871518418688225,0.15579514824797855,0.04865229110512121,0.5283018867924528,0.5283018867924528,0.4211590296495957,0.4211590296495957,0.8423180592991913,0.4211590296495957,0.4211590296495957,0.4211590296495957,0.4211590296495957,0.4211590296495957,0.4211590296495957
#le-commandeur,0.02729110512129377,23.113207547169814,2.1700733752620542,0.7416771488469599,2.5681341719077575,0.4730083857442349,0.33962264150943394,0.15146750524109018,1.0850366876310271,0.33962264150943394,1.0188679245283019,0.9981132075471697,0.28700209643605873,0.33962264150943394,1.2840670859538788,0.33962264150943394,1.2840670859538788,2.5681341719077575,1.2840670859538788,1.2840670859538788,1.2840670859538788,1.2840670859538788,1.2840670859538788,1.2840670859538788
#germeuil,0.7675623315363882,2.1700733752620542,25.83018867924529,2.7396698113207547,0.6037735849056604,0.15336084905660363,0.3018867924528302,0.6037735849056604,0.14165683962264156,0.3018867924528302,0.9056603773584906,1.5094339622641508,0.15943396226415085,1.6143867924528306,0.3018867924528302,1.6143867924528306,0.3018867924528302,0.6037735849056604,0.3018867924528302,0.3018867924528302,0.3018867924528302,0.3018867924528302,0.3018867924528302,0.3018867924528302
#le-pere-de-famille,0.11040431266846357,0.7416771488469599,2.7396698113207547,14.79245283018868,1.1833962264150943,0.21796226415094355,0.5916981132075472,1.1833962264150943,0.8335849056603775,0.5916981132075472,0.24176100628930805,0.17449056603773574,0.05449056603773589,0.5916981132075472,0.4716981132075472,0.4716981132075472,0.5916981132075472,1.1833962264150943,0.5916981132075472,0.5916981132075472,0.5916981132075472,0.5916981132075472,0.5916981132075472,0.5916981132075472
#la-brie,0.8423180592991913,2.5681341719077575,0.6037735849056604,1.1833962264150943,49.075471698113205,0.7547169811320754,0.03773584905660377,0.07547169811320754,0.3018867924528302,0.03773584905660377,0.11320754716981132,0.18867924528301885,0.18867924528301885,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.07547169811320754,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377
#saint-albin,0.560680592991914,0.4730083857442345,0.15336084905660394,0.21796226415094355,0.7547169811320754,20.547169811320753,0.3773584905660377,0.07971698113207551,0.3438679245283018,0.3773584905660377,0.015408805031446534,0.6567924528301886,0.6567924528301886,0.3773584905660377,0.3773584905660377,1.027358490566038,1.027358490566038,2.054716981132076,1.027358490566038,1.027358490566038,1.027358490566038,1.027358490566038,1.027358490566038,1.027358490566038
#madame-papillon,0.4211590296495957,0.33962264150943394,0.3018867924528302,0.5916981132075472,0.03773584905660377,0.3773584905660377,51.0188679245283,24.537735849056602,4.775943396226416,51.0188679245283,15.723270440251572,0.09433962264150943,0.09433962264150943,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
#monsieur-le-bon,0.8423180592991913,0.15146750524109018,0.6037735849056604,1.1833962264150943,0.07547169811320754,0.07971698113207543,24.537735849056602,49.075471698113205,1.6143867924528306,24.537735849056602,6.946540880503145,3.488679245283019,0.18867924528301885,0.03773584905660377,0.03773584905660377,0.03773584905660377,24.537735849056602,11.325471698113208,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377
#mademoiselle-clairet,0.1415936657681941,1.0850366876310271,0.14165683962264156,0.8335849056603775,0.3018867924528302,0.343867924528302,4.775943396226416,1.6143867924528306,38.20754716981133,4.775943396226416,0.6611635220125786,0.07971698113207543,2.054716981132075,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.1509433962264151,1.6143867924528306,4.775943396226416,4.775943396226416,4.775943396226416,4.775943396226416,4.775943396226416,4.775943396226416
#madame-papillon,0.4211590296495957,0.33962264150943394,0.3018867924528302,0.5916981132075472,0.03773584905660377,0.3773584905660377,51.0188679245283,24.537735849056602,4.775943396226416,51.0188679245283,15.723270440251572,0.09433962264150943,0.09433962264150943,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
#philippe,0.10871518418688225,1.0188679245283019,0.9056603773584906,0.24176100628930824,0.11320754716981132,0.015408805031446584,15.723270440251572,6.946540880503145,0.6611635220125786,15.723270440251572,47.169811320754704,0.28301886792452835,0.28301886792452835,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.11320754716981132,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566
#madame-hebert,0.15579514824797838,0.99811320754717,1.5094339622641508,0.17449056603773574,0.18867924528301885,0.6567924528301886,0.09433962264150943,3.4886792452830195,0.07971698113207551,0.09433962264150943,0.2830188679245283,43.471698113207545,13.551698113207546,0.09433962264150943,8.694339622641511,0.09433962264150943,8.694339622641511,17.388679245283022,8.694339622641511,8.694339622641511,8.694339622641511,8.694339622641511,8.694339622641511,8.694339622641511
#sophie,0.04865229110512133,0.2870020964360586,0.15943396226415102,0.05449056603773589,0.18867924528301885,0.6567924528301886,0.09433962264150943,0.18867924528301885,2.054716981132076,0.09433962264150943,0.2830188679245283,13.551698113207546,43.471698113207545,0.09433962264150943,0.09433962264150943,0.09433962264150943,0.09433962264150943,3.4886792452830195,8.694339622641511,8.694339622641511,8.694339622641511,8.694339622641511,8.694339622641511,8.694339622641511
#le-pere-de-germeuil,0.5283018867924528,0.33962264150943394,1.6143867924528306,0.5916981132075472,0.03773584905660377,0.3773584905660377,0.018867924528301886,0.03773584905660377,0.1509433962264151,0.018867924528301886,0.05660377358490566,0.09433962264150943,0.09433962264150943,51.0188679245283,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
#deschamps,0.5283018867924528,1.2840670859538788,0.3018867924528302,0.4716981132075472,0.03773584905660377,0.3773584905660377,0.018867924528301886,0.03773584905660377,0.1509433962264151,0.018867924528301886,0.05660377358490566,8.69433962264151,0.09433962264150943,0.018867924528301886,51.0188679245283,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
#cecile #saint-albin,0.4211590296495957,0.33962264150943394,1.6143867924528306,0.4716981132075472,0.03773584905660377,1.0273584905660376,0.018867924528301886,0.03773584905660377,0.1509433962264151,0.018867924528301886,0.05660377358490566,0.09433962264150943,0.09433962264150943,0.018867924528301886,0.018867924528301886,51.0188679245283,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
#madame-hebert #monsieur-le-bon #deschamps,0.4211590296495957,1.2840670859538788,0.3018867924528302,0.5916981132075472,0.03773584905660377,1.0273584905660376,0.018867924528301886,24.537735849056602,0.1509433962264151,0.018867924528301886,0.05660377358490566,8.69433962264151,0.09433962264150943,0.018867924528301886,0.018867924528301886,0.018867924528301886,51.0188679245283,24.537735849056602,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
#madame-hebert #monsieur-le-bon,0.8423180592991913,2.5681341719077575,0.6037735849056604,1.1833962264150943,0.07547169811320754,2.054716981132075,0.03773584905660377,11.325471698113208,1.6143867924528306,0.03773584905660377,0.11320754716981132,17.38867924528302,3.488679245283019,0.03773584905660377,0.03773584905660377,0.03773584905660377,24.537735849056602,49.075471698113205,24.537735849056602,24.537735849056602,24.537735849056602,24.537735849056602,24.537735849056602,24.537735849056602
#sophie #madame-hebert,0.4211590296495957,1.2840670859538788,0.3018867924528302,0.5916981132075472,0.03773584905660377,1.0273584905660376,0.018867924528301886,0.03773584905660377,4.775943396226416,0.018867924528301886,0.05660377358490566,8.69433962264151,8.69433962264151,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,24.537735849056602,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283
#sophie #madame-hebert,0.4211590296495957,1.2840670859538788,0.3018867924528302,0.5916981132075472,0.03773584905660377,1.0273584905660376,0.018867924528301886,0.03773584905660377,4.775943396226416,0.018867924528301886,0.05660377358490566,8.69433962264151,8.69433962264151,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,24.537735849056602,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283
#sophie #madame-hebert,0.4211590296495957,1.2840670859538788,0.3018867924528302,0.5916981132075472,0.03773584905660377,1.0273584905660376,0.018867924528301886,0.03773584905660377,4.775943396226416,0.018867924528301886,0.05660377358490566,8.69433962264151,8.69433962264151,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,24.537735849056602,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283
#sophie #madame-hebert,0.4211590296495957,1.2840670859538788,0.3018867924528302,0.5916981132075472,0.03773584905660377,1.0273584905660376,0.018867924528301886,0.03773584905660377,4.775943396226416,0.018867924528301886,0.05660377358490566,8.69433962264151,8.69433962264151,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,24.537735849056602,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283
#sophie #madame-hebert,0.4211590296495957,1.2840670859538788,0.3018867924528302,0.5916981132075472,0.03773584905660377,1.0273584905660376,0.018867924528301886,0.03773584905660377,4.775943396226416,0.018867924528301886,0.05660377358490566,8.69433962264151,8.69433962264151,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,24.537735849056602,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283
#sophie #madame-hebert,0.4211590296495957,1.2840670859538788,0.3018867924528302,0.5916981132075472,0.03773584905660377,1.0273584905660376,0.018867924528301886,0.03773584905660377,4.775943396226416,0.018867924528301886,0.05660377358490566,8.69433962264151,8.69433962264151,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,24.537735849056602,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283,51.0188679245283
Successions,#cecile,#le-commandeur,#germeuil,#le-pere-de-famille,#la-brie,#saint-albin,#madame-papillon,#monsieur-le-bon,#mademoiselle-clairet,#fille-de-boutique,#philippe,#madame-hebert,#sophie,#le-pere-de-germeuil,#deschamps,#cecile #saint-albin,#madame-hebert #monsieur-le-bon #deschamps,#madame-hebert #monsieur-le-bon,#sophie #madame-hebert,#le-pere-de-famille #saint-albin #madame-hebert #monsieur-le-bon,#saint-albin #cecile-germeuil #mademoiselle-clairet,#saint-albin #cecile,#l-exempt,#le-pere-de-famille #saint-albin #monsieur-le-bon
#cecile,0.01910828025477707,0.18471337579617833,0.2356687898089172,0.21656050955414013,0.0,0.2356687898089172,0.0,0.0,0.05732484076433121,0.006369426751592357,0.0,0.0,0.044585987261146494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-commandeur,0.16374269005847952,0.029239766081871343,0.017543859649122806,0.39766081871345027,0.023391812865497075,0.25146198830409355,0.0,0.0,0.0,0.0,0.0,0.04678362573099415,0.029239766081871343,0.0,0.023391812865497075,0.0,0.005847953216374269,0.011695906432748537,0.0,0.0,0.0,0.0,0.0,0.0
#germeuil,0.4567901234567901,0.037037037037037035,0.024691358024691357,0.1728395061728395,0.0,0.19753086419753085,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.04938271604938271,0.012345679012345678,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pere-de-famille,0.1541501976284585,0.25296442687747034,0.05533596837944664,0.03162055335968379,0.011857707509881422,0.3241106719367589,0.0,0.015810276679841896,0.003952569169960474,0.0,0.007905138339920948,0.011857707509881422,0.11857707509881422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003952569169960474,0.003952569169960474,0.003952569169960474
#la-brie,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#saint-albin,0.15151515151515152,0.20346320346320346,0.06926406926406926,0.35064935064935066,0.0,0.03896103896103896,0.0,0.0,0.004329004329004329,0.0,0.017316017316017316,0.008658008658008658,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.004329004329004329,0.0,0.0,0.0,0.0,0.0
#madame-papillon,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-le-bon,0.2,0.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-clairet,0.5,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fille-de-boutique,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philippe,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-hebert,0.0,0.3333333333333333,0.05555555555555555,0.2222222222222222,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sophie,0.06818181818181818,0.03409090909090909,0.056818181818181816,0.32954545454545453,0.0,0.42045454545454547,0.0,0.0,0.0,0.0,0.0,0.056818181818181816,0.011363636363636364,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.011363636363636364,0.0,0.0,0.0
#le-pere-de-germeuil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#deschamps,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cecile #saint-albin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pere-de-germeuil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-hebert #monsieur-le-bon,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
#le-pere-de-germeuil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pere-de-germeuil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#saint-albin #cecile-germeuil #mademoiselle-clairet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#saint-albin #cecile,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#saint-albin #cecile,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pere-de-germeuil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
