VALEUR,#pancrace,#floridon,#polydas,#lidiane,#amarille,#pysandre,#cleanide,#luciane,#echo,#la-fortune,#premier-pecheur,#second-pecheur,#le-juge,#le-procureur,#le-greffier
Fréquences (scènes),0.36,0.32,0.4,0.32,0.24,0.36,0.2,0.32,0.04,0.04,0.08,0.04,0.08,0.04,0.04
Fréquences(répliques),0.1395021136683889,0.10521371535932363,0.21136683889149835,0.13151714419915453,0.09441052137153594,0.09628933771723815,0.038985439173320806,0.08172851103804603,0.010803193987787695,0.0,0.004227336777829967,0.0023485204321277596,0.06200093940817285,0.01972757162987318,0.0018788163457022077
Confrontation,0.08712121212121213,0.12121212121212122,0.10984848484848485,0.12121212121212122,0.0946969696969697,0.12121212121212122,0.0946969696969697,0.09090909090909091,0.026515151515151516,0.026515151515151516,0.01893939393939394,0.011363636363636364,0.045454545454545456,0.015151515151515152,0.015151515151515152
Déviations,#pancrace,#floridon,#polydas,#lidiane,#amarille,#pysandre,#cleanide,#luciane,#echo,#la-fortune,#premier-pecheur,#second-pecheur,#le-juge,#le-procureur,#le-greffier
#pancrace,10.24,0.005000000000000009,0.10000000000000002,0.26888888888888884,0.011851851851851872,0.1782716049382717,0.02222222222222221,3.3800000000000003,0.36,0.36,0.72,0.36,0.10888888888888891,0.36,0.36
#floridon,0.005000000000000009,11.559999999999997,0.012500000000000022,2.325625,2.253333333333334,0.005000000000000009,1.2249999999999999,0.12250000000000001,1.4449999999999996,1.4449999999999996,2.8899999999999992,1.4449999999999996,2.8899999999999992,1.4449999999999996,1.4449999999999996
#polydas,0.0999999999999999,0.012500000000000022,9.0,1.0124999999999997,1.0666666666666669,0.5444444444444448,0.5,0.012500000000000022,0.8999999999999999,0.8999999999999999,0.8000000000000002,0.4000000000000001,0.049999999999999975,0.4000000000000001,0.4000000000000001
#lidiane,0.26888888888888884,2.325625,1.0124999999999997,11.559999999999997,0.6075,0.43555555555555564,1.2249999999999999,0.12250000000000001,1.4449999999999996,1.4449999999999996,0.20249999999999999,1.4449999999999996,2.8899999999999992,1.4449999999999996,1.4449999999999996
#amarille,0.011851851851851872,2.253333333333334,1.066666666666666,0.6075,14.440000000000005,0.32666666666666655,2.699999999999999,0.0033333333333333396,2.4066666666666667,2.4066666666666667,0.5633333333333335,0.24,0.5633333333333335,0.24,0.24
#pysandre,0.1782716049382717,0.005000000000000009,0.5444444444444444,0.43555555555555564,0.32666666666666655,10.24,5.68888888888889,1.560555555555556,1.1377777777777778,1.1377777777777778,0.72,0.36,0.10888888888888891,0.36,0.36
