VALEUR,#alcipe,#ergaste,#cleante,#ariste,#orphise,#lucile,#isabelle,#clarice,#philippin
Fréquences (scènes),0.7142857142857143,0.2857142857142857,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Confrontation,0.16071428571428573,0.026785714285714284,0.1875,0.16964285714285715,0.15178571428571427,0.13392857142857142,0.017857142857142856,0.09821428571428571,0.05357142857142857
Déviations,#alcipe,#ergaste,#cleante,#ariste,#orphise,#lucile,#isabelle,#clarice,#philippin
#alcipe,0.5714285714285713,0.12857142857142848,0.019047619047619032,0.05142857142857138,0.007142857142857182,0.3428571428571429,0.7142857142857142,0.22857142857142873,0.11428571428571437
#ergaste,0.1285714285714286,3.5714285714285716,0.29761904761904756,0.1285714285714286,1.1428571428571428,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.2857142857142857
#cleante,0.019047619047619032,0.29761904761904756,0.14285714285714304,0.11904761904761911,0.0952380952380953,0.07142857142857152,0.023809523809523826,0.04761904761904765,0.023809523809523826
#ariste,0.05142857142857138,0.12857142857142848,0.11904761904761911,0.5714285714285713,0.007142857142857182,0.3428571428571429,0.7142857142857142,0.22857142857142873,0.11428571428571437
#orphise,0.007142857142857136,1.1428571428571428,0.0952380952380953,0.007142857142857136,1.285714285714286,0.9642857142857145,0.3214285714285715,0.642857142857143,0.3214285714285715
#lucile,0.3428571428571429,0.8571428571428571,0.07142857142857152,0.3428571428571429,0.9642857142857145,2.2857142857142865,0.42857142857142855,1.5238095238095237,0.7619047619047619
#isabelle,0.7142857142857143,0.2857142857142857,0.023809523809523826,0.7142857142857143,0.3214285714285715,0.42857142857142855,5.142857142857144,0.2857142857142857,0.14285714285714285
#clarice,0.22857142857142854,0.5714285714285714,0.04761904761904765,0.22857142857142854,0.642857142857143,1.5238095238095237,0.2857142857142857,3.5714285714285716,1.7857142857142858
#philippin,0.11428571428571427,0.2857142857142857,0.023809523809523826,0.11428571428571427,0.3214285714285715,0.7619047619047619,0.14285714285714285,1.7857142857142858,5.142857142857144
Successions,#alcipe,#ergaste,#cleante,#ariste,#orphise,#lucile,#isabelle,#clarice,#philippin
#alcipe,0.0,0.17857142857142858,0.21428571428571427,0.32142857142857145,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142
#ergaste,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
#cleante,0.18181818181818182,0.03636363636363636,0.0,0.45454545454545453,0.10909090909090909,0.03636363636363636,0.0,0.10909090909090909,0.07272727272727272
#ariste,0.1276595744680851,0.0,0.5957446808510638,0.0,0.19148936170212766,0.0,0.0,0.0425531914893617,0.0425531914893617
#orphise,0.14814814814814814,0.0,0.1111111111111111,0.25925925925925924,0.0,0.037037037037037035,0.07407407407407407,0.2962962962962963,0.07407407407407407
#lucile,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
#isabelle,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#clarice,0.05555555555555555,0.0,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.0,0.0,0.1111111111111111
#philippin,0.07692307692307693,0.0,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0
