VALEUR,#mercure,#monsieur-gargot,#jupiter,#venus,#l-amour,#l-hymen,#la-discorde,#un-des-normands,#le-normand,#junon,#les-trois-deesses,#pallas,#paris
Fréquences (scènes),0.45454545454545453,0.18181818181818182,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.5454545454545454
Fréquences(répliques),0.11,0.04,0.035,0.14,0.135,0.065,0.04,0.01,0.0,0.12,0.0,0.115,0.19
Confrontation,0.13114754098360656,0.03278688524590164,0.13934426229508196,0.1721311475409836,0.02459016393442623,0.02459016393442623,0.05737704918032787,0.05737704918032787,0.05737704918032787,0.12295081967213115,0.05737704918032787,0.06557377049180328,0.05737704918032787
Déviations,#mercure,#monsieur-gargot,#jupiter,#venus,#l-amour,#l-hymen,#la-discorde,#un-des-normands,#le-normand,#junon,#les-trois-deesses,#pallas,#paris
#mercure,3.2727272727272734,1.3090909090909089,0.7681818181818179,0.027272727272727317,0.4545454545454546,0.4545454545454546,0.6545454545454544,0.6545454545454544,0.6545454545454544,0.018181818181818146,0.6545454545454544,0.09696969696969691,1.0939393939393938
#monsieur-gargot,1.3090909090909089,7.363636363636362,0.10227272727272725,0.007575757575757562,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.7272727272727273,0.18181818181818182,0.5454545454545454,1.0909090909090908
#jupiter,0.7681818181818183,0.10227272727272725,4.454545454545454,1.5151515151515156,1.1136363636363635,1.1136363636363635,1.1136363636363635,1.1136363636363635,1.1136363636363635,0.2045454545454545,1.1136363636363635,0.007575757575757562,2.1818181818181817
#venus,0.027272727272727317,0.007575757575757562,1.5151515151515156,2.2727272727272734,0.3787878787878789,0.3787878787878789,0.3787878787878789,0.3787878787878789,0.3787878787878789,0.30681818181818193,0.3787878787878789,0.08080808080808087,0.4949494949494948
#l-amour,0.45454545454545453,0.18181818181818182,1.1136363636363635,0.3787878787878789,9.09090909090909,9.09090909090909,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.5454545454545454
#l-amour,0.45454545454545453,0.18181818181818182,1.1136363636363635,0.3787878787878789,9.09090909090909,9.09090909090909,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.5454545454545454
#la-discorde,0.6545454545454544,0.18181818181818182,1.1136363636363635,0.3787878787878789,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909,9.09090909090909,1.1136363636363635,9.09090909090909,0.2727272727272727,0.5454545454545454
#la-discorde,0.6545454545454544,0.18181818181818182,1.1136363636363635,0.3787878787878789,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909,9.09090909090909,1.1136363636363635,9.09090909090909,0.2727272727272727,0.5454545454545454
#la-discorde,0.6545454545454544,0.18181818181818182,1.1136363636363635,0.3787878787878789,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909,9.09090909090909,1.1136363636363635,9.09090909090909,0.2727272727272727,0.5454545454545454
#junon,0.018181818181818195,0.7272727272727273,0.2045454545454545,0.30681818181818193,0.36363636363636365,0.36363636363636365,1.1136363636363635,1.1136363636363635,1.1136363636363635,4.454545454545454,1.1136363636363635,0.7575757575757578,0.015151515151515124
#la-discorde,0.6545454545454544,0.18181818181818182,1.1136363636363635,0.3787878787878789,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909,9.09090909090909,1.1136363636363635,9.09090909090909,0.2727272727272727,0.5454545454545454
#pallas,0.09696969696969691,0.5454545454545454,0.007575757575757562,0.08080808080808087,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.7575757575757578,0.2727272727272727,5.8181818181818175,0.08080808080808087
#paris,1.0939393939393938,1.0909090909090908,2.1818181818181817,0.4949494949494948,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.015151515151515124,0.5454545454545454,0.08080808080808087,2.2727272727272734
Successions,#mercure,#monsieur-gargot,#jupiter,#venus,#l-amour,#l-hymen,#la-discorde,#un-des-normands,#le-normand,#junon,#les-trois-deesses,#pallas,#paris
#mercure,0.0,0.55,0.15,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.05,0.1
#monsieur-gargot,0.7692307692307693,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#jupiter,0.19230769230769232,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.2692307692307692,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.0,0.07692307692307693,0.0,0.038461538461538464,0.0
#venus,0.09090909090909091,0.0,0.2727272727272727,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.22727272727272727,0.0,0.13636363636363635,0.18181818181818182
#l-amour,0.0,0.0,0.26666666666666666,0.3333333333333333,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-hymen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-discorde,0.0,0.0,0.36363636363636365,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.0
#un-des-normands,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-normand,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#junon,0.0625,0.0,0.0625,0.125,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.3125,0.25
#un-des-normands,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#pallas,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.35714285714285715
#paris,0.0625,0.0,0.0625,0.4375,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.25,0.0
