VALEUR,#eristene,#oloodeme,#licogene,#poliarque,#gelanore,#meleandre,#eurimede,#selenisse,#argenis,#florice,#soldats-1,#soldats-2,#soldats,#sacrificateur,#timonide,#menocrite,#anaximandre
Fréquences (scènes),0.15789473684210525,0.21052631578947367,0.3684210526315789,0.5789473684210527,0.21052631578947367,0.3157894736842105,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
Fréquences(répliques),0.033278777959629025,0.03491543917075832,0.1685761047463175,0.31042007637752317,0.06601200218221495,0.127114020731042,0.040370976541189305,0.07910529187124932,0.0856519367157665,0.013638843426077468,0.0005455537370430987,0.0016366612111292963,0.002182214948172395,0.015275504637206765,0.002727768685215494,0.012547735951991271,0.006001091107474086
Confrontation,0.0546875,0.0625,0.0625,0.1875,0.0390625,0.140625,0.0625,0.109375,0.1015625,0.015625,0.0234375,0.015625,0.03125,0.03125,0.03125,0.015625,0.015625
Déviations,#eristene,#oloodeme,#licogene,#poliarque,#gelanore,#meleandre,#eurimede,#selenisse,#argenis,#florice,#soldats-1,#soldats-2,#soldats,#sacrificateur,#timonide,#menocrite,#anaximandre
#eristene,13.473684210526315,8.881578947368421,0.7243107769423561,1.736842105263158,0.631578947368421,0.0029239766081871404,0.5847953216374271,0.7894736842105263,0.631578947368421,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525
#oloodeme,8.881578947368421,11.842105263157896,1.5808270676691731,2.3157894736842106,0.8421052631578947,0.05482456140350875,0.21491228070175444,1.0526315789473684,0.8421052631578947,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367
#licogene,0.7243107769423561,1.5808270676691731,7.57894736842105,2.299384825700615,1.4736842105263157,2.2105263157894735,1.1052631578947367,1.8421052631578947,1.4736842105263157,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,1.0827067669172932,1.0827067669172932
#poliarque,1.7368421052631577,2.3157894736842106,2.299384825700615,3.368421052631579,1.2248803827751193,0.6706539074960132,0.03987240829346097,0.4220095693779907,0.20215311004784683,0.5789473684210527,0.30622009569377984,0.30622009569377984,0.30622009569377984,0.30622009569377984,0.30622009569377984,0.5789473684210527,0.5789473684210527
#gelanore,0.631578947368421,0.8421052631578947,1.4736842105263157,1.2248803827751193,11.842105263157896,1.263157894736842,0.631578947368421,0.0026315789473684154,0.8421052631578947,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367
#meleandre,0.0029239766081871404,0.05482456140350875,2.2105263157894735,0.6706539074960126,1.263157894736842,8.894736842105264,4.447368421052632,0.11228070175438594,0.4298245614035089,0.3157894736842105,0.3157894736842105,1.4824561403508774,1.4824561403508774,1.4824561403508774,1.4824561403508774,0.3157894736842105,0.3157894736842105
#eurimede,0.5847953216374271,0.21491228070175444,1.1052631578947367,0.0398724082934609,0.631578947368421,4.447368421052632,13.473684210526315,0.05614035087719297,0.631578947368421,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525
#selenisse,0.7894736842105263,1.0526315789473684,1.8421052631578947,0.4220095693779903,0.0026315789473684154,0.11228070175438594,0.05614035087719297,10.31578947368421,3.602631578947369,2.0631578947368427,2.0631578947368427,0.2631578947368421,2.0631578947368427,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421
#argenis,0.631578947368421,0.8421052631578947,1.4736842105263157,0.20215311004784683,0.8421052631578947,0.4298245614035089,0.631578947368421,3.602631578947369,11.842105263157896,2.960526315789474,2.960526315789474,0.21052631578947367,2.960526315789474,2.960526315789474,2.960526315789474,0.21052631578947367,0.21052631578947367
#florice,0.15789473684210525,0.21052631578947367,0.3684210526315789,0.5789473684210527,0.21052631578947367,0.3157894736842105,0.15789473684210525,2.0631578947368427,2.960526315789474,17.05263157894737,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
#soldats-1,0.15789473684210525,0.21052631578947367,0.3684210526315789,0.30622009569377984,0.21052631578947367,0.3157894736842105,0.15789473684210525,2.0631578947368427,2.960526315789474,0.05263157894736842,17.05263157894737,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
