VALEUR,#hydaspe,#roxane,#mandane,#artabaze,#themistocle,#palmis,#pharnaspe,#xerces,#le-roi
Fréquences (scènes),0.03571428571428571,0.42857142857142855,0.39285714285714285,0.5357142857142857,0.32142857142857145,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.25
Fréquences(répliques),0.013875598086124402,0.17511961722488037,0.1799043062200957,0.19425837320574163,0.24162679425837322,0.08564593301435407,0.011004784688995215,0.019138755980861243,0.07942583732057416
Confrontation,0.009615384615384616,0.1346153846153846,0.20192307692307693,0.2403846153846154,0.14423076923076922,0.07692307692307693,0.009615384615384616,0.038461538461538464,0.14423076923076922
Déviations,#hydaspe,#roxane,#mandane,#artabaze,#themistocle,#palmis,#pharnaspe,#xerces,#le-roi
#hydaspe,26.03571428571429,0.7619047619047619,0.39285714285714285,0.5357142857142857,0.32142857142857145,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.25
#roxane,0.7619047619047619,9.142857142857146,0.35064935064935054,0.9174603174603175,0.8941798941798945,0.9603174603174602,0.42857142857142855,0.42857142857142855,3.0
#mandane,0.39285714285714285,0.35064935064935054,10.321428571428573,0.0019480519480519665,0.08116883116883127,0.7813852813852814,0.39285714285714285,0.9383116883116885,0.5681818181818182
#artabaze,0.5357142857142857,0.917460317460317,0.0019480519480519665,6.035714285714288,0.13994708994709013,0.014285714285714245,0.4023809523809524,0.4023809523809524,1.35
#themistocle,0.3214285714285714,0.894179894179894,0.08116883116883113,0.13994708994708988,12.89285714285714,0.00264550264550266,0.3214285714285714,1.4325396825396828,0.25
#palmis,0.21428571428571427,0.9603174603174602,0.7813852813852814,0.014285714285714301,0.0026455026455026267,17.28571428571429,0.21428571428571427,0.21428571428571427,0.16666666666666666
#pharnaspe,0.03571428571428571,0.42857142857142855,0.39285714285714285,0.4023809523809524,0.32142857142857145,0.21428571428571427,26.03571428571429,0.03571428571428571,0.25
#xerces,0.03571428571428571,0.42857142857142855,0.9383116883116885,0.4023809523809524,1.4325396825396826,0.21428571428571427,0.03571428571428571,26.03571428571429,2.25
#le-roi,0.25,3.0,0.5681818181818182,1.35,0.25,0.16666666666666666,0.25,2.25,15.75
Successions,#hydaspe,#roxane,#mandane,#artabaze,#themistocle,#palmis,#pharnaspe,#xerces,#le-roi
#hydaspe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#roxane,0.20588235294117646,0.014705882352941176,0.27941176470588236,0.16176470588235295,0.25,0.08823529411764706,0.0,0.0,0.0
#mandane,0.0,0.3541666666666667,0.0,0.5208333333333334,0.020833333333333332,0.0,0.0,0.020833333333333332,0.08333333333333333
#artabaze,0.0,0.14606741573033707,0.2696629213483146,0.0,0.16853932584269662,0.19101123595505617,0.06741573033707865,0.0,0.15730337078651685
#themistocle,0.0,0.32075471698113206,0.018867924528301886,0.33962264150943394,0.0,0.05660377358490566,0.0,0.018867924528301886,0.24528301886792453
#palmis,0.0,0.25,0.0,0.5714285714285714,0.10714285714285714,0.03571428571428571,0.0,0.0,0.03571428571428571
#pharnaspe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#xerces,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#le-roi,0.0,0.0,0.11428571428571428,0.37142857142857144,0.42857142857142855,0.02857142857142857,0.0,0.0,0.05714285714285714
