VALEUR,#le-gouverneur,#monsieur-pedanta,#monsieur-de-formont,#le-comte,#mademoiselle-demeris,#monsieur-le-comte,#monsieur-le-vicomte,#monsieur-le-vlcomte,#marinette,#le-vicomte,#mademoielle-demeris
Fréquences (scènes),0.25,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Fréquences(répliques),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.023255813953488372,0.13953488372093023,0.13953488372093023,0.12790697674418605,0.011627906976744186,0.09302325581395349,0.09302325581395349,0.09302325581395349,0.09302325581395349,0.09302325581395349,0.09302325581395349
Déviations,#le-gouverneur,#monsieur-pedanta,#monsieur-de-formont,#le-comte,#mademoiselle-demeris,#monsieur-le-comte,#monsieur-le-vicomte,#monsieur-le-vlcomte,#marinette,#le-vicomte,#mademoielle-demeris
#le-gouverneur,2.25,0.08333333333333333,0.08333333333333333,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25
#monsieur-pedanta,0.08333333333333333,0.25,0.25,0.027777777777777776,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#monsieur-pedanta,0.08333333333333333,0.25,0.25,0.027777777777777776,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#le-comte,0.75,0.027777777777777776,0.027777777777777776,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#mademoiselle-demeris,0.25,0.75,0.75,0.08333333333333333,2.25,0.25,0.25,0.25,0.25,0.25,0.25
#monsieur-le-comte,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,2.25,2.25,2.25,2.25,2.25,2.25
#monsieur-le-comte,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,2.25,2.25,2.25,2.25,2.25,2.25
#monsieur-le-comte,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,2.25,2.25,2.25,2.25,2.25,2.25
#monsieur-le-comte,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,2.25,2.25,2.25,2.25,2.25,2.25
#monsieur-le-comte,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,2.25,2.25,2.25,2.25,2.25,2.25
#monsieur-le-comte,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,2.25,2.25,2.25,2.25,2.25,2.25
Successions,#le-gouverneur,#monsieur-pedanta,#monsieur-de-formont,#le-comte,#mademoiselle-demeris,#monsieur-le-comte,#monsieur-le-vicomte,#monsieur-le-vlcomte,#marinette,#le-vicomte,#mademoielle-demeris
#le-gouverneur,,,,,,,,,,,
#monsieur-pedanta,0.1111111111111111,0.0,0.4444444444444444,0.1111111111111111,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0
#monsieur-de-formont,0.0,0.25,0.0,0.375,0.0,0.0,0.25,0.0,0.125,0.0,0.0
#le-comte,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111
#mademoiselle-demeris,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-demeris,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-le-vicomte,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#monsieur-le-vlcomte,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#marinette,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0
#le-vicomte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#le-vicomte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
