VALEUR,#le-procureur,#le-marquis,#l-huissier,#l-abbe,#le-geolier,#des-las-casas,#l-avocat,#l-officier
Fréquences (scènes),0.42857142857142855,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.5714285714285714,0.07142857142857142,0.14285714285714285
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.1875,0.09375,0.09375,0.15625,0.0625,0.28125,0.0625,0.0625
Déviations,#le-procureur,#le-marquis,#l-huissier,#l-abbe,#le-geolier,#des-las-casas,#l-avocat,#l-officier
#le-procureur,4.571428571428573,0.396825396825397,1.5238095238095237,0.29761904761904756,0.42857142857142855,1.7202380952380951,0.42857142857142855,0.8571428571428571
#le-marquis,0.396825396825397,8.642857142857144,0.42857142857142855,0.8571428571428571,0.21428571428571427,0.29761904761904756,0.21428571428571427,0.42857142857142855
#l-huissier,1.5238095238095237,0.42857142857142855,10.285714285714288,0.5714285714285714,0.14285714285714285,0.017857142857142842,0.14285714285714285,0.2857142857142857
#l-abbe,0.29761904761904756,0.8571428571428571,0.5714285714285714,7.142857142857143,1.7857142857142858,0.035714285714285685,1.7857142857142858,0.5714285714285714
#le-geolier,0.42857142857142855,0.21428571428571427,0.14285714285714285,1.7857142857142858,12.071428571428573,0.3214285714285715,0.07142857142857142,0.14285714285714285
#des-las-casas,1.7202380952380951,0.29761904761904756,0.017857142857142842,0.035714285714285685,0.3214285714285715,2.571428571428572,0.3214285714285715,0.642857142857143
#l-avocat,0.42857142857142855,0.21428571428571427,0.14285714285714285,1.7857142857142858,0.07142857142857142,0.3214285714285715,12.071428571428573,0.14285714285714285
#l-officier,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.642857142857143,0.14285714285714285,10.285714285714288
Successions,#le-procureur,#le-marquis,#l-huissier,#l-abbe,#le-geolier,#des-las-casas,#l-avocat,#l-officier
#le-procureur,0.05555555555555555,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.0,0.5555555555555556,0.0,0.0
#le-marquis,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0
#l-huissier,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
#l-abbe,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0
#le-geolier,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#des-las-casas,0.48,0.0,0.0,0.16,0.04,0.0,0.12,0.2
#l-avocat,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
#l-officier,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
