VALEUR,#oreste,#le-choeur-des-khoephores,#electre,#le-portier,#clytemnestre,#gilissa,#egisthe,#pylade
Fréquences (scènes),0.6666666666666666,0.7777777777777778,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.23076923076923078,0.23076923076923078,0.17307692307692307,0.1346153846153846,0.1346153846153846,0.019230769230769232,0.019230769230769232,0.057692307692307696
Déviations,#oreste,#le-choeur-des-khoephores,#electre,#le-portier,#clytemnestre,#gilissa,#egisthe,#pylade
#oreste,1.0,0.09523809523809532,0.041666666666666706,0.3333333333333334,0.3333333333333334,0.6666666666666666,0.6666666666666666,0.1666666666666667
#le-choeur-des-khoephores,0.09523809523809508,0.4444444444444443,0.25396825396825423,0.1984126984126983,0.1984126984126983,0.06349206349206356,0.06349206349206356,0.7777777777777776
#electre,0.041666666666666706,0.25396825396825395,2.777777777777778,0.013888888888888902,0.013888888888888902,0.4444444444444444,0.4444444444444444,0.4444444444444444
#le-portier,0.3333333333333334,0.19841269841269843,0.013888888888888902,5.444444444444445,5.444444444444445,0.2222222222222222,0.2222222222222222,2.7222222222222223
#le-portier,0.3333333333333334,0.19841269841269843,0.013888888888888902,5.444444444444445,5.444444444444445,0.2222222222222222,0.2222222222222222,2.7222222222222223
#gilissa,0.6666666666666666,0.06349206349206349,0.4444444444444444,0.2222222222222222,0.2222222222222222,7.111111111111111,0.1111111111111111,0.1111111111111111
#egisthe,0.6666666666666666,0.06349206349206349,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111,7.111111111111111,0.1111111111111111
#pylade,0.1666666666666667,0.7777777777777778,0.4444444444444444,2.7222222222222223,2.7222222222222223,0.1111111111111111,0.1111111111111111,7.111111111111111
Successions,#oreste,#le-choeur-des-khoephores,#electre,#le-portier,#clytemnestre,#gilissa,#egisthe,#pylade
#oreste,0.0,0.38596491228070173,0.3157894736842105,0.017543859649122806,0.2631578947368421,0.0,0.0,0.017543859649122806
#le-choeur-des-khoephores,0.3620689655172414,0.0,0.4482758620689655,0.0,0.017241379310344827,0.1206896551724138,0.05172413793103448,0.0
#electre,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0
#le-portier,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0
#clytemnestre,0.8823529411764706,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0
#gilissa,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#egisthe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#pylade,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
