VALEUR,#le-docteur,#pierrot,#arlequin,#isabelle,#colombine,#le-commis,#le-commissaire,#la-voix,#tous,#le-chevalier,#un-autre-chevalier,#un-capitaine
Fréquences (scènes),0.6666666666666666,0.2222222222222222,0.8888888888888888,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.2073170731707317,0.04878048780487805,0.21951219512195122,0.08536585365853659,0.10975609756097561,0.036585365853658534,0.036585365853658534,0.024390243902439025,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.012195121951219513
Déviations,#le-docteur,#pierrot,#arlequin,#isabelle,#colombine,#le-commis,#le-commissaire,#la-voix,#tous,#le-chevalier,#un-autre-chevalier,#un-capitaine
#le-docteur,1.0,0.3333333333333334,0.08333333333333341,0.0833333333333333,0.0,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.6666666666666666
#pierrot,0.3333333333333334,5.444444444444445,0.027777777777777804,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
#arlequin,0.08333333333333341,0.027777777777777804,0.11111111111111122,0.3402777777777777,0.1666666666666666,0.013888888888888902,0.013888888888888902,0.013888888888888902,0.013888888888888902,0.013888888888888902,0.013888888888888902,0.013888888888888902
#isabelle,0.0833333333333333,0.4444444444444444,0.3402777777777777,5.444444444444445,2.6666666666666674,0.2222222222222222,0.2222222222222222,0.2222222222222222,2.7222222222222223,2.7222222222222223,2.7222222222222223,0.2222222222222222
#colombine,0.0,0.6666666666666666,0.1666666666666666,2.6666666666666674,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333337,1.3333333333333337,1.3333333333333337,0.3333333333333333
#le-commis,0.1666666666666667,0.2222222222222222,0.013888888888888902,0.2222222222222222,0.3333333333333333,7.111111111111111,7.111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#le-commis,0.1666666666666667,0.2222222222222222,0.013888888888888902,0.2222222222222222,0.3333333333333333,7.111111111111111,7.111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#la-voix,0.1666666666666667,0.2222222222222222,0.013888888888888902,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,7.111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#tous,0.1666666666666667,0.2222222222222222,0.013888888888888902,2.7222222222222223,1.3333333333333337,0.1111111111111111,0.1111111111111111,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,0.1111111111111111
#tous,0.1666666666666667,0.2222222222222222,0.013888888888888902,2.7222222222222223,1.3333333333333337,0.1111111111111111,0.1111111111111111,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,0.1111111111111111
#tous,0.1666666666666667,0.2222222222222222,0.013888888888888902,2.7222222222222223,1.3333333333333337,0.1111111111111111,0.1111111111111111,0.1111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,0.1111111111111111
#un-capitaine,0.6666666666666666,0.2222222222222222,0.013888888888888902,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,7.111111111111111
Successions,#le-docteur,#pierrot,#arlequin,#isabelle,#colombine,#le-commis,#le-commissaire,#la-voix,#tous,#le-chevalier,#un-autre-chevalier,#un-capitaine
#le-docteur,0.01,0.19,0.71,0.0,0.05,0.01,0.0,0.02,0.01,0.0,0.0,0.0
#pierrot,0.4146341463414634,0.0,0.5853658536585366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin,0.6106870229007634,0.16030534351145037,0.022900763358778626,0.015267175572519083,0.06870229007633588,0.03816793893129771,0.04580152671755725,0.0,0.0,0.030534351145038167,0.0,0.007633587786259542
#isabelle,0.0,0.058823529411764705,0.11764705882352941,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#colombine,0.10714285714285714,0.0,0.35714285714285715,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-commis,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0
#le-commissaire,0.0,0.0,0.4166666666666667,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
#la-voix,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-voix,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
#la-voix,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-capitaine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
