VALEUR,#padille,#lysandre,#angelique,#philinte,#cephise,#oronte,#dom-sanche,#dom-alvare,#dom-pedre,#dom-diegue,#le-notaire,#polidore,#premier-conseiller,#le-greffier
Fréquences (scènes),0.42857142857142855,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523
Fréquences(répliques),0.29894179894179895,0.2222222222222222,0.1970899470899471,0.06349206349206349,0.015873015873015872,0.01455026455026455,0.01455026455026455,0.037037037037037035,0.07275132275132275,0.017195767195767195,0.009259259259259259,0.026455026455026454,0.003968253968253968,0.006613756613756613
Confrontation,0.13725490196078433,0.10784313725490197,0.22549019607843138,0.049019607843137254,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.06862745098039216,0.09803921568627451,0.09803921568627451,0.0392156862745098,0.029411764705882353,0.058823529411764705,0.058823529411764705
Déviations,#padille,#lysandre,#angelique,#philinte,#cephise,#oronte,#dom-sanche,#dom-alvare,#dom-pedre,#dom-diegue,#le-notaire,#polidore,#premier-conseiller,#le-greffier
#padille,6.857142857142859,0.0,0.16666666666666666,0.06349206349206343,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.2857142857142856,1.7142857142857142,1.7142857142857142,0.42857142857142855,0.8571428571428571,0.023809523809523826,1.5238095238095237
#lysandre,0.0,9.333333333333336,0.5952380952380949,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.6666666666666674,2.6666666666666674,0.1666666666666667
#angelique,0.16666666666666666,0.5952380952380949,2.333333333333335,0.0,0.1666666666666667,0.1666666666666667,0.6666666666666666,0.5,0.1666666666666666,0.1666666666666666,0.1666666666666667,1.3333333333333333,0.0833333333333333,0.3333333333333334
#philinte,0.06349206349206343,1.0,0.0,15.428571428571432,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.3214285714285715,0.3214285714285715,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857
#cephise,0.42857142857142855,0.3333333333333333,0.1666666666666667,0.14285714285714285,19.047619047619047,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523
#oronte,0.42857142857142855,0.3333333333333333,0.1666666666666667,0.14285714285714285,0.047619047619047616,19.047619047619047,0.047619047619047616,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523
#dom-sanche,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.047619047619047616,0.047619047619047616,19.047619047619047,5.142857142857144,0.19047619047619047,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523
#dom-alvare,1.2857142857142856,1.0,0.5,0.42857142857142855,0.14285714285714285,0.14285714285714285,5.142857142857144,15.428571428571432,3.5714285714285716,3.5714285714285716,5.142857142857144,0.2857142857142857,0.2857142857142857,0.2857142857142857
#dom-pedre,1.7142857142857142,1.3333333333333333,0.1666666666666666,0.3214285714285715,0.19047619047619047,0.19047619047619047,0.19047619047619047,3.5714285714285716,13.761904761904763,13.761904761904763,3.4404761904761907,0.38095238095238093,0.38095238095238093,0.38095238095238093
#dom-pedre,1.7142857142857142,1.3333333333333333,0.1666666666666666,0.3214285714285715,0.19047619047619047,0.19047619047619047,0.19047619047619047,3.5714285714285716,13.761904761904763,13.761904761904763,3.4404761904761907,0.38095238095238093,0.38095238095238093,0.38095238095238093
#le-notaire,0.42857142857142855,0.3333333333333333,0.1666666666666667,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,5.142857142857144,3.4404761904761907,3.4404761904761907,19.047619047619047,0.09523809523809523,0.09523809523809523,0.09523809523809523
#polidore,0.8571428571428571,2.6666666666666674,1.3333333333333333,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.2857142857142857,0.38095238095238093,0.38095238095238093,0.09523809523809523,17.190476190476193,3.4404761904761907,0.19047619047619047
#premier-conseiller,0.023809523809523826,2.6666666666666674,0.0833333333333333,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.2857142857142857,0.38095238095238093,0.38095238095238093,0.09523809523809523,3.4404761904761907,17.190476190476193,3.4404761904761907
#le-greffier,1.5238095238095237,0.1666666666666667,0.3333333333333334,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.2857142857142857,0.38095238095238093,0.38095238095238093,0.09523809523809523,0.19047619047619047,3.4404761904761907,17.190476190476193
Successions,#padille,#lysandre,#angelique,#philinte,#cephise,#oronte,#dom-sanche,#dom-alvare,#dom-pedre,#dom-diegue,#le-notaire,#polidore,#premier-conseiller,#le-greffier
#padille,0.0,0.4090909090909091,0.5454545454545454,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.015151515151515152
#lysandre,0.5490196078431373,0.0,0.3137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0196078431372549
#angelique,0.45454545454545453,0.19480519480519481,0.0,0.15584415584415584,0.05194805194805195,0.06493506493506493,0.0,0.012987012987012988,0.0,0.012987012987012988,0.025974025974025976,0.0,0.0,0.025974025974025976
#philinte,0.0,0.07692307692307693,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
#cephise,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#oronte,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dom-sanche,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
#dom-alvare,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.4,0.0,0.0,0.0,0.0,0.0
#dom-pedre,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.47058823529411764,0.23529411764705882,0.0,0.0,0.0
#dom-diegue,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0
#le-notaire,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0
#polidore,0.1111111111111111,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0
#premier-conseiller,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
#le-greffier,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
