VALEUR,#murel,#pierre,#gruchet,#madame-rousselin,#miss-arabelle,#onesime,#louise,#rousselin,#tous,#marchais,#dodart,#bouvigny,#heurtelot,#hombourg,#ledru,#voinchet,#beaumesnil,#les-electeurs,#julien,#le-garde-champetre,#la-foule,#des-voix,#felicite,#le-garçon-de-cafe,#le-president,#un-electeur,#l-agriculteur,#le-mendiant
Fréquences (scènes),0.48936170212765956,0.10638297872340426,0.3191489361702128,0.1702127659574468,0.19148936170212766,0.06382978723404255,0.1276595744680851,0.723404255319149,0.10638297872340426,0.0851063829787234,0.14893617021276595,0.06382978723404255,0.0851063829787234,0.10638297872340426,0.0851063829787234,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.0851063829787234,0.0851063829787234,0.02127659574468085,0.02127659574468085,0.06382978723404255,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.10823170731707317,0.018292682926829267,0.07774390243902439,0.04420731707317073,0.038109756097560975,0.018292682926829267,0.03048780487804878,0.13871951219512196,0.04878048780487805,0.036585365853658534,0.03048780487804878,0.012195121951219513,0.042682926829268296,0.05030487804878049,0.04725609756097561,0.039634146341463415,0.039634146341463415,0.038109756097560975,0.018292682926829267,0.03201219512195122,0.004573170731707317,0.006097560975609756,0.013719512195121951,0.004573170731707317,0.019817073170731708,0.019817073170731708,0.019817073170731708,0.001524390243902439
Déviations,#murel,#pierre,#gruchet,#madame-rousselin,#miss-arabelle,#onesime,#louise,#rousselin,#tous,#marchais,#dodart,#bouvigny,#heurtelot,#hombourg,#ledru,#voinchet,#beaumesnil,#les-electeurs,#julien,#le-garde-champetre,#la-foule,#des-voix,#felicite,#le-garçon-de-cafe,#le-president,#un-electeur,#l-agriculteur,#le-mendiant
#murel,12.25531914893617,0.8555041628122108,0.9636139377119947,0.300763182238668,0.44773358001850116,0.19272278754239922,0.0013876040703052915,0.795586874897971,0.12506938020351532,0.0009250693802035179,0.05286110744020081,0.14924452667283367,0.5552728954671602,0.12506938020351532,0.5552728954671602,0.19272278754239922,0.19272278754239922,1.598519888991675,0.5552728954671602,0.4683163737280296,0.48936170212765956,0.5328399629972249,0.14924452667283367,0.9787234042553191,0.5328399629972249,0.5328399629972249,0.5328399629972249,0.48936170212765956
#pierre,0.8555041628122108,37.53191489361703,0.22241134751773048,0.8510638297872339,0.0018912529550827479,0.3191489361702127,0.6382978723404255,0.10525657071339178,0.5319148936170213,0.7755319148936171,0.08753799392097267,0.3191489361702127,0.42553191489361697,0.5319148936170213,0.42553191489361697,0.3191489361702127,0.3191489361702127,0.3191489361702127,0.42553191489361697,5.8255319148936175,0.10638297872340424,0.10638297872340424,8.852482269503549,0.21276595744680848,0.10638297872340424,0.10638297872340424,0.10638297872340424,0.10638297872340424
#gruchet,0.9636139377119954,0.22241134751773048,21.787234042553195,0.8198581560283685,0.005673758865248224,0.0018912529550827479,0.6148936170212768,0.3157697121401753,3.6224113475177306,0.05992907801418442,0.6816616008105368,0.9574468085106382,0.40992907801418427,1.235744680851064,0.05992907801418442,0.0018912529550827479,0.0018912529550827479,1.1352245862884163,0.40992907801418427,1.2765957446808511,0.3191489361702128,1.452482269503546,0.0018912529550827479,0.6382978723404256,0.3191489361702128,0.3191489361702128,0.3191489361702128,0.3191489361702128
#madame-rousselin,0.300763182238668,0.8510638297872339,0.8198581560283685,32.361702127659576,7.8513593380614655,0.46897163120567387,8.687943262411348,0.007822277847309109,0.02606382978723404,0.6808510638297872,1.1914893617021276,0.5106382978723404,0.6808510638297872,0.8510638297872339,0.6808510638297872,0.5106382978723404,0.5106382978723404,0.5106382978723404,7.899601063829787,0.6808510638297872,0.1702127659574468,0.1702127659574468,0.5106382978723404,0.3404255319148936,0.1702127659574468,0.1702127659574468,0.1702127659574468,0.1702127659574468
#miss-arabelle,0.44773358001850116,0.0018912529550827379,0.005673758865248224,7.8513593380614655,30.72340425531915,0.31520882584712384,0.6304176516942477,0.04005006257822289,0.9574468085106385,0.0715130023640662,0.08645727794663967,0.5744680851063829,0.7659574468085105,0.9574468085106385,0.7659574468085105,0.5744680851063829,0.5744680851063829,0.5744680851063829,1.9881796690307327,0.7659574468085105,0.19148936170212763,0.19148936170212763,0.5744680851063829,0.38297872340425526,0.19148936170212763,0.19148936170212763,0.19148936170212763,0.19148936170212763
#onesime,0.19272278754239922,0.3191489361702127,0.0018912529550827479,0.46897163120567387,0.31520882584712384,41.19148936170214,0.9940898345153671,0.013350020859407563,0.3191489361702127,0.2553191489361702,0.6849037487335364,3.4137115839243517,0.2553191489361702,0.3191489361702127,2.171985815602837,0.1914893617021276,0.1914893617021276,0.1914893617021276,0.2553191489361702,0.2553191489361702,0.06382978723404255,0.06382978723404255,0.1914893617021276,5.96099290780142,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255
