VALEUR,#charlemagne,#nymes,#aymon,#beatrix,#renaud,#la-roque,#bradamante,#leon,#roger,#hippalque,#la-montagne,#marphise,#charles,#aymon #beatrix,#basile,#ambassadeurs,#melisse
Fréquences (scènes),0.2916666666666667,0.041666666666666664,0.2916666666666667,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.3333333333333333,0.2916666666666667,0.25,0.16666666666666666,0.041666666666666664,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664
Fréquences(répliques),0.10471464019851116,0.013399503722084368,0.09727047146401985,0.13945409429280398,0.05905707196029777,0.0024813895781637717,0.12307692307692308,0.12555831265508685,0.10818858560794045,0.050620347394540945,0.04962779156327544,0.03176178660049628,0.04218362282878412,0.0019851116625310174,0.009429280397022333,0.030272952853598014,0.010918114143920596
Confrontation,0.10526315789473684,0.006578947368421052,0.1513157894736842,0.14473684210526316,0.013157894736842105,0.013157894736842105,0.07894736842105263,0.13157894736842105,0.08552631578947369,0.039473684210526314,0.013157894736842105,0.08552631578947369,0.046052631578947366,0.03289473684210526,0.006578947368421052,0.046052631578947366,0.0
Déviations,#charlemagne,#nymes,#aymon,#beatrix,#renaud,#la-roque,#bradamante,#leon,#roger,#hippalque,#la-montagne,#marphise,#charles,#aymon #beatrix,#basile,#ambassadeurs,#melisse
#charlemagne,12.041666666666664,1.7202380952380956,0.0008503401360544337,0.0008503401360544337,0.29166666666666663,0.29166666666666663,0.04761904761904754,0.4498299319727888,0.03571428571428571,0.02380952380952377,0.29166666666666663,0.017857142857142856,0.5833333333333333,0.29166666666666663,0.29166666666666663,3.440476190476191,0.29166666666666663
#nymes,1.720238095238095,22.04166666666667,0.2916666666666667,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.3333333333333333,0.2916666666666667,0.25,0.16666666666666666,0.041666666666666664,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664
#aymon,0.0008503401360544337,0.29166666666666663,12.041666666666664,7.674319727891154,1.7202380952380956,1.7202380952380956,0.7619047619047616,0.4498299319727888,0.03571428571428571,1.1666666666666665,1.7202380952380956,1.4464285714285714,3.440476190476191,1.7202380952380956,0.29166666666666663,0.2976190476190477,0.29166666666666663
#beatrix,0.0008503401360544337,0.29166666666666663,7.674319727891154,12.041666666666664,0.29166666666666663,0.29166666666666663,0.04761904761904754,0.4498299319727888,0.03571428571428571,1.1666666666666665,1.7202380952380956,1.4464285714285714,3.440476190476191,1.7202380952380956,0.29166666666666663,0.2976190476190477,0.29166666666666663
#renaud,0.2916666666666667,0.041666666666666664,1.720238095238095,0.2916666666666667,22.04166666666667,22.04166666666667,0.3333333333333333,0.2916666666666667,0.25,0.16666666666666666,0.041666666666666664,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664
#renaud,0.2916666666666667,0.041666666666666664,1.720238095238095,0.2916666666666667,22.04166666666667,22.04166666666667,0.3333333333333333,0.2916666666666667,0.25,0.16666666666666666,0.041666666666666664,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664
#bradamante,0.04761904761904766,0.3333333333333333,0.761904761904762,0.04761904761904766,0.3333333333333333,0.3333333333333333,10.66666666666667,0.761904761904762,0.5,5.333333333333335,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
#leon,0.4498299319727888,0.29166666666666663,0.4498299319727888,0.4498299319727888,0.29166666666666663,0.29166666666666663,0.7619047619047616,12.041666666666664,2.892857142857143,1.1666666666666665,0.29166666666666663,1.4464285714285714,0.2976190476190477,1.7202380952380956,1.7202380952380956,0.2976190476190477,0.29166666666666663
