VALEUR,#bourguignon,#collette,#colette,#le-petit-monval,#lucette #le-petit-monval,#le-pere-thomas,#lucette,#madame-monval,#alison
Fréquences (scènes),0.125,0.5,0.375,0.5,0.125,0.5,0.625,0.375,0.125
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.04285714285714286,0.17142857142857143,0.14285714285714285,0.15714285714285714,0.07142857142857142,0.14285714285714285,0.17142857142857143,0.07142857142857142,0.02857142857142857
Déviations,#bourguignon,#collette,#colette,#le-petit-monval,#lucette #le-petit-monval,#le-pere-thomas,#lucette,#madame-monval,#alison
#bourguignon,6.125,0.5,1.0416666666666667,0.5,0.125,0.5,0.625,0.375,0.125
#collette,0.5,2.0,1.5,0.0,0.5,0.0,0.1,0.16666666666666666,0.5
#colette,1.0416666666666667,1.5,3.125,0.16666666666666666,1.0416666666666667,0.16666666666666666,0.008333333333333333,1.125,0.375
#le-petit-monval,0.5,0.0,0.16666666666666666,2.0,0.5,0.0,0.1,1.5,0.5
#lucette #le-petit-monval,0.125,0.5,1.0416666666666667,0.5,6.125,0.5,0.225,0.375,0.125
#le-pere-thomas,0.5,0.0,0.16666666666666666,0.0,0.5,2.0,0.1,0.16666666666666666,0.5
#lucette,0.625,0.1,0.008333333333333333,0.1,0.225,0.1,1.125,0.4083333333333333,0.225
#madame-monval,0.375,0.16666666666666666,1.125,1.5,0.375,0.16666666666666666,0.4083333333333333,3.125,1.0416666666666667
#alison,0.125,0.5,0.375,0.5,0.125,0.5,0.225,1.0416666666666667,6.125
Successions,#bourguignon,#collette,#colette,#le-petit-monval,#lucette #le-petit-monval,#le-pere-thomas,#lucette,#madame-monval,#alison
#bourguignon,0.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
#collette,0.6111111111111112,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.0
#colette,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0
#le-petit-monval,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.35714285714285715,0.5,0.0,0.0
#lucette #le-petit-monval,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pere-thomas,0.0,0.1,0.1,0.3,0.05,0.0,0.3,0.15,0.0
#lucette,0.0,0.0625,0.0625,0.375,0.0,0.375,0.0625,0.0625,0.0
#madame-monval,0.0,0.3,0.0,0.0,0.0,0.4,0.1,0.0,0.2
#alison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
