VALEUR,#varanger,#dubreuil,#le-garde-chasse,#plumasseau,#monsieur-brusquet,#bonneserre,#le-marquis,#madame-brusquet
Fréquences (scènes),0.7272727272727273,0.45454545454545453,0.09090909090909091,0.2727272727272727,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.09090909090909091
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.2,0.2,0.04,0.14,0.2,0.02,0.12,0.08
Déviations,#varanger,#dubreuil,#le-garde-chasse,#plumasseau,#monsieur-brusquet,#bonneserre,#le-marquis,#madame-brusquet
#varanger,0.818181818181818,0.03636363636363639,0.10227272727272725,0.640151515151515,0.4261363636363635,0.7272727272727273,0.14204545454545456,0.7272727272727273
#dubreuil,0.03636363636363629,3.2727272727272734,0.6545454545454544,0.2969696969696971,1.0939393939393938,0.4545454545454546,0.009090909090909073,0.6545454545454544
#le-garde-chasse,0.10227272727272725,0.6545454545454544,9.09090909090909,0.2727272727272727,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.09090909090909091
#plumasseau,0.640151515151515,0.2969696969696971,0.2727272727272727,5.8181818181818175,0.08080808080808087,0.2727272727272727,0.3787878787878789,1.9393939393939397
#monsieur-brusquet,0.4261363636363635,1.0939393939393938,0.5454545454545454,0.08080808080808087,2.2727272727272734,0.3787878787878789,0.7575757575757578,0.3787878787878789
#bonneserre,0.7272727272727273,0.45454545454545453,0.09090909090909091,0.2727272727272727,0.3787878787878789,9.09090909090909,0.18181818181818182,0.09090909090909091
#le-marquis,0.14204545454545456,0.009090909090909097,0.18181818181818182,0.3787878787878789,0.7575757575757578,0.18181818181818182,7.363636363636362,3.681818181818181
#madame-brusquet,0.7272727272727273,0.6545454545454544,0.09090909090909091,1.9393939393939397,0.3787878787878789,0.09090909090909091,3.681818181818181,9.09090909090909
Successions,#varanger,#dubreuil,#le-garde-chasse,#plumasseau,#monsieur-brusquet,#bonneserre,#le-marquis,#madame-brusquet
#varanger,0.05,0.7,0.05,0.0,0.2,0.0,0.0,0.0
#dubreuil,0.48148148148148145,0.0,0.1111111111111111,0.14814814814814814,0.07407407407407407,0.0,0.037037037037037035,0.14814814814814814
#le-garde-chasse,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#plumasseau,0.14285714285714285,0.7142857142857143,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
#monsieur-brusquet,0.08,0.02,0.0,0.04,0.06,0.58,0.18,0.04
#bonneserre,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#le-marquis,0.0,0.09090909090909091,0.0,0.0,0.8181818181818182,0.0,0.0,0.09090909090909091
#madame-brusquet,0.0,0.5714285714285714,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0
