VALEUR,#madame-varseuil,#louison #henriette,#henriette,#louison,#madame-verseuil,#minette,#chonchon,#monsieur-varseuil
Fréquences (scènes),0.6666666666666666,0.1111111111111111,0.6666666666666666,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.22,0.02,0.26,0.2,0.06,0.08,0.1,0.06
Déviations,#madame-varseuil,#louison #henriette,#henriette,#louison,#madame-verseuil,#minette,#chonchon,#monsieur-varseuil
#madame-varseuil,1.0,0.1666666666666667,0.0,0.5333333333333334,0.1666666666666667,0.0833333333333333,0.0833333333333333,0.1666666666666667
#louison #henriette,0.1666666666666667,7.111111111111111,0.6666666666666666,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111
#henriette,0.0,0.6666666666666666,1.0,0.13333333333333328,0.1666666666666667,0.0833333333333333,0.3333333333333334,0.1666666666666667
#louison,0.5333333333333331,0.5555555555555556,0.13333333333333347,1.7777777777777781,0.3555555555555555,0.01111111111111112,0.01111111111111112,0.3555555555555555
#madame-verseuil,0.1666666666666667,0.1111111111111111,0.1666666666666667,0.3555555555555555,7.111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111
#minette,0.0833333333333333,0.2222222222222222,0.0833333333333333,0.01111111111111112,0.2222222222222222,5.444444444444445,0.6944444444444445,0.2222222222222222
#chonchon,0.0833333333333333,0.2222222222222222,0.3333333333333334,0.01111111111111112,0.2222222222222222,0.6944444444444445,5.444444444444445,0.2222222222222222
#monsieur-varseuil,0.1666666666666667,0.1111111111111111,0.1666666666666667,0.3555555555555555,0.1111111111111111,0.2222222222222222,0.2222222222222222,7.111111111111111
Successions,#madame-varseuil,#louison #henriette,#henriette,#louison,#madame-verseuil,#minette,#chonchon,#monsieur-varseuil
#madame-varseuil,0.12,0.04,0.44,0.24,0.0,0.08,0.04,0.04
#louison #henriette,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#henriette,0.2702702702702703,0.0,0.0,0.32432432432432434,0.02702702702702703,0.10810810810810811,0.2702702702702703,0.0
#louison,0.2916666666666667,0.0,0.5416666666666666,0.041666666666666664,0.0,0.08333333333333333,0.041666666666666664,0.0
#madame-verseuil,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#minette,0.18181818181818182,0.0,0.45454545454545453,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0
#chonchon,0.07142857142857142,0.0,0.5,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0
#louison #henriette,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
