VALEUR,#renoir,#boverio,#marthe,#adam,#castel,#daste,#raymone,#vera,#saint-ysles,#bogar,#robineau,#jouvet,#leon,#marquaire,#ozeray
Fréquences (scènes),1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,0.5,0.5,0.75,0.5,0.5,0.25,0.25
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.09047619047619047,0.0761904761904762,0.09047619047619047,0.09047619047619047,0.0761904761904762,0.09047619047619047,0.09047619047619047,0.06428571428571428,0.05,0.047619047619047616,0.06904761904761905,0.05476190476190476,0.05476190476190476,0.02619047619047619,0.02857142857142857
Déviations,#renoir,#boverio,#marthe,#adam,#castel,#daste,#raymone,#vera,#saint-ysles,#bogar,#robineau,#jouvet,#leon,#marquaire,#ozeray
#renoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#boverio,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.027777777777777776,0.16666666666666666,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333
#renoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#renoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#boverio,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.027777777777777776,0.16666666666666666,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333
#renoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#renoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#vera,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.25,0.16666666666666666,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.16666666666666666,0.75,0.08333333333333333
#saint-ysles,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0,0.0,0.16666666666666666,0.0,0.0,0.5,0.5
#bogar,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,1.0,0.16666666666666666,0.0,0.0,0.5,0.5
#robineau,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333
#jouvet,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0,1.0,0.5,0.5
#jouvet,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0,1.0,0.5,0.5
#marquaire,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.75,0.5,0.5,0.08333333333333333,0.5,0.5,2.25,0.25
#ozeray,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.5,0.5,0.08333333333333333,0.5,0.5,0.25,2.25
Successions,#renoir,#boverio,#marthe,#adam,#castel,#daste,#raymone,#vera,#saint-ysles,#bogar,#robineau,#jouvet,#leon,#marquaire,#ozeray
#renoir,0.018518518518518517,0.09259259259259259,0.07407407407407407,0.09259259259259259,0.09259259259259259,0.07407407407407407,0.09259259259259259,0.05555555555555555,0.0,0.037037037037037035,0.2777777777777778,0.07407407407407407,0.0,0.0,0.018518518518518517
#boverio,0.6153846153846154,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0
#marthe,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0
#adam,0.2972972972972973,0.0,0.08108108108108109,0.0,0.02702702702702703,0.05405405405405406,0.08108108108108109,0.0,0.02702702702702703,0.05405405405405406,0.2702702702702703,0.10810810810810811,0.0,0.0,0.0
#castel,0.375,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0
#daste,0.35294117647058826,0.0,0.0,0.23529411764705882,0.0,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0,0.17647058823529413,0.0,0.0,0.0,0.0
#raymone,0.16666666666666666,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.2777777777777778,0.2777777777777778,0.0,0.0,0.0
#vera,0.1111111111111111,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.0,0.0,0.0
#saint-ysles,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bogar,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
#robineau,0.12598425196850394,0.015748031496062992,0.007874015748031496,0.09448818897637795,0.0,0.015748031496062992,0.047244094488188976,0.07086614173228346,0.0,0.007874015748031496,0.0,0.49606299212598426,0.031496062992125984,0.0,0.08661417322834646
#jouvet,0.011235955056179775,0.011235955056179775,0.02247191011235955,0.056179775280898875,0.011235955056179775,0.0,0.011235955056179775,0.011235955056179775,0.0,0.011235955056179775,0.8089887640449438,0.0,0.02247191011235955,0.02247191011235955,0.0
#leon,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
#marquaire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#ozeray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
