VALEUR,#isabelle,#cassandre,#colombine,#le-docteur,#leandre,#colombine #le-docteur,#tous-les-acteurs,#leandre #isabelle
Fréquences (scènes),1.0,0.5,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
Fréquences(répliques),0.40348101265822783,0.13924050632911392,0.17246835443037975,0.11392405063291139,0.16455696202531644,0.0015822784810126582,0.0031645569620253164,0.0015822784810126582
Confrontation,0.1875,0.15,0.1625,0.1375,0.1,0.0875,0.0875,0.0875
Déviations,#isabelle,#cassandre,#colombine,#le-docteur,#leandre,#colombine #le-docteur,#tous-les-acteurs,#leandre #isabelle
#isabelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cassandre,0.0,1.5,0.5,0.16666666666666666,0.0,0.5,0.5,0.5
#colombine,0.0,0.5,0.6666666666666669,0.0,0.0833333333333333,0.1666666666666667,0.1666666666666667,0.1666666666666667
#le-docteur,0.0,0.16666666666666666,0.0,1.5,0.0,0.5,0.5,0.5
#leandre,0.0,0.0,0.0833333333333333,0.0,2.6666666666666674,1.3333333333333337,1.3333333333333337,1.3333333333333337
#colombine #le-docteur,0.0,0.5,0.1666666666666667,0.5,1.3333333333333337,4.166666666666668,4.166666666666668,4.166666666666668
#colombine #le-docteur,0.0,0.5,0.1666666666666667,0.5,1.3333333333333337,4.166666666666668,4.166666666666668,4.166666666666668
#colombine #le-docteur,0.0,0.5,0.1666666666666667,0.5,1.3333333333333337,4.166666666666668,4.166666666666668,4.166666666666668
Successions,#isabelle,#cassandre,#colombine,#le-docteur,#leandre,#colombine #le-docteur,#tous-les-acteurs,#leandre #isabelle
#isabelle,0.0,0.12195121951219512,0.24390243902439024,0.1951219512195122,0.43902439024390244,0.0,0.0,0.0
#cassandre,0.38461538461538464,0.0,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0
#colombine,0.52,0.2,0.04,0.24,0.0,0.0,0.0,0.0
#le-docteur,0.3684210526315789,0.10526315789473684,0.3157894736842105,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0
#leandre,0.7391304347826086,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.0,0.043478260869565216
#colombine #le-docteur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#tous-les-acteurs,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#leandre #isabelle,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
