VALEUR,#julie,#livie,#theodoric,#emile,#boece,#sinderic,#maxime,#horace,#cornelie
Fréquences (scènes),0.59375,0.3125,0.25,0.15625,0.0625,0.375,0.3125,0.1875,0.09375
Fréquences(répliques),0.35480464625131997,0.0395987328405491,0.11087645195353749,0.024287222808870117,0.029567053854276663,0.2729672650475185,0.13621964097148892,0.028511087645195353,0.0031678986272439284
Confrontation,0.20945945945945946,0.13513513513513514,0.11486486486486487,0.08108108108108109,0.02027027027027027,0.13513513513513514,0.13513513513513514,0.0945945945945946,0.07432432432432433
Déviations,#julie,#livie,#theodoric,#emile,#boece,#sinderic,#maxime,#horace,#cornelie
#julie,5.28125,1.5796052631578947,0.11842105263157894,1.3055921052631578,1.1875,0.17763157894736842,0.14802631578947367,0.08881578947368421,0.8338815789473685
#livie,1.5796052631578947,15.125,0.9,0.2025,0.625,2.0166666666666666,0.005,0.008333333333333333,4.5375
#theodoric,0.11842105263157894,0.9,18.0,0.45,4.5,0.3333333333333333,0.1,0.16666666666666666,0.08333333333333333
#emile,1.3055921052631578,0.2025,0.45,22.78125,1.5125,2.408333333333333,0.2025,0.004166666666666667,0.6020833333333333
#boece,1.1875,0.625,4.5,1.5125,28.125,0.75,0.625,0.375,0.1875
#sinderic,0.17763157894736842,2.0166666666666666,0.3333333333333333,2.408333333333333,0.75,12.5,0.15,0.6944444444444444,0.013888888888888888
#maxime,0.14802631578947367,0.005,0.1,0.2025,0.625,0.15,15.125,5.208333333333333,0.004166666666666667
#horace,0.08881578947368421,0.008333333333333333,0.16666666666666666,0.004166666666666667,0.375,0.6944444444444444,5.208333333333333,21.125,0.3402777777777778
#cornelie,0.8338815789473685,4.5375,0.08333333333333333,0.6020833333333333,0.1875,0.013888888888888888,0.004166666666666667,0.3402777777777778,26.28125
Successions,#julie,#livie,#theodoric,#emile,#boece,#sinderic,#maxime,#horace,#cornelie
#julie,0.024793388429752067,0.19008264462809918,0.17355371900826447,0.0,0.0,0.32231404958677684,0.19834710743801653,0.049586776859504134,0.04132231404958678
#livie,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0
#theodoric,0.5121951219512195,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.14634146341463414,0.1951219512195122,0.024390243902439025,0.0,0.0
#emile,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
#boece,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#sinderic,0.48717948717948717,0.01282051282051282,0.11538461538461539,0.1282051282051282,0.0,0.01282051282051282,0.23076923076923078,0.01282051282051282,0.0
#maxime,0.35,0.15,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0
#horace,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.0
#cornelie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
