VALEUR,#le-maitre,#gilles,#divertissant,#sans-quartier,#gillette,#le-magicien,#monsieur-suc,#monsieur-cornibus
Fréquences (scènes),0.125,0.6875,0.125,0.5625,0.5,0.0625,0.0625,0.0625
Fréquences(répliques),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.09259259259259259,0.2962962962962963,0.09259259259259259,0.2777777777777778,0.18518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517
Déviations,#le-maitre,#gilles,#divertissant,#sans-quartier,#gillette,#le-magicien,#monsieur-suc,#monsieur-cornibus
#le-maitre,12.25,0.2840909090909091,2.25,0.6805555555555556,1.0,0.125,0.125,0.125
#gilles,0.2840909090909091,1.5625,0.2840909090909091,0.005681818181818182,0.4090909090909091,0.14204545454545456,0.6875,0.14204545454545456
#divertissant,2.25,0.2840909090909091,12.25,0.6805555555555556,1.0,0.125,0.125,0.125
#sans-quartier,0.6805555555555556,0.005681818181818182,0.6805555555555556,3.0625,0.05555555555555555,0.5625,0.5625,0.5625
#gillette,1.0,0.4090909090909091,1.0,0.05555555555555555,4.0,0.5,0.5,0.5
#le-magicien,0.125,0.14204545454545456,0.125,0.5625,0.5,14.0625,0.0625,0.0625
#monsieur-suc,0.125,0.6875,0.125,0.5625,0.5,0.0625,14.0625,0.0625
#monsieur-cornibus,0.125,0.14204545454545456,0.125,0.5625,0.5,0.0625,0.0625,14.0625
Successions,#le-maitre,#gilles,#divertissant,#sans-quartier,#gillette,#le-magicien,#monsieur-suc,#monsieur-cornibus
#le-maitre,0.0,0.7407407407407407,0.07407407407407407,0.14814814814814814,0.037037037037037035,0.0,0.0,0.0
#gilles,0.1125,0.01875,0.00625,0.10625,0.29375,0.35625,0.0,0.10625
#divertissant,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0
#sans-quartier,0.09836065573770492,0.3114754098360656,0.03278688524590164,0.0,0.5573770491803278,0.0,0.0,0.0
#gillette,0.0,0.42718446601941745,0.0,0.36893203883495146,0.009708737864077669,0.0,0.1941747572815534,0.0
#le-magicien,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-suc,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#le-magicien,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
