VALEUR,#agon,#sinan,#fatime,#nadine,#hassan,#abdul,#stenvic,#saint-martin,#ibrahim,#sadi
Fréquences (scènes),0.5,0.125,0.4375,0.125,0.21875,0.25,0.03125,0.0625,0.125,0.03125
Fréquences(répliques),0.31759149940968123,0.03896103896103896,0.21369539551357733,0.07260920897284534,0.08382526564344746,0.09031877213695395,0.04073199527744982,0.08618654073199528,0.053128689492325853,0.0029515938606847697
Confrontation,0.24324324324324326,0.10810810810810811,0.1891891891891892,0.06756756756756757,0.13513513513513514,0.12162162162162163,0.013513513513513514,0.04054054054054054,0.06756756756756757,0.013513513513513514
Déviations,#agon,#sinan,#fatime,#nadine,#hassan,#abdul,#stenvic,#saint-martin,#ibrahim,#sadi
#agon,8.0,2.0,2.2857142857142856,0.5,0.07142857142857142,0.0,0.5,0.0,0.5,0.5
#sinan,2.0,24.5,1.75,0.5,0.017857142857142856,1.0,0.125,0.25,0.5,0.125
#fatime,2.2857142857142856,1.75,10.125,0.03571428571428571,0.0012755102040816326,1.7857142857142858,0.4375,1.4464285714285714,0.03571428571428571,0.7232142857142857
#nadine,0.5,0.5,0.03571428571428571,24.5,0.017857142857142856,1.0,0.125,0.25,0.5,0.125
#hassan,0.07142857142857142,0.017857142857142856,0.0012755102040816326,0.017857142857142856,19.53125,0.32142857142857145,0.21875,0.4375,0.875,0.21875
#abdul,0.0,1.0,1.7857142857142858,1.0,0.32142857142857145,18.0,2.25,0.5,1.0,0.25
#stenvic,0.5,0.125,0.4375,0.125,0.21875,2.25,30.03125,0.0625,0.125,0.03125
#saint-martin,0.0,0.25,1.4464285714285714,0.25,0.4375,0.5,0.0625,28.125,0.25,0.0625
#ibrahim,0.5,0.5,0.03571428571428571,0.5,0.875,1.0,0.125,0.25,24.5,0.125
#sadi,0.5,0.125,0.7232142857142857,0.125,0.21875,0.25,0.03125,0.0625,0.125,30.03125
Successions,#agon,#sinan,#fatime,#nadine,#hassan,#abdul,#stenvic,#saint-martin,#ibrahim,#sadi
#agon,0.15,0.25,0.1,0.05,0.1,0.2,0.0,0.1,0.05,0.0
#sinan,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
#fatime,0.16666666666666666,0.0,0.1388888888888889,0.1111111111111111,0.19444444444444445,0.1111111111111111,0.0,0.1388888888888889,0.1111111111111111,0.027777777777777776
#nadine,0.25,0.0,0.625,0.0,0.125,0.0,0.0,0.0,0.0,0.0
#hassan,0.35714285714285715,0.0,0.5,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
#abdul,0.34782608695652173,0.0,0.21739130434782608,0.0,0.08695652173913043,0.043478260869565216,0.30434782608695654,0.0,0.0,0.0
#stenvic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#saint-martin,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0
#ibrahim,0.14285714285714285,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
#sadi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
