VALEUR,#don-salluste,#gudiel,#ruy-blas,#don-cesar,#le-marquis-del-basto,#le-marquis-de-santa-cruz,#le-comte-d-albe,#un-huissier-de-cour,#l-huissier,#la-reine,#casilda,#don-guritan,#la-duchesse,#voix-du-dehors,#don-manuel-arias,#le-comte-de-camporeal,#ubilla,#le-marquis-de-priego,#montazgo,#covadenga,#le-page,#le-laquais,#la-duegne,#l-alcade,#un-alguazil,#les-alguazils,#l-homme-masque
Fréquences (scènes),0.37037037037037035,0.037037037037037035,0.5555555555555556,0.2962962962962963,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.1921847246891652,0.0007104795737122557,0.2642984014209592,0.2216696269982238,0.0014209591474245115,0.003552397868561279,0.0010657193605683837,0.0007104795737122557,0.002486678507992895,0.14209591474245115,0.025932504440497335,0.05364120781527531,0.014564831261101243,0.005683836589698046,0.003552397868561279,0.0152753108348135,0.002841918294849023,0.0021314387211367673,0.002486678507992895,0.007460035523978685,0.0010657193605683837,0.0152753108348135,0.01492007104795737,0.003552397868561279,0.0007104795737122557,0.00035523978685612787,0.00035523978685612787
Confrontation,0.08771929824561403,0.008771929824561403,0.13596491228070176,0.04824561403508772,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.05701754385964912,0.07017543859649122,0.043859649122807015,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.04824561403508772,0.04824561403508772,0.04824561403508772,0.021929824561403508,0.021929824561403508,0.04824561403508772,0.03070175438596491,0.0043859649122807015,0.0043859649122807015,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.008771929824561403
Déviations,#don-salluste,#gudiel,#ruy-blas,#don-cesar,#le-marquis-del-basto,#le-marquis-de-santa-cruz,#le-comte-d-albe,#un-huissier-de-cour,#l-huissier,#la-reine,#casilda,#don-guritan,#la-duchesse,#voix-du-dehors,#don-manuel-arias,#le-comte-de-camporeal,#ubilla,#le-marquis-de-priego,#montazgo,#covadenga,#le-page,#le-laquais,#la-duegne,#l-alcade,#un-alguazil,#les-alguazils,#l-homme-masque
#don-salluste,10.703703703703706,1.0703703703703706,0.03555555555555559,0.3629629629629631,1.0703703703703706,1.0703703703703706,1.0703703703703706,1.0703703703703706,0.01111111111111112,1.3004629629629627,1.1111111111111112,1.8518518518518516,0.7407407407407407,0.37037037037037035,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.37037037037037035,0.37037037037037035,0.7407407407407407,0.7407407407407407,0.37037037037037035,0.37037037037037035,1.0703703703703706,1.0703703703703706,1.0703703703703706,0.37037037037037035
#gudiel,1.0703703703703706,25.03703703703704,0.3555555555555555,0.2962962962962963,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
#ruy-blas,0.03555555555555559,0.3555555555555555,5.333333333333332,2.6694444444444447,0.3555555555555555,0.3555555555555555,0.3555555555555555,0.3555555555555555,0.06666666666666674,0.06944444444444439,0.06666666666666674,0.2177777777777777,0.01111111111111112,0.5555555555555556,0.01111111111111112,0.01111111111111112,0.01111111111111112,0.5555555555555556,0.5555555555555556,0.01111111111111112,0.711111111111111,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.3555555555555555
#don-cesar,0.3629629629629631,0.2962962962962963,2.6694444444444447,13.370370370370372,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.8888888888888888,2.3703703703703702,0.8888888888888888,0.15648148148148142,0.5925925925925926,0.2962962962962963,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.2962962962962963,0.2962962962962963,0.5925925925925926,0.5925925925925926,1.6712962962962965,1.6712962962962965,1.6712962962962965,1.6712962962962965,1.6712962962962965,0.2962962962962963
#le-marquis-del-basto,1.0703703703703706,0.037037037037037035,0.3555555555555555,0.2962962962962963,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,7.111111111111111,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
#le-marquis-del-basto,1.0703703703703706,0.037037037037037035,0.3555555555555555,0.2962962962962963,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,7.111111111111111,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
