VALEUR,#georges,#noellie,#noemie,#le-comte,#le-garde-champetre,#noemie #noellie,#la-comtesse,#madame-bridanon,#les-paysans,#bridanon,#premier-paysan,#deuxieme-paysan,#premiere-paysanne,#deuxieme-paysanne,#paysans-et-paysannes,#quatrieme-paysanne,#le-comte #la-comtesse,#paysans #paysannes
Fréquences (scènes),0.42857142857142855,0.6428571428571429,0.6428571428571429,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
Fréquences(répliques),0.2322695035460993,0.20567375886524822,0.10460992907801418,0.11347517730496454,0.22695035460992907,0.0017730496453900709,0.02304964539007092,0.030141843971631204,0.005319148936170213,0.028368794326241134,0.0017730496453900709,0.0035460992907801418,0.0035460992907801418,0.0035460992907801418,0.008865248226950355,0.0017730496453900709,0.0017730496453900709,0.0035460992907801418
Confrontation,0.07203389830508475,0.11440677966101695,0.1440677966101695,0.08050847457627118,0.07627118644067797,0.01694915254237288,0.01694915254237288,0.05508474576271186,0.03389830508474576,0.07203389830508475,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.07203389830508475,0.03389830508474576,0.038135593220338986,0.038135593220338986
Déviations,#georges,#noellie,#noemie,#le-comte,#le-garde-champetre,#noemie #noellie,#la-comtesse,#madame-bridanon,#les-paysans,#bridanon,#premier-paysan,#deuxieme-paysan,#premiere-paysanne,#deuxieme-paysanne,#paysans-et-paysannes,#quatrieme-paysanne,#le-comte #la-comtesse,#paysans #paysannes
#georges,4.571428571428573,0.005291005291005253,0.19047619047619066,0.9603174603174602,0.009523809523809516,0.42857142857142855,0.7619047619047619,1.5238095238095237,0.42857142857142855,0.023809523809523826,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.023809523809523826,0.42857142857142855,0.7619047619047619,0.7619047619047619
#noellie,0.00529100529100532,1.7857142857142847,0.8474426807760134,0.00529100529100532,0.014285714285714301,0.1984126984126985,0.1984126984126985,0.396825396825397,0.6428571428571428,0.06349206349206343,0.6428571428571428,0.6428571428571428,0.6428571428571428,0.6428571428571428,0.06349206349206343,0.6428571428571428,0.1984126984126985,0.1984126984126985
#noemie,0.19047619047619033,0.8474426807760134,1.7857142857142847,0.00529100529100532,0.014285714285714301,0.1984126984126985,0.1984126984126985,0.396825396825397,0.1984126984126985,0.396825396825397,0.1984126984126985,0.1984126984126985,0.1984126984126985,0.1984126984126985,0.396825396825397,0.1984126984126985,0.1984126984126985,0.1984126984126985
#le-comte,0.9603174603174602,0.005291005291005253,0.005291005291005253,4.571428571428573,1.6095238095238096,0.7619047619047619,0.42857142857142855,0.023809523809523826,0.42857142857142855,0.023809523809523826,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.023809523809523826,0.42857142857142855,0.7619047619047619,0.7619047619047619
#le-garde-champetre,0.009523809523809516,0.014285714285714301,0.014285714285714301,1.6095238095238096,5.785714285714286,1.1571428571428575,0.3571428571428571,0.11428571428571437,0.3571428571428571,0.11428571428571437,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.11428571428571437,0.3571428571428571,1.1571428571428575,1.1571428571428575
#noemie #noellie,0.42857142857142855,0.19841269841269835,0.19841269841269835,0.7619047619047619,1.1571428571428568,12.071428571428573,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
#la-comtesse,0.7619047619047619,0.19841269841269835,0.19841269841269835,0.42857142857142855,0.35714285714285715,0.07142857142857142,12.071428571428573,5.142857142857144,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
#madame-bridanon,1.5238095238095237,0.3968253968253967,0.3968253968253967,0.023809523809523826,0.11428571428571427,0.14285714285714285,5.142857142857144,10.285714285714288,0.14285714285714285,1.7857142857142858,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.7857142857142858,0.14285714285714285,5.142857142857144,5.142857142857144
#les-paysans,0.42857142857142855,0.6428571428571429,0.19841269841269835,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.14285714285714285,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,5.142857142857144,12.071428571428573,0.07142857142857142,0.07142857142857142
#bridanon,0.023809523809523826,0.06349206349206353,0.3968253968253967,0.023809523809523826,0.11428571428571427,0.14285714285714285,0.14285714285714285,1.7857142857142858,5.142857142857144,10.285714285714288,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,10.285714285714288,5.142857142857144,5.142857142857144,5.142857142857144
#les-paysans,0.42857142857142855,0.6428571428571429,0.19841269841269835,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.14285714285714285,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,5.142857142857144,12.071428571428573,0.07142857142857142,0.07142857142857142
#les-paysans,0.42857142857142855,0.6428571428571429,0.19841269841269835,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.14285714285714285,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,5.142857142857144,12.071428571428573,0.07142857142857142,0.07142857142857142
#les-paysans,0.42857142857142855,0.6428571428571429,0.19841269841269835,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.14285714285714285,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,5.142857142857144,12.071428571428573,0.07142857142857142,0.07142857142857142
#les-paysans,0.42857142857142855,0.6428571428571429,0.19841269841269835,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.14285714285714285,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,5.142857142857144,12.071428571428573,0.07142857142857142,0.07142857142857142
#bridanon,0.023809523809523826,0.06349206349206353,0.3968253968253967,0.023809523809523826,0.11428571428571427,0.14285714285714285,0.14285714285714285,1.7857142857142858,5.142857142857144,10.285714285714288,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,10.285714285714288,5.142857142857144,5.142857142857144,5.142857142857144
#les-paysans,0.42857142857142855,0.6428571428571429,0.19841269841269835,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.14285714285714285,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,5.142857142857144,12.071428571428573,0.07142857142857142,0.07142857142857142
#le-comte #la-comtesse,0.7619047619047619,0.19841269841269835,0.19841269841269835,0.7619047619047619,1.1571428571428568,0.07142857142857142,0.07142857142857142,5.142857142857144,0.07142857142857142,5.142857142857144,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,5.142857142857144,0.07142857142857142,12.071428571428573,12.071428571428573
#le-comte #la-comtesse,0.7619047619047619,0.19841269841269835,0.19841269841269835,0.7619047619047619,1.1571428571428568,0.07142857142857142,0.07142857142857142,5.142857142857144,0.07142857142857142,5.142857142857144,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,5.142857142857144,0.07142857142857142,12.071428571428573,12.071428571428573
Successions,#georges,#noellie,#noemie,#le-comte,#le-garde-champetre,#noemie #noellie,#la-comtesse,#madame-bridanon,#les-paysans,#bridanon,#premier-paysan,#deuxieme-paysan,#premiere-paysanne,#deuxieme-paysanne,#paysans-et-paysannes,#quatrieme-paysanne,#le-comte #la-comtesse,#paysans #paysannes
#georges,0.0425531914893617,0.5319148936170213,0.06382978723404255,0.0,0.1702127659574468,0.0,0.0851063829787234,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.02127659574468085
#noellie,0.5333333333333333,0.0,0.28888888888888886,0.08888888888888889,0.044444444444444446,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0
