VALEUR,#bajazet,#soliman,#le-capigi,#hazan,#roxelane,#le-mufti,#acomat,#aspasie,#un-capigi,#ibrahim
Fréquences (scènes),0.2916666666666667,0.7916666666666666,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.125,0.125,0.25,0.08333333333333333,0.041666666666666664
Fréquences(répliques),0.11057460164171898,0.37035248672139065,0.00386286817962337,0.024625784645098986,0.12216320618058908,0.11057460164171898,0.07098020280057943,0.18010622887493966,0.001931434089811685,0.004828585224529213
Confrontation,0.10256410256410256,0.3333333333333333,0.07692307692307693,0.05128205128205128,0.08974358974358974,0.05128205128205128,0.08974358974358974,0.08974358974358974,0.0641025641025641,0.05128205128205128
Déviations,#bajazet,#soliman,#le-capigi,#hazan,#roxelane,#le-mufti,#acomat,#aspasie,#un-capigi,#ibrahim
#bajazet,12.041666666666664,0.05294486215538836,0.5833333333333333,0.5833333333333333,0.5314625850340139,0.875,0.875,0.03571428571428571,0.5833333333333333,0.29166666666666663
#soliman,0.05294486215538853,1.041666666666667,0.10964912280701758,0.10964912280701758,0.05294486215538853,0.05921052631578947,0.16447368421052633,0.11842105263157894,0.10964912280701758,0.05482456140350879
#le-capigi,0.5833333333333334,0.10964912280701758,20.166666666666664,4.166666666666668,0.5833333333333334,0.25,2.25,0.5,4.166666666666668,10.083333333333332
#hazan,0.5833333333333334,0.10964912280701758,4.166666666666668,20.166666666666664,0.5833333333333334,0.25,0.25,0.5,0.16666666666666666,0.08333333333333333
#roxelane,0.5314625850340139,0.05294486215538836,0.5833333333333333,0.5833333333333333,12.041666666666664,0.017857142857142856,0.875,1.75,0.5833333333333333,0.29166666666666663
#le-mufti,0.875,0.05921052631578947,0.25,0.25,0.017857142857142856,18.375,1.0416666666666667,0.75,0.25,0.125
#acomat,0.875,0.16447368421052633,2.25,0.25,0.875,1.0416666666666667,18.375,0.75,2.25,6.125
#aspasie,0.03571428571428571,0.11842105263157894,0.5,0.5,1.75,0.75,0.75,13.5,0.5,0.25
#un-capigi,0.5833333333333334,0.10964912280701758,4.166666666666668,0.16666666666666666,0.5833333333333334,0.25,2.25,0.5,20.166666666666664,10.083333333333332
#ibrahim,0.2916666666666667,0.05482456140350879,10.083333333333332,0.08333333333333333,0.2916666666666667,0.125,6.125,0.25,10.083333333333332,22.04166666666667
Successions,#bajazet,#soliman,#le-capigi,#hazan,#roxelane,#le-mufti,#acomat,#aspasie,#un-capigi,#ibrahim
#bajazet,0.0,0.34375,0.0,0.0,0.0,0.0,0.0,0.65625,0.0,0.0
#soliman,0.13333333333333333,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.2571428571428571,0.02857142857142857,0.0761904761904762,0.34285714285714286,0.01904761904761905,0.02857142857142857
#le-capigi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-capigi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#roxelane,0.0,0.9655172413793104,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0
#le-mufti,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
#acomat,0.0,0.5,0.125,0.0,0.0,0.375,0.0,0.0,0.0,0.0
#aspasie,0.3220338983050847,0.6271186440677966,0.0,0.01694915254237288,0.0,0.0,0.0,0.03389830508474576,0.0,0.0
#le-capigi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-capigi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
