VALEUR,#leon,#roger,#bradamante,#hipalque,#charles,#aymon,#renaud,#marphise,#naymes,#zenon,#ambassadeurs
Fréquences (scènes),0.4,0.44,0.44,0.08,0.4,0.4,0.4,0.36,0.08,0.08,0.04
Fréquences(répliques),0.23917322834645668,0.23622047244094488,0.1328740157480315,0.015748031496062992,0.08464566929133858,0.10679133858267717,0.06446850393700787,0.09055118110236221,0.005905511811023622,0.000984251968503937,0.022637795275590553
Confrontation,0.11397058823529412,0.09558823529411764,0.11397058823529412,0.007352941176470588,0.15073529411764705,0.15441176470588236,0.15441176470588236,0.125,0.03676470588235294,0.029411764705882353,0.01838235294117647
Déviations,#leon,#roger,#bradamante,#hipalque,#charles,#aymon,#renaud,#marphise,#naymes,#zenon,#ambassadeurs
#leon,9.0,0.5818181818181815,0.44545454545454566,0.8000000000000002,1.0,0.25,0.25,0.04444444444444453,0.8000000000000002,0.049999999999999975,0.8999999999999999
#roger,0.5818181818181815,7.84,1.6664462809917355,0.88,0.036363636363636424,0.036363636363636424,0.036363636363636424,0.23272727272727273,0.01636363636363636,0.01636363636363636,0.7127272727272729
#bradamante,0.44545454545454566,1.6664462809917355,7.84,1.4254545454545458,0.036363636363636424,0.08181818181818172,0.5818181818181815,2.3337373737373737,0.01636363636363636,0.01636363636363636,0.44
#hipalque,0.8000000000000002,0.88,1.4254545454545458,21.16,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.72,0.16,0.16,0.08
#charles,1.0,0.036363636363636424,0.036363636363636424,0.8000000000000002,9.0,6.25,4.0,1.6000000000000005,1.7999999999999998,0.049999999999999975,0.8999999999999999
#aymon,0.25,0.036363636363636424,0.08181818181818172,0.8000000000000002,6.25,9.0,6.25,1.6000000000000005,1.7999999999999998,0.049999999999999975,0.8999999999999999
#renaud,0.25,0.036363636363636424,0.5818181818181815,0.8000000000000002,4.0,6.25,9.0,1.6000000000000005,1.7999999999999998,0.049999999999999975,0.8999999999999999
#marphise,0.04444444444444442,0.23272727272727273,2.3337373737373737,0.72,1.5999999999999999,1.5999999999999999,1.5999999999999999,10.24,0.10888888888888891,0.10888888888888891,0.36
#naymes,0.8000000000000002,0.01636363636363636,0.01636363636363636,0.16,1.7999999999999998,1.7999999999999998,1.7999999999999998,0.10888888888888891,21.16,4.409999999999999,0.08
#zenon,0.049999999999999975,0.01636363636363636,0.01636363636363636,0.16,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.10888888888888891,4.409999999999999,21.16,0.08
#ambassadeurs,0.8999999999999999,0.7127272727272729,0.44,0.08,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.36,0.08,0.08,23.04
Successions,#leon,#roger,#bradamante,#hipalque,#charles,#aymon,#renaud,#marphise,#naymes,#zenon,#ambassadeurs
#leon,0.02,0.44,0.12,0.0,0.18,0.14,0.02,0.06,0.0,0.02,0.0
#roger,0.6097560975609756,0.0,0.04878048780487805,0.0,0.07317073170731707,0.04878048780487805,0.04878048780487805,0.12195121951219512,0.024390243902439025,0.0,0.024390243902439025
#bradamante,0.125,0.1875,0.0,0.125,0.15625,0.03125,0.15625,0.21875,0.0,0.0,0.0
#hipalque,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#charles,0.21052631578947367,0.15789473684210525,0.13157894736842105,0.02631578947368421,0.05263157894736842,0.21052631578947367,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.10526315789473684
#aymon,0.15789473684210525,0.02631578947368421,0.02631578947368421,0.0,0.3157894736842105,0.0,0.23684210526315788,0.21052631578947367,0.02631578947368421,0.0,0.0
#renaud,0.0,0.125,0.20833333333333334,0.0,0.08333333333333333,0.4583333333333333,0.0,0.125,0.0,0.0,0.0
#marphise,0.17857142857142858,0.0,0.25,0.0,0.07142857142857142,0.2857142857142857,0.17857142857142858,0.0,0.03571428571428571,0.0,0.0
#naymes,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0
#zenon,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
#ambassadeurs,0.0,0.6,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
