VALEUR,#le-comte-de-clocestre,#le-comte-d-arondel,#un-anglais,#gilfort,#jeanne,#le-duc-de-northbelant,#le-soldat,#marie,#le-duc-de-nolfoc,#elisabeth,#eleonor,#le-chancelier,#le-marquis-de-vincetre,#l-huissier-du-cabinet,#le-capitaine-des-gardes,#le-comte-d-erby
Fréquences (scènes),0.2608695652173913,0.08695652173913043,0.043478260869565216,0.43478260869565216,0.6086956521739131,0.2608695652173913,0.043478260869565216,0.2608695652173913,0.21739130434782608,0.13043478260869565,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.08695652173913043
Fréquences(répliques),0.08693115519253208,0.007001166861143524,0.002333722287047841,0.12018669778296383,0.25204200700116686,0.09976662777129522,0.005250875145857643,0.16219369894982497,0.06651108518086347,0.06651108518086347,0.05309218203033839,0.011668611435239206,0.004667444574095682,0.0011668611435239206,0.007001166861143524,0.05367561260210035
Confrontation,0.12048192771084337,0.024096385542168676,0.012048192771084338,0.14457831325301204,0.14457831325301204,0.10240963855421686,0.018072289156626505,0.0783132530120482,0.09036144578313253,0.060240963855421686,0.060240963855421686,0.030120481927710843,0.030120481927710843,0.024096385542168676,0.04216867469879518,0.018072289156626505
Déviations,#le-comte-de-clocestre,#le-comte-d-arondel,#un-anglais,#gilfort,#jeanne,#le-duc-de-northbelant,#le-soldat,#marie,#le-duc-de-nolfoc,#elisabeth,#eleonor,#le-chancelier,#le-marquis-de-vincetre,#l-huissier-du-cabinet,#le-capitaine-des-gardes,#le-comte-d-erby
#le-comte-de-clocestre,12.56521739130435,0.43840579710144933,2.094202898550724,0.14202898550724638,1.9259834368530024,0.12077294685990349,0.2608695652173913,1.3152173913043481,5.571014492753624,6.282608695652175,1.5652173913043477,2.094202898550724,2.094202898550724,2.094202898550724,0.7826086956521738,0.5217391304347826
#le-comte-d-arondel,0.43840579710144933,19.17391304347826,9.58695652173913,0.019565217391304356,0.03881987577639754,0.5217391304347826,0.08695652173913043,0.5217391304347826,0.43478260869565216,0.2608695652173913,0.5217391304347826,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.2608695652173913,0.17391304347826086
#un-anglais,2.094202898550724,9.58695652173913,21.043478260869566,0.43478260869565216,0.6086956521739131,0.2608695652173913,0.043478260869565216,0.2608695652173913,0.21739130434782608,0.13043478260869565,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.08695652173913043
#gilfort,0.14202898550724638,0.019565217391304356,0.43478260869565216,7.347826086956523,0.6012422360248444,4.408695652173913,0.7347826086956523,2.608695652173913,0.6339130434782608,1.3043478260869565,0.9920289855072464,0.7347826086956523,0.7347826086956523,0.43478260869565216,0.37101449275362314,0.8695652173913043
#jeanne,1.925983436853002,0.03881987577639754,0.6086956521739131,0.6012422360248452,3.5217391304347814,0.03312629399585926,0.2515527950310558,1.925983436853002,3.043478260869565,1.826086956521739,0.49741200828157367,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.01656314699792963,0.03881987577639754
#le-duc-de-northbelant,0.12077294685990349,0.5217391304347826,0.2608695652173913,4.408695652173913,0.03312629399585917,12.56521739130435,2.094202898550724,1.5652173913043477,0.07101449275362319,0.7826086956521738,1.5652173913043477,2.094202898550724,2.094202898550724,0.2608695652173913,0.060386473429951744,0.5217391304347826
#le-soldat,0.2608695652173913,0.08695652173913043,0.043478260869565216,0.7347826086956523,0.2515527950310558,2.094202898550724,21.043478260869566,0.2608695652173913,0.21739130434782608,0.13043478260869565,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.08695652173913043
#marie,1.3152173913043481,0.5217391304347826,0.2608695652173913,2.608695652173913,1.9259834368530024,1.5652173913043477,0.2608695652173913,12.56521739130435,2.2043478260869565,6.282608695652175,0.20410628019323662,0.2608695652173913,0.2608695652173913,2.094202898550724,0.7826086956521738,0.43840579710144933
#le-duc-de-nolfoc,5.571014492753624,0.43478260869565216,0.21739130434782608,0.6339130434782608,3.0434782608695654,0.07101449275362319,0.21739130434782608,2.2043478260869565,14.08695652173913,8.452173913043477,1.3043478260869565,2.8173913043478267,2.8173913043478267,2.8173913043478267,0.6521739130434783,0.43478260869565216
#elisabeth,6.282608695652175,0.2608695652173913,0.13043478260869565,1.3043478260869565,1.8260869565217392,0.7826086956521738,0.13043478260869565,6.282608695652175,8.452173913043477,17.39130434782609,0.7826086956521738,0.13043478260869565,0.13043478260869565,5.797101449275362,0.3913043478260869,0.2608695652173913
#eleonor,1.5652173913043477,0.5217391304347826,0.2608695652173913,0.9920289855072464,0.4974120082815733,1.5652173913043477,0.2608695652173913,0.20410628019323662,1.3043478260869565,0.7826086956521738,12.56521739130435,0.2608695652173913,0.2608695652173913,0.2608695652173913,1.8937198067632854,0.43840579710144933
#le-chancelier,2.094202898550724,0.08695652173913043,0.043478260869565216,0.7347826086956523,0.6086956521739131,2.094202898550724,0.043478260869565216,0.2608695652173913,2.8173913043478267,0.13043478260869565,0.2608695652173913,21.043478260869566,21.043478260869566,0.043478260869565216,0.13043478260869565,0.08695652173913043
#le-chancelier,2.094202898550724,0.08695652173913043,0.043478260869565216,0.7347826086956523,0.6086956521739131,2.094202898550724,0.043478260869565216,0.2608695652173913,2.8173913043478267,0.13043478260869565,0.2608695652173913,21.043478260869566,21.043478260869566,0.043478260869565216,0.13043478260869565,0.08695652173913043
#l-huissier-du-cabinet,2.094202898550724,0.08695652173913043,0.043478260869565216,0.43478260869565216,0.6086956521739131,0.2608695652173913,0.043478260869565216,2.094202898550724,2.8173913043478267,5.797101449275362,0.2608695652173913,0.043478260869565216,0.043478260869565216,21.043478260869566,0.13043478260869565,0.08695652173913043
#le-capitaine-des-gardes,0.7826086956521738,0.2608695652173913,0.13043478260869565,0.37101449275362314,0.016563146997929584,0.060386473429951744,0.13043478260869565,0.7826086956521738,0.6521739130434783,0.3913043478260869,1.8937198067632854,0.13043478260869565,0.13043478260869565,0.13043478260869565,17.39130434782609,0.2608695652173913
#le-comte-d-erby,0.5217391304347826,0.17391304347826086,0.08695652173913043,0.8695652173913043,0.03881987577639754,0.5217391304347826,0.08695652173913043,0.43840579710144933,0.43478260869565216,0.2608695652173913,0.43840579710144933,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.2608695652173913,19.17391304347826
Successions,#le-comte-de-clocestre,#le-comte-d-arondel,#un-anglais,#gilfort,#jeanne,#le-duc-de-northbelant,#le-soldat,#marie,#le-duc-de-nolfoc,#elisabeth,#eleonor,#le-chancelier,#le-marquis-de-vincetre,#l-huissier-du-cabinet,#le-capitaine-des-gardes,#le-comte-d-erby
#le-comte-de-clocestre,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
#le-comte-d-arondel,0.4,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-anglais,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#gilfort,0.16666666666666666,0.1111111111111111,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
#jeanne,0.05263157894736842,0.02631578947368421,0.0,0.23684210526315788,0.02631578947368421,0.15789473684210525,0.07894736842105263,0.15789473684210525,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.07894736842105263,0.10526315789473684
#le-duc-de-northbelant,0.1111111111111111,0.0,0.0,0.16666666666666666,0.4444444444444444,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0
#le-soldat,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#marie,0.125,0.0,0.0,0.0,0.1875,0.0,0.0,0.03125,0.125,0.34375,0.03125,0.0,0.0,0.03125,0.0,0.125
#le-duc-de-nolfoc,0.125,0.0,0.0,0.0,0.125,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#elisabeth,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eleonor,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0
#le-chancelier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis-de-vincetre,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-huissier-du-cabinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-capitaine-des-gardes,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#le-comte-d-erby,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
