VALEUR,#timandre,#acis,#le-choeur,#galatee,#timandre #acis #climene,#clymene,#galatee #clymene,#polypheme,#neree,#galatee-neree,#berger-bergere,#deux-bergers
Fréquences (scènes),0.4,0.4,0.4,0.8,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1
Fréquences(répliques),0.09696969696969697,0.15151515151515152,0.03636363636363636,0.3393939393939394,0.006060606060606061,0.05757575757575758,0.01818181818181818,0.1787878787878788,0.03636363636363636,0.015151515151515152,0.03636363636363636,0.02727272727272727
Confrontation,0.10344827586206896,0.11206896551724138,0.13793103448275862,0.1810344827586207,0.08620689655172414,0.11206896551724138,0.07758620689655173,0.017241379310344827,0.04310344827586207,0.04310344827586207,0.04310344827586207,0.04310344827586207
Déviations,#timandre,#acis,#le-choeur,#galatee,#timandre #acis #climene,#clymene,#galatee #clymene,#polypheme,#neree,#galatee-neree,#berger-bergere,#deux-bergers
#timandre,3.5999999999999996,1.2249999999999999,0.09999999999999995,0.4500000000000001,1.7999999999999998,0.5333333333333334,0.049999999999999975,0.8000000000000002,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001
#acis,1.2249999999999999,3.5999999999999996,0.09999999999999995,0.012500000000000022,1.7999999999999998,0.5333333333333334,0.049999999999999975,0.8000000000000002,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001
#le-choeur,0.09999999999999995,0.09999999999999995,3.5999999999999996,0.012500000000000022,0.049999999999999975,0.5333333333333334,1.7999999999999998,0.8000000000000002,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999
#galatee,0.4500000000000001,0.012500000000000022,0.012500000000000022,0.3999999999999998,0.09999999999999995,0.15000000000000005,0.09999999999999995,0.09999999999999995,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975
#timandre #acis #climene,1.7999999999999998,1.7999999999999998,0.049999999999999975,0.09999999999999995,6.400000000000001,3.266666666666666,0.8999999999999999,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#clymene,0.533333333333333,0.533333333333333,0.533333333333333,0.1499999999999998,3.2666666666666657,4.9,3.2666666666666657,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
#galatee #clymene,0.049999999999999975,0.049999999999999975,1.7999999999999998,0.09999999999999995,0.8999999999999999,3.266666666666666,6.400000000000001,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#polypheme,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.09999999999999995,0.4000000000000001,0.6,0.4000000000000001,6.400000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#neree,0.4000000000000001,0.4000000000000001,0.8999999999999999,0.049999999999999975,0.20000000000000004,0.3,0.20000000000000004,0.20000000000000004,8.1,8.1,8.1,8.1
#neree,0.4000000000000001,0.4000000000000001,0.8999999999999999,0.049999999999999975,0.20000000000000004,0.3,0.20000000000000004,0.20000000000000004,8.1,8.1,8.1,8.1
#neree,0.4000000000000001,0.4000000000000001,0.8999999999999999,0.049999999999999975,0.20000000000000004,0.3,0.20000000000000004,0.20000000000000004,8.1,8.1,8.1,8.1
#neree,0.4000000000000001,0.4000000000000001,0.8999999999999999,0.049999999999999975,0.20000000000000004,0.3,0.20000000000000004,0.20000000000000004,8.1,8.1,8.1,8.1
Successions,#timandre,#acis,#le-choeur,#galatee,#timandre #acis #climene,#clymene,#galatee #clymene,#polypheme,#neree,#galatee-neree,#berger-bergere,#deux-bergers
#timandre,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acis,0.25,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25
#galatee,0.0,0.30434782608695654,0.0,0.13043478260869565,0.0,0.043478260869565216,0.0,0.43478260869565216,0.08695652173913043,0.0,0.0,0.0
#timandre #acis #climene,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clymene,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#galatee #clymene,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#polypheme,0.0,0.0,0.09090909090909091,0.8181818181818182,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
#neree,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#galatee-neree,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#berger-bergere,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#deux-bergers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
