VALEUR,#la-baguenaudiere,#madame-bouvillon,#blaise-bouvillon,#isabelle,#le-destin,#ragotin,#le-charretier,#la-rancune,#l-olive,#mademoiselle-la-caverne,#mademoiselle-l-etoile,#premier-porteur,#second-porteur,#troisieme-porteur,#l-etoile,#de-preraze,#des-lentilles,#de-boiscoupe,#de-mousseverte,#le-decorateur,#tous-ensemble,#cleopatre,#charmion,#antoine,#eros,#le-page,#le-laquais
Fréquences (scènes),0.36923076923076925,0.23076923076923078,0.09230769230769231,0.23076923076923078,0.2923076923076923,0.3076923076923077,0.03076923076923077,0.2923076923076923,0.06153846153846154,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.13846153846153847,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.1076923076923077,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.015384615384615385
Fréquences(répliques),0.15080789946140036,0.08916816277678037,0.04488330341113106,0.05026929982046679,0.07301017354877319,0.21843207660083783,0.005385996409335727,0.1561938958707361,0.03411131059245961,0.0017953321364452424,0.0005984440454817474,0.0017953321364452424,0.0017953321364452424,0.003590664272890485,0.029323758228605626,0.004189108318372232,0.003590664272890485,0.003590664272890485,0.002992220227408737,0.012567324955116697,0.0005984440454817474,0.033512866546977854,0.017953321364452424,0.029922202274087373,0.02752842609216038,0.0011968880909634949,0.0011968880909634949
Confrontation,0.13829787234042554,0.07021276595744681,0.03404255319148936,0.06595744680851064,0.07446808510638298,0.125531914893617,0.014893617021276596,0.07234042553191489,0.029787234042553193,0.019148936170212766,0.00851063829787234,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.031914893617021274,0.04468085106382979,0.04468085106382979,0.04468085106382979,0.04468085106382979,0.02127659574468085,0.01276595744680851,0.02553191489361702,0.014893617021276596,0.010638297872340425,0.00851063829787234,0.00851063829787234,0.002127659574468085
Déviations,#la-baguenaudiere,#madame-bouvillon,#blaise-bouvillon,#isabelle,#le-destin,#ragotin,#le-charretier,#la-rancune,#l-olive,#mademoiselle-la-caverne,#mademoiselle-l-etoile,#premier-porteur,#second-porteur,#troisieme-porteur,#l-etoile,#de-preraze,#des-lentilles,#de-boiscoupe,#de-mousseverte,#le-decorateur,#tous-ensemble,#cleopatre,#charmion,#antoine,#eros,#le-page,#le-laquais
#la-baguenaudiere,25.86153846153846,0.38568376068376076,1.4376068376068374,0.4273504273504273,2.2982793522267206,2.8846153846153837,0.09262820512820509,1.2960863697705802,4.31025641025641,0.09262820512820509,1.0775641025641025,0.36923076923076925,0.36923076923076925,0.36923076923076925,1.624002849002849,4.31025641025641,4.31025641025641,4.31025641025641,4.31025641025641,0.7188034188034187,1.0775641025641025,0.1322344322344323,0.1540064102564103,1.476923076923077,1.1076923076923078,1.0775641025641025,0.36923076923076925
#madame-bouvillon,0.38568376068376076,38.46153846153846,0.10683760683760682,0.06153846153846157,0.595141700404858,0.03205128205128197,0.46153846153846156,1.296896086369771,0.006410256410256401,5.128205128205127,2.5641025641025634,2.5641025641025634,2.5641025641025634,2.5641025641025634,0.5584045584045585,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.13675213675213677,0.23076923076923078,1.6153846153846154,0.9230769230769231,0.9230769230769231,0.6923076923076923,0.23076923076923078,0.23076923076923078
#blaise-bouvillon,1.4376068376068374,0.10683760683760682,53.55384615384616,0.10683760683760682,0.32402159244264506,0.012820512820512803,3.601282051282051,0.32402159244264506,7.202564102564102,0.18461538461538463,0.09230769230769231,0.09230769230769231,0.09230769230769231,0.09230769230769231,0.8307692307692308,0.36923076923076925,0.36923076923076925,0.36923076923076925,0.36923076923076925,0.27692307692307694,0.09230769230769231,0.1937728937728937,1.0775641025641025,0.36923076923076925,0.27692307692307694,8.925641025641024,0.09230769230769231
#isabelle,0.4273504273504273,0.06153846153846157,0.10683760683760682,38.46153846153846,4.858299595141699,0.08205128205128218,0.46153846153846156,0.08636977058029677,0.006410256410256401,0.46153846153846156,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,1.7806267806267801,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.6923076923076923,0.23076923076923078,1.6153846153846154,0.9230769230769231,0.9230769230769231,0.6923076923076923,0.23076923076923078,0.23076923076923078
#le-destin,2.2982793522267206,0.595141700404858,0.32402159244264506,4.858299595141699,32.553846153846145,0.5829959514170043,0.29514170040485826,0.05523119539740051,0.02449392712550609,0.5846153846153846,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.2923076923076923,0.7126405757984705,1.1692307692307693,1.1692307692307693,1.1692307692307693,1.1692307692307693,0.017273954116059382,0.2923076923076923,2.0461538461538464,1.1692307692307693,1.1692307692307693,0.8769230769230769,0.2923076923076923,0.2923076923076923
#ragotin,2.8846153846153837,0.03205128205128197,0.012820512820512803,0.08205128205128218,0.5829959514170043,31.153846153846153,3.115384615384615,0.22773279352226697,2.5432692307692304,3.115384615384615,1.5576923076923075,1.5576923076923075,1.5576923076923075,1.5576923076923075,0.21367521367521364,0.48076923076923067,0.48076923076923067,0.48076923076923067,0.48076923076923067,0.006410256410256401,1.5576923076923075,0.6181318681318684,1.2307692307692308,1.2307692307692308,0.9230769230769231,0.3076923076923077,1.5576923076923075
