VALEUR,#rieur,#marchand,#cribleurs,#le-marchand,#le-savetier,#le-notaire,#le-meunier,#l-ane,#la-femme,#le-patissier
Fréquences (scènes),0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
Fréquences(répliques),0.2318840579710145,0.01932367149758454,0.033816425120772944,0.25120772946859904,0.11594202898550725,0.1111111111111111,0.09178743961352658,0.014492753623188406,0.10628019323671498,0.024154589371980676
Confrontation,0.0,0.0,0.045454545454545456,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.09090909090909091
Déviations,#rieur,#marchand,#cribleurs,#le-marchand,#le-savetier,#le-notaire,#le-meunier,#l-ane,#la-femme,#le-patissier
#rieur,7.111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
#marchand,0.1111111111111111,7.111111111111111,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
#cribleurs,0.1111111111111111,0.1111111111111111,7.111111111111111,0.1666666666666667,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
#le-marchand,0.6666666666666666,0.6666666666666666,0.1666666666666667,1.0,0.5,0.1666666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333334,0.1666666666666667
#le-savetier,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,4.0,1.3333333333333337,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
#le-notaire,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1666666666666667,1.3333333333333337,7.111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
#le-meunier,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.1111111111111111,7.111111111111111,7.111111111111111,0.2222222222222222,0.1111111111111111
#le-meunier,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.1111111111111111,7.111111111111111,7.111111111111111,0.2222222222222222,0.1111111111111111
#la-femme,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333334,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,5.444444444444445,2.7222222222222223
#le-patissier,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1666666666666667,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,2.7222222222222223,7.111111111111111
Successions,#rieur,#marchand,#cribleurs,#le-marchand,#le-savetier,#le-notaire,#le-meunier,#l-ane,#la-femme,#le-patissier
#rieur,,,,,,,,,,
#marchand,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cribleurs,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#le-marchand,0.0,0.0,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.36666666666666664,0.06666666666666667
#le-savetier,0.0,0.0,0.0625,0.6875,0.0,0.25,0.0,0.0,0.0,0.0
#le-notaire,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
#le-meunier,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
#l-ane,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#la-femme,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
#le-patissier,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
