VALEUR,#nevil,#marguerite,#edouard,#suffolk,#l-officier,#warwik,#summer,#elisabeth
Fréquences (scènes),0.06451612903225806,0.22580645161290322,0.3548387096774194,0.0967741935483871,0.06451612903225806,0.5483870967741935,0.12903225806451613,0.3548387096774194
Fréquences(répliques),0.03635014836795252,0.21364985163204747,0.18916913946587538,0.040059347181008904,0.0051928783382789315,0.33456973293768544,0.039317507418397624,0.14169139465875372
Confrontation,0.03333333333333333,0.11666666666666667,0.21666666666666667,0.05,0.05,0.25,0.06666666666666667,0.21666666666666667
Déviations,#nevil,#marguerite,#edouard,#suffolk,#l-officier,#warwik,#summer,#elisabeth
#nevil,27.12903225806452,5.308755760368664,0.7096774193548389,0.1935483870967742,0.12903225806451613,1.096774193548387,0.25806451612903225,0.7096774193548389
#marguerite,5.308755760368664,18.580645161290327,0.09426057813154588,0.6774193548387096,0.45161290322580644,2.0992138791000268,0.9032258064516129,0.09426057813154588
#edouard,0.7096774193548389,0.09426057813154588,12.903225806451612,0.8220918866080158,0.11876832844574776,0.684664481628428,1.4193548387096777,0.0023993601706211636
#suffolk,0.1935483870967742,0.6774193548387096,0.8220918866080158,25.29032258064517,0.1935483870967742,1.6451612903225807,0.3870967741935484,0.0039100684261974515
#l-officier,0.12903225806451613,0.45161290322580644,0.11876832844574776,0.1935483870967742,27.12903225806452,0.008538899430740024,0.25806451612903225,0.11876832844574776
#warwik,1.096774193548387,2.0992138791000268,0.6846644816284284,1.6451612903225807,0.008538899430740024,6.322580645161291,1.487666034155598,0.17664309125409694
#summer,0.25806451612903225,0.9032258064516129,1.4193548387096777,0.3870967741935484,0.25806451612903225,1.487666034155598,23.516129032258064,1.4193548387096777
#elisabeth,0.7096774193548389,0.09426057813154588,0.0023993601706211636,0.0039100684261974515,0.11876832844574776,0.17664309125409666,1.4193548387096777,12.903225806451612
Successions,#nevil,#marguerite,#edouard,#suffolk,#l-officier,#warwik,#summer,#elisabeth
#nevil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#marguerite,0.36363636363636365,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.09090909090909091
#edouard,0.0,0.28,0.0,0.12,0.04,0.36,0.0,0.2
#suffolk,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
#l-officier,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
#warwik,0.0,0.13953488372093023,0.2558139534883721,0.0,0.0,0.13953488372093023,0.18604651162790697,0.27906976744186046
#summer,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#elisabeth,0.0,0.08333333333333333,0.16666666666666666,0.125,0.08333333333333333,0.5,0.0,0.041666666666666664
