VALEUR,#la-foire,#mezzetin,#la-comedie-française,#la-comedie-italienne,#monsieur-charitides,#gille,#l-opera,#les-deux-comedies,#la-foire #mezettin,#polichinelle,#le-choeur,#tous
Fréquences (scènes),0.9090909090909091,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Fréquences(répliques),0.3305785123966942,0.05785123966942149,0.1487603305785124,0.0,0.0,0.0,0.1652892561983471,0.14049586776859505,0.03305785123966942,0.09917355371900827,0.01652892561983471,0.008264462809917356
Confrontation,0.23076923076923078,0.08974358974358974,0.16666666666666666,0.16666666666666666,0.05128205128205128,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
Déviations,#la-foire,#mezzetin,#la-comedie-française,#la-comedie-italienne,#monsieur-charitides,#gille,#l-opera,#les-deux-comedies,#la-foire #mezettin,#polichinelle,#le-choeur,#tous
#la-foire,0.09090909090909112,0.027272727272727317,0.11136363636363647,0.11136363636363647,0.009090909090909073,0.009090909090909073,0.018181818181818146,0.3681818181818183,0.009090909090909073,0.009090909090909073,0.009090909090909073,0.009090909090909073
#mezzetin,0.027272727272727317,5.8181818181818175,0.007575757575757562,0.007575757575757562,1.9393939393939397,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.2727272727272727,1.9393939393939397,0.2727272727272727,0.2727272727272727
#la-comedie-française,0.11136363636363633,0.007575757575757562,4.454545454545454,4.454545454545454,1.1136363636363635,1.1136363636363635,0.10227272727272725,2.227272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
#la-comedie-française,0.11136363636363633,0.007575757575757562,4.454545454545454,4.454545454545454,1.1136363636363635,1.1136363636363635,0.10227272727272725,2.227272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
#monsieur-charitides,0.009090909090909097,1.9393939393939397,1.1136363636363635,1.1136363636363635,9.09090909090909,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#gille,0.009090909090909097,0.2727272727272727,1.1136363636363635,1.1136363636363635,0.09090909090909091,9.09090909090909,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#l-opera,0.018181818181818195,0.5454545454545454,0.10227272727272725,0.10227272727272725,0.18181818181818182,0.18181818181818182,7.363636363636362,1.1136363636363635,3.681818181818181,0.18181818181818182,0.18181818181818182,0.18181818181818182
#les-deux-comedies,0.3681818181818181,0.5454545454545454,2.227272727272727,2.227272727272727,0.18181818181818182,0.18181818181818182,1.1136363636363635,7.363636363636362,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
#la-foire #mezettin,0.009090909090909097,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.09090909090909091,3.681818181818181,0.18181818181818182,9.09090909090909,0.09090909090909091,0.09090909090909091,0.09090909090909091
#polichinelle,0.009090909090909097,1.9393939393939397,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,9.09090909090909,0.09090909090909091,0.09090909090909091
#le-choeur,0.009090909090909097,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909
#le-choeur,0.009090909090909097,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909
Successions,#la-foire,#mezzetin,#la-comedie-française,#la-comedie-italienne,#monsieur-charitides,#gille,#l-opera,#les-deux-comedies,#la-foire #mezettin,#polichinelle,#le-choeur,#tous
#la-foire,0.06896551724137931,0.20689655172413793,0.13793103448275862,0.27586206896551724,0.034482758620689655,0.06896551724137931,0.10344827586206896,0.0,0.0,0.034482758620689655,0.06896551724137931,0.0
#mezzetin,0.6666666666666666,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
#la-comedie-française,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.0
#la-comedie-italienne,0.08333333333333333,0.0,0.75,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#monsieur-charitides,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#gille,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-opera,0.3333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
#les-deux-comedies,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
#la-foire #mezettin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#gille,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#gille,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#gille,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
