VALEUR,#pierrot,#fanchon,#don-juan,#isabelle,#colombine,#arlequin,#un-berger,#une-bergere,#une-autre-bergere,#la-statue
Fréquences (scènes),0.2727272727272727,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182
Fréquences(répliques),0.07981220657276995,0.07981220657276995,0.23943661971830985,0.11267605633802817,0.018779342723004695,0.3286384976525822,0.028169014084507043,0.028169014084507043,0.028169014084507043,0.056338028169014086
Confrontation,0.07142857142857142,0.07142857142857142,0.23809523809523808,0.14285714285714285,0.07142857142857142,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.07142857142857142
Déviations,#pierrot,#fanchon,#don-juan,#isabelle,#colombine,#arlequin,#un-berger,#une-bergere,#une-autre-bergere,#la-statue
#pierrot,5.8181818181818175,3.8787878787878793,0.09696969696969691,0.8181818181818181,0.2727272727272727,1.3636363636363635,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.5454545454545454
#fanchon,3.8787878787878793,7.363636363636362,0.009090909090909097,0.5454545454545454,0.18181818181818182,0.9090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365
#don-juan,0.09696969696969691,0.009090909090909073,3.2727272727272734,0.2969696969696971,0.6545454545454544,1.3127272727272732,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.009090909090909073
#isabelle,0.8181818181818181,0.5454545454545454,0.2969696969696971,5.8181818181818175,1.9393939393939397,0.2969696969696971,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.3787878787878789
#colombine,0.2727272727272727,0.18181818181818182,0.6545454545454544,1.9393939393939397,9.09090909090909,0.6545454545454544,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182
#arlequin,1.3636363636363635,0.9090909090909092,1.3127272727272732,0.2969696969696971,0.6545454545454544,3.2727272727272734,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.009090909090909073
#un-berger,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.45454545454545453,9.09090909090909,9.09090909090909,9.09090909090909,0.18181818181818182
#un-berger,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.45454545454545453,9.09090909090909,9.09090909090909,9.09090909090909,0.18181818181818182
#un-berger,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.45454545454545453,9.09090909090909,9.09090909090909,9.09090909090909,0.18181818181818182
#la-statue,0.5454545454545454,0.36363636363636365,0.009090909090909097,0.3787878787878789,0.18181818181818182,0.009090909090909097,0.18181818181818182,0.18181818181818182,0.18181818181818182,7.363636363636362
Successions,#pierrot,#fanchon,#don-juan,#isabelle,#colombine,#arlequin,#un-berger,#une-bergere,#une-autre-bergere,#la-statue
#pierrot,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fanchon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-juan,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.0
#isabelle,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
#colombine,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin,0.0,0.0,0.36363636363636365,0.2727272727272727,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.09090909090909091
#un-berger,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#une-bergere,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#une-autre-bergere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#la-statue,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
