VALEUR,#mirtil,#carion,#crisis,#cremile,#plutus,#la-pauvrete,#perinice,#paronome,#zenophon,#birrenes,#cistenes,#filine
Fréquences (scènes),0.38461538461538464,0.6538461538461539,0.07692307692307693,0.6923076923076923,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464
Fréquences(répliques),0.0869980879541109,0.29158699808795413,0.030592734225621414,0.18929254302103252,0.10611854684512428,0.03919694072657744,0.032504780114722756,0.03154875717017208,0.05736137667304015,0.052581261950286805,0.03154875717017208,0.05066921606118547
Confrontation,0.1271186440677966,0.2627118644067797,0.0423728813559322,0.2711864406779661,0.13559322033898305,0.025423728813559324,0.025423728813559324,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.0423728813559322,0.01694915254237288
Déviations,#mirtil,#carion,#crisis,#cremile,#plutus,#la-pauvrete,#perinice,#paronome,#zenophon,#birrenes,#cistenes,#filine
#mirtil,9.846153846153845,0.3619909502262443,1.9692307692307693,0.5341880341880343,0.17802197802197792,0.38461538461538464,0.9846153846153847,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.7692307692307693,0.38461538461538464
#carion,0.36199095022624467,3.115384615384616,0.07239819004524888,0.004524886877828092,0.0391079508726568,0.1832579185520362,0.1832579185520362,0.1832579185520362,0.1832579185520362,0.1832579185520362,0.3665158371040724,0.1832579185520362
#crisis,1.9692307692307693,0.07239819004524888,22.153846153846157,0.10683760683760682,0.3956043956043957,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693
#cremile,0.5341880341880343,0.004524886877828022,0.10683760683760682,2.4615384615384612,0.2747252747252749,0.13675213675213677,0.13675213675213677,0.13675213675213677,0.13675213675213677,0.13675213675213677,0.27350427350427353,0.13675213675213677
#plutus,0.1780219780219781,0.0391079508726568,0.3956043956043954,0.2747252747252749,13.884615384615383,1.983516483516483,0.2692307692307693,0.2692307692307693,0.2692307692307693,0.2692307692307693,0.3956043956043954,0.2692307692307693
#la-pauvrete,0.38461538461538464,0.1832579185520362,0.07692307692307693,0.13675213675213677,1.983516483516484,24.038461538461537,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464
#perinice,0.9846153846153847,0.1832579185520362,0.07692307692307693,0.13675213675213677,0.2692307692307692,0.038461538461538464,24.038461538461537,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464
#paronome,0.38461538461538464,0.1832579185520362,0.07692307692307693,0.13675213675213677,0.2692307692307692,0.038461538461538464,0.038461538461538464,24.038461538461537,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464
#zenophon,0.38461538461538464,0.1832579185520362,0.07692307692307693,0.13675213675213677,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.038461538461538464,24.038461538461537,0.038461538461538464,0.07692307692307693,0.038461538461538464
#birrenes,0.38461538461538464,0.1832579185520362,0.07692307692307693,0.13675213675213677,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,24.038461538461537,0.07692307692307693,0.038461538461538464
#cistenes,0.7692307692307693,0.3665158371040724,0.15384615384615385,0.27350427350427353,0.3956043956043957,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,22.153846153846157,0.07692307692307693
#filine,0.38461538461538464,0.1832579185520362,0.07692307692307693,0.13675213675213677,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,24.038461538461537
Successions,#mirtil,#carion,#crisis,#cremile,#plutus,#la-pauvrete,#perinice,#paronome,#zenophon,#birrenes,#cistenes,#filine
#mirtil,0.06896551724137931,0.4827586206896552,0.10344827586206896,0.1724137931034483,0.06896551724137931,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0
#carion,0.13829787234042554,0.0,0.031914893617021274,0.2127659574468085,0.09574468085106383,0.0851063829787234,0.09574468085106383,0.0851063829787234,0.031914893617021274,0.07446808510638298,0.031914893617021274,0.11702127659574468
#crisis,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cremile,0.0967741935483871,0.3387096774193548,0.0,0.04838709677419355,0.0967741935483871,0.03225806451612903,0.016129032258064516,0.0967741935483871,0.08064516129032258,0.04838709677419355,0.0967741935483871,0.04838709677419355
#plutus,0.09523809523809523,0.5238095238095238,0.0,0.3333333333333333,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
#la-pauvrete,0.0,0.7272727272727273,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#perinice,0.23076923076923078,0.6153846153846154,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#paronome,0.0,0.6428571428571429,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#zenophon,0.0,0.375,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#birrenes,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cistenes,0.0,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#filine,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
