VALEUR,#nathalie,#leon,#cephane,#monsieur-dermont,#madame-dermont,#virginie,#lagrange,#madame-d-ermont,#saint-fons,#tous-ensemble,#monsieur-de-riviere
Fréquences (scènes),0.8461538461538461,0.5384615384615384,0.46153846153846156,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0
Fréquences(répliques),0.13709677419354838,0.13306451612903225,0.10080645161290322,0.036290322580645164,0.12096774193548387,0.125,0.27419354838709675,0.0,0.03225806451612903,0.0,0.04032258064516129
Confrontation,0.2,0.16428571428571428,0.14285714285714285,0.1357142857142857,0.1357142857142857,0.05714285714285714,0.04285714285714286,0.03571428571428571,0.04285714285714286,0.04285714285714286,0.0
Déviations,#nathalie,#leon,#cephane,#monsieur-dermont,#madame-dermont,#virginie,#lagrange,#madame-d-ermont,#saint-fons,#tous-ensemble,#monsieur-de-riviere
#nathalie,0.30769230769230743,0.19580419580419603,0.1678321678321676,0.012587412587412593,0.012587412587412593,0.05594405594405586,0.11421911421911433,0.02797202797202793,0.02797202797202793,0.02797202797202793,0.0
#leon,0.1958041958041957,2.7692307692307696,0.1831501831501831,0.035164835164835116,0.035164835164835116,0.7912087912087908,0.23443223443223446,0.3956043956043954,0.3956043956043954,0.3956043956043954,0.0
#cephane,0.16783216783216792,0.1831501831501831,3.7692307692307696,0.20769230769230754,0.20769230769230754,1.2564102564102562,1.3846153846153846,0.46153846153846156,0.6282051282051281,0.6282051282051281,0.0
#monsieur-dermont,0.012587412587412593,0.03516483516483523,0.20769230769230754,4.9230769230769225,2.2430769230769227,0.0692307692307692,0.020512820512820544,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.0
#madame-dermont,0.012587412587412593,0.03516483516483523,0.20769230769230754,2.2430769230769227,4.9230769230769225,0.0692307692307692,0.020512820512820544,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.0
#virginie,0.05594405594405595,0.7912087912087914,1.2564102564102562,0.0692307692307692,0.0692307692307692,9.307692307692307,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0
#lagrange,0.11421911421911417,0.23443223443223446,1.3846153846153846,0.020512820512820544,0.020512820512820544,0.46153846153846156,7.692307692307691,2.5641025641025634,0.23076923076923078,0.23076923076923078,0.0
#madame-d-ermont,0.027972027972027975,0.3956043956043957,0.46153846153846156,0.9846153846153847,0.9846153846153847,0.15384615384615385,2.5641025641025634,11.076923076923078,0.07692307692307693,0.07692307692307693,0.0
#saint-fons,0.027972027972027975,0.3956043956043957,0.6282051282051281,0.9846153846153847,0.9846153846153847,0.15384615384615385,0.23076923076923078,0.07692307692307693,11.076923076923078,11.076923076923078,0.0
#saint-fons,0.027972027972027975,0.3956043956043957,0.6282051282051281,0.9846153846153847,0.9846153846153847,0.15384615384615385,0.23076923076923078,0.07692307692307693,11.076923076923078,11.076923076923078,0.0
#monsieur-de-riviere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#nathalie,#leon,#cephane,#monsieur-dermont,#madame-dermont,#virginie,#lagrange,#madame-d-ermont,#saint-fons,#tous-ensemble,#monsieur-de-riviere
#nathalie,0.0,0.35,0.05,0.0,0.2,0.1,0.2,0.05,0.05,0.0,0.0
#leon,0.3684210526315789,0.05263157894736842,0.2631578947368421,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0
#cephane,0.2,0.4,0.0,0.06666666666666667,0.06666666666666667,0.2,0.0,0.0,0.06666666666666667,0.0,0.0
#monsieur-dermont,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
#madame-dermont,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.4090909090909091,0.0,0.18181818181818182,0.13636363636363635,0.0,0.0,0.0,0.0
#virginie,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0
#lagrange,0.625,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0
#madame-d-ermont,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#saint-fons,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#tous-ensemble,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-d-ermont,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
