VALEUR,#dorize,#roxalie,#themir,#indarthize,#tamerlan,#bajazet,#selim,#zilim,#orcazie,#mansor,#le-soldat,#un-garde
Fréquences (scènes),0.03225806451612903,0.1935483870967742,0.2903225806451613,0.22580645161290322,0.4838709677419355,0.41935483870967744,0.1935483870967742,0.1935483870967742,0.3870967741935484,0.03225806451612903,0.03225806451612903,0.03225806451612903
Fréquences(répliques),0.005945303210463734,0.15219976218787157,0.09631391200951249,0.06896551724137931,0.21105826397146255,0.24613555291319858,0.050535077288941736,0.029131985731272295,0.10047562425683709,0.03507728894173603,0.002972651605231867,0.0011890606420927466
Confrontation,0.006756756756756757,0.08783783783783784,0.12837837837837837,0.0945945945945946,0.17567567567567569,0.14189189189189189,0.0945945945945946,0.0945945945945946,0.1554054054054054,0.006756756756756757,0.006756756756756757,0.006756756756756757
Déviations,#dorize,#roxalie,#themir,#indarthize,#tamerlan,#bajazet,#selim,#zilim,#orcazie,#mansor,#le-soldat,#un-garde
#dorize,29.03225806451613,3.3602150537634405,0.2903225806451613,0.22580645161290322,0.4838709677419355,0.41935483870967744,0.1935483870967742,0.1935483870967742,0.3870967741935484,0.03225806451612903,0.03225806451612903,0.03225806451612903
#roxalie,3.3602150537634405,20.16129032258065,0.9086021505376339,1.9976958525345625,0.2810035842293907,2.5161290322580645,1.161290322580645,1.161290322580645,1.2114695340501798,0.1935483870967742,0.1935483870967742,0.1935483870967742
#themir,0.29032258064516125,0.9086021505376344,15.612903225806448,1.9052739375320022,0.09557945041815992,2.039150813344362,0.3160095579450418,0.3160095579450418,0.06720430107526883,0.29032258064516125,1.7347670250896063,0.29032258064516125
#indarthize,0.22580645161290322,1.9976958525345625,1.9052739375320022,18.580645161290327,0.04423963133640555,2.935483870967742,1.3548387096774193,1.3548387096774193,0.6144393241167436,0.22580645161290322,0.22580645161290322,0.22580645161290322
#tamerlan,0.4838709677419355,0.2810035842293907,0.09557945041815992,0.04423963133640555,8.258064516129034,0.8339123242349054,0.0032258064516128976,0.2810035842293907,0.006451612903225795,0.550537634408602,0.4838709677419355,0.4838709677419355
#bajazet,0.4193548387096774,2.5161290322580645,2.039150813344362,2.935483870967742,0.8339123242349054,10.451612903225804,2.4520264681555006,4.8238213399503715,0.2117452440033085,0.4193548387096774,0.4193548387096774,0.8039702233250622
#selim,0.1935483870967742,1.161290322580645,0.316009557945042,1.3548387096774193,0.0032258064516128976,2.4520264681555006,20.16129032258065,6.939068100358425,0.7531362007168457,0.1935483870967742,0.1935483870967742,0.1935483870967742
#zilim,0.1935483870967742,1.161290322580645,0.316009557945042,1.3548387096774193,0.2810035842293907,4.8238213399503715,6.939068100358425,20.16129032258065,0.7531362007168457,0.1935483870967742,0.1935483870967742,0.1935483870967742
#orcazie,0.3870967741935484,1.2114695340501798,0.06720430107526894,0.6144393241167436,0.006451612903225795,0.2117452440033085,0.7531362007168457,0.7531362007168457,11.645161290322584,0.3870967741935484,0.3870967741935484,0.3870967741935484
#mansor,0.03225806451612903,0.1935483870967742,0.2903225806451613,0.22580645161290322,0.550537634408602,0.41935483870967744,0.1935483870967742,0.1935483870967742,0.3870967741935484,29.03225806451613,0.03225806451612903,0.03225806451612903
#le-soldat,0.03225806451612903,0.1935483870967742,1.734767025089606,0.22580645161290322,0.4838709677419355,0.41935483870967744,0.1935483870967742,0.1935483870967742,0.3870967741935484,0.03225806451612903,29.03225806451613,0.03225806451612903
#un-garde,0.03225806451612903,0.1935483870967742,0.2903225806451613,0.22580645161290322,0.4838709677419355,0.8039702233250617,0.1935483870967742,0.1935483870967742,0.3870967741935484,0.03225806451612903,0.03225806451612903,29.03225806451613
Successions,#dorize,#roxalie,#themir,#indarthize,#tamerlan,#bajazet,#selim,#zilim,#orcazie,#mansor,#le-soldat,#un-garde
#dorize,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#roxalie,0.14285714285714285,0.0,0.45714285714285713,0.0,0.17142857142857143,0.0,0.0,0.0,0.22857142857142856,0.0,0.0,0.0
#themir,0.0,0.29508196721311475,0.0,0.22950819672131148,0.39344262295081966,0.01639344262295082,0.0,0.01639344262295082,0.0,0.0,0.04918032786885246,0.0
#indarthize,0.0,0.0,0.42105263157894735,0.0,0.39473684210526316,0.0,0.0,0.0,0.18421052631578946,0.0,0.0,0.0
#tamerlan,0.0,0.06930693069306931,0.24752475247524752,0.13861386138613863,0.0297029702970297,0.27722772277227725,0.04950495049504951,0.019801980198019802,0.13861386138613863,0.0297029702970297,0.0,0.0
#bajazet,0.0,0.0,0.023809523809523808,0.0,0.2976190476190476,0.023809523809523808,0.20238095238095238,0.17857142857142858,0.2619047619047619,0.0,0.0,0.011904761904761904
#selim,0.0,0.0,0.0,0.0,0.20833333333333334,0.7083333333333334,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0
#zilim,0.0,0.0,0.0,0.0,0.15,0.75,0.1,0.0,0.0,0.0,0.0,0.0
#orcazie,0.0,0.09433962264150944,0.0,0.18867924528301888,0.3018867924528302,0.37735849056603776,0.0,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0
#mansor,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-soldat,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-garde,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
