VALEUR,#camille,#lucille,#papyrie,#le-garde,#comine,#flavie,#fabie,#papyre,#fabie-pere,#fabie-fils,#martian
Fréquences (scènes),0.6666666666666666,0.6190476190476191,0.5714285714285714,0.047619047619047616,0.19047619047619047,0.3333333333333333,0.23809523809523808,0.47619047619047616,0.14285714285714285,0.19047619047619047,0.09523809523809523
Fréquences(répliques),0.11890606420927467,0.10582639714625446,0.1634958382877527,0.0011890606420927466,0.07669441141498216,0.0267538644470868,0.10344827586206896,0.22711058263971462,0.11652794292508918,0.045778834720570746,0.014268727705112961
Confrontation,0.1810344827586207,0.15086206896551724,0.13793103448275862,0.008620689655172414,0.05603448275862069,0.09913793103448276,0.0603448275862069,0.1336206896551724,0.0603448275862069,0.06896551724137931,0.04310344827586207
Déviations,#camille,#lucille,#papyrie,#le-garde,#comine,#flavie,#fabie,#papyre,#fabie-pere,#fabie-fils,#martian
#camille,2.333333333333335,0.20512820512820473,0.125,0.1666666666666667,0.6666666666666669,0.09523809523809508,0.03333333333333328,0.26666666666666694,0.0,0.1666666666666666,0.0833333333333333
#lucille,0.20512820512820534,3.047619047619048,0.8901098901098906,0.23443223443223438,0.88003663003663,0.025641025641025595,0.38754578754578733,0.7750915750915747,0.3956043956043955,0.88003663003663,0.0457875457875458
#papyrie,0.125,0.8901098901098898,3.857142857142858,0.5714285714285714,0.7232142857142856,1.0,0.25714285714285695,1.2892857142857137,0.29761904761904756,0.7232142857142856,0.017857142857142842
#le-garde,0.1666666666666667,0.23443223443223438,0.5714285714285714,19.047619047619047,0.19047619047619047,0.3333333333333333,0.23809523809523808,0.47619047619047616,0.14285714285714285,0.19047619047619047,0.09523809523809523
#comine,0.6666666666666669,0.88003663003663,0.7232142857142856,0.19047619047619047,13.761904761904763,0.0833333333333333,0.0023809523809523864,0.6297619047619049,0.3214285714285715,0.07440476190476193,0.38095238095238093
#flavie,0.09523809523809508,0.02564102564102573,1.0,0.3333333333333333,0.0833333333333333,9.333333333333336,1.0666666666666669,0.5333333333333331,0.0,0.0833333333333333,0.1666666666666667
#fabie,0.03333333333333328,0.38754578754578756,0.25714285714285695,0.23809523809523808,0.0023809523809523864,1.0666666666666669,12.19047619047619,0.060952380952380945,0.7142857142857142,0.0023809523809523864,0.47619047619047616
#papyre,0.26666666666666694,0.7750915750915751,1.2892857142857137,0.47619047619047616,0.6297619047619049,0.5333333333333331,0.060952380952380945,5.761904761904762,1.7285714285714293,2.304761904761905,1.1523809523809525
#fabie-pere,0.0,0.3956043956043957,0.29761904761904756,0.14285714285714285,0.3214285714285715,0.0,0.7142857142857142,1.7285714285714293,15.428571428571432,10.321428571428573,10.285714285714288
#fabie-fils,0.1666666666666666,0.88003663003663,0.7232142857142856,0.19047619047619047,0.07440476190476193,0.0833333333333333,0.0023809523809523864,2.304761904761905,10.321428571428573,13.761904761904763,6.880952380952381
#martian,0.0833333333333333,0.0457875457875458,0.017857142857142842,0.09523809523809523,0.38095238095238093,0.1666666666666667,0.47619047619047616,1.1523809523809525,10.285714285714288,6.880952380952381,17.190476190476193
Successions,#camille,#lucille,#papyrie,#le-garde,#comine,#flavie,#fabie,#papyre,#fabie-pere,#fabie-fils,#martian
#camille,0.0,0.21951219512195122,0.14634146341463414,0.04878048780487805,0.12195121951219512,0.04878048780487805,0.07317073170731707,0.2682926829268293,0.04878048780487805,0.024390243902439025,0.0
#lucille,0.2553191489361702,0.02127659574468085,0.2978723404255319,0.0,0.0851063829787234,0.06382978723404255,0.02127659574468085,0.23404255319148937,0.0,0.02127659574468085,0.0
#papyrie,0.043478260869565216,0.32608695652173914,0.0,0.0,0.06521739130434782,0.1956521739130435,0.17391304347826086,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.0
#le-garde,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#comine,0.5263157894736842,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0
#flavie,0.06666666666666667,0.2,0.5333333333333333,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0
#fabie,0.09090909090909091,0.045454545454545456,0.45454545454545453,0.0,0.045454545454545456,0.0,0.045454545454545456,0.3181818181818182,0.0,0.0,0.0
#papyre,0.16129032258064516,0.22580645161290322,0.08064516129032258,0.0,0.03225806451612903,0.016129032258064516,0.12903225806451613,0.0,0.16129032258064516,0.14516129032258066,0.04838709677419355
#fabie-pere,0.10526315789473684,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.47368421052631576,0.0,0.2631578947368421,0.10526315789473684
#fabie-fils,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.15789473684210525,0.0,0.0,0.5263157894736842,0.10526315789473684,0.0,0.05263157894736842
#martian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0
