VALEUR,#aristandre,#adraste,#camille,#roseline,#cloriande,#coryleon,#mironte,#vachles,#le-page,#le-turc,#gylas,#le-soldat,#citoyen-i,#citoyen-ii,#citoyen,#autre-citoyen
Fréquences (scènes),0.5,0.15,0.35,0.2,0.3,0.2,0.05,0.1,0.1,0.1,0.15,0.05,0.05,0.05,0.05,0.05
Fréquences(répliques),0.36464826357969726,0.07658058771148708,0.12911843276936777,0.13802315227070347,0.15182546749777381,0.04229741763134461,0.01068566340160285,0.053428317008014245,0.0026714158504007124,0.00578806767586821,0.016028495102404273,0.0008904719501335708,0.004897595725734639,0.0013357079252003562,0.0004452359750667854,0.0013357079252003562
Confrontation,0.1935483870967742,0.04032258064516129,0.08870967741935484,0.024193548387096774,0.06451612903225806,0.04838709677419355,0.008064516129032258,0.056451612903225805,0.06451612903225806,0.06451612903225806,0.11290322580645161,0.04032258064516129,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.04838709677419355
Déviations,#aristandre,#adraste,#camille,#roseline,#cloriande,#coryleon,#mironte,#vachles,#le-page,#le-turc,#gylas,#le-soldat,#citoyen-i,#citoyen-ii,#citoyen,#autre-citoyen
#aristandre,5.0,1.5,0.07142857142857142,0.0,0.3333333333333333,0.5,0.5,0.0,1.0,1.0,1.5,0.5,0.5,0.5,0.5,0.5
#adraste,1.5,14.450000000000001,0.8595238095238099,0.6000000000000001,0.8999999999999999,0.6000000000000001,0.15000000000000002,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.44999999999999996,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002
#camille,0.07142857142857142,0.8595238095238095,8.450000000000005,1.4000000000000001,2.1,1.4000000000000001,1.2071428571428566,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.002380952380952385,0.35000000000000003,1.2071428571428566,1.2071428571428566,1.2071428571428566,1.2071428571428566
#roseline,0.0,0.6,1.4,12.800000000000002,0.03333333333333332,0.8000000000000002,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#cloriande,0.3333333333333333,0.8999999999999999,2.0999999999999996,0.03333333333333339,9.8,6.533333333333331,0.30000000000000004,0.2666666666666665,0.6000000000000001,0.6000000000000001,0.8999999999999999,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
#coryleon,0.5,0.6,1.4,0.8000000000000002,6.533333333333332,12.800000000000002,0.20000000000000004,0.8999999999999999,0.4000000000000001,0.4000000000000001,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#mironte,0.5,0.15,1.2071428571428573,0.20000000000000004,0.3,0.20000000000000004,18.049999999999997,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.15,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
#vachles,0.0,0.3,0.7,0.4000000000000001,0.2666666666666667,0.8999999999999999,0.10000000000000002,16.2,3.2000000000000006,3.2000000000000006,1.633333333333333,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#le-page,1.0,0.3,0.7,0.4000000000000001,0.6,0.4000000000000001,0.10000000000000002,3.2000000000000006,16.2,16.2,9.633333333333333,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#le-page,1.0,0.3,0.7,0.4000000000000001,0.6,0.4000000000000001,0.10000000000000002,3.2000000000000006,16.2,16.2,9.633333333333333,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#gylas,1.5,0.44999999999999996,0.0023809523809523647,0.6000000000000001,0.8999999999999999,0.6000000000000001,0.15000000000000002,1.6333333333333329,9.633333333333331,9.633333333333331,14.450000000000001,4.8166666666666655,4.8166666666666655,4.8166666666666655,4.8166666666666655,4.8166666666666655
#le-soldat,0.5,0.15,0.35,0.20000000000000004,0.3,0.20000000000000004,0.05000000000000001,8.1,8.1,8.1,4.816666666666666,18.049999999999997,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
#citoyen-i,0.5,0.15,1.2071428571428573,0.20000000000000004,0.3,0.20000000000000004,0.05000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,4.816666666666666,0.05000000000000001,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997
#citoyen-i,0.5,0.15,1.2071428571428573,0.20000000000000004,0.3,0.20000000000000004,0.05000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,4.816666666666666,0.05000000000000001,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997
#citoyen-i,0.5,0.15,1.2071428571428573,0.20000000000000004,0.3,0.20000000000000004,0.05000000000000001,0.10000000000000002,0.10000000000000002,0.10000000000000002,4.816666666666666,0.05000000000000001,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997
