VALEUR,#merlin,#eraste,#lisette,#blaise,#colette,#madame-argante,#angelique,#madame-amelin,#araminte,#le-notaire
Fréquences (scènes),0.7692307692307693,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.5384615384615384,0.38461538461538464,0.07692307692307693
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.15254237288135594,0.09745762711864407,0.1059322033898305,0.09745762711864407,0.1059322033898305,0.11864406779661017,0.0847457627118644,0.11864406779661017,0.08050847457627118,0.038135593220338986
Déviations,#merlin,#eraste,#lisette,#blaise,#colette,#madame-argante,#angelique,#madame-amelin,#araminte,#le-notaire
#merlin,0.6923076923076922,0.08205128205128218,0.4153846153846151,0.3461538461538461,0.4153846153846151,0.03205128205128197,0.0019230769230769314,0.35604395604395583,0.8861538461538463,0.0692307692307692
#eraste,0.08205128205128218,3.7692307692307696,1.1303418803418803,0.7410256410256412,1.1303418803418803,0.5470085470085471,2.5128205128205123,0.1831501831501831,0.20769230769230754,0.6282051282051281
#lisette,0.4153846153846151,1.1303418803418803,3.7692307692307696,3.14102564102564,3.7692307692307696,0.21367521367521364,0.38782051282051294,0.4688644688644689,0.7410256410256412,0.6282051282051281
#blaise,0.3461538461538461,0.7410256410256412,3.14102564102564,4.9230769230769225,3.14102564102564,0.04102564102564109,0.1884615384615385,0.17802197802197792,0.44307692307692315,0.9846153846153847
#lisette,0.4153846153846151,1.1303418803418803,3.7692307692307696,3.14102564102564,3.7692307692307696,0.21367521367521364,0.38782051282051294,0.4688644688644689,0.7410256410256412,0.6282051282051281
#madame-argante,0.03205128205128197,0.5470085470085471,0.21367521367521364,0.04102564102564109,0.21367521367521364,3.7692307692307696,2.5128205128205123,0.9688644688644688,0.20769230769230754,0.6282051282051281
#angelique,0.0019230769230769314,2.5128205128205123,0.38782051282051294,0.1884615384615385,0.38782051282051294,2.5128205128205123,6.23076923076923,0.3324175824175825,0.1384615384615384,1.5576923076923075
#madame-amelin,0.3560439560439562,0.1831501831501831,0.4688644688644689,0.1780219780219781,0.4688644688644689,0.9688644688644688,0.3324175824175821,2.7692307692307696,1.9780219780219774,0.3956043956043954
#araminte,0.8861538461538463,0.20769230769230754,0.7410256410256412,0.44307692307692315,0.7410256410256412,0.20769230769230754,0.1384615384615384,1.9780219780219788,4.9230769230769225,0.9846153846153847
#le-notaire,0.0692307692307692,0.6282051282051281,0.6282051282051281,0.9846153846153847,0.6282051282051281,0.6282051282051281,1.5576923076923075,0.3956043956043957,0.9846153846153847,11.076923076923078
Successions,#merlin,#eraste,#lisette,#blaise,#colette,#madame-argante,#angelique,#madame-amelin,#araminte,#le-notaire
#merlin,0.011235955056179775,0.1348314606741573,0.34831460674157305,0.1348314606741573,0.2696629213483146,0.0898876404494382,0.0,0.011235955056179775,0.0,0.0
#eraste,0.3142857142857143,0.0,0.0,0.0,0.0,0.11428571428571428,0.05714285714285714,0.37142857142857144,0.14285714285714285,0.0
#lisette,0.575,0.0,0.0,0.175,0.2,0.05,0.0,0.0,0.0,0.0
#blaise,0.5806451612903226,0.0,0.03225806451612903,0.0,0.2903225806451613,0.0967741935483871,0.0,0.0,0.0,0.0
#colette,0.627906976744186,0.0,0.13953488372093023,0.18604651162790697,0.0,0.046511627906976744,0.0,0.0,0.0,0.0
#madame-argante,0.1702127659574468,0.10638297872340426,0.02127659574468085,0.0851063829787234,0.0425531914893617,0.06382978723404255,0.06382978723404255,0.3617021276595745,0.0851063829787234,0.0
#angelique,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
#madame-amelin,0.023255813953488372,0.2558139534883721,0.0,0.0,0.0,0.46511627906976744,0.0,0.0,0.20930232558139536,0.046511627906976744
#araminte,0.0,0.2631578947368421,0.0,0.0,0.0,0.15789473684210525,0.05263157894736842,0.5263157894736842,0.0,0.0
#le-notaire,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
