VALEUR,#la-vallee,#mademoiselle-habert,#agathe,#madame-alain,#javotte,#monsieur-remy,#monsieur-thibaut,#le-notaire,#le-neveu,#l-autre-notaire
Fréquences (scènes),0.6206896551724138,0.5172413793103449,0.3103448275862069,0.7931034482758621,0.10344827586206896,0.1724137931034483,0.27586206896551724,0.034482758620689655,0.06896551724137931,0.034482758620689655
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.20297029702970298,0.16336633663366337,0.09900990099009901,0.24752475247524752,0.04950495049504951,0.06930693069306931,0.11386138613861387,0.01485148514851485,0.019801980198019802,0.019801980198019802
Déviations,#la-vallee,#mademoiselle-habert,#agathe,#madame-alain,#javotte,#monsieur-remy,#monsieur-thibaut,#le-notaire,#le-neveu,#l-autre-notaire
#la-vallee,4.172413793103448,0.30664112388250264,0.45040442741592174,0.005330667999333687,0.010217113665389537,0.39233716475095815,0.18773946360153262,0.23180076628352486,0.4636015325670497,0.23180076628352486
#mademoiselle-habert,0.30664112388250264,6.75862068965517,0.5885057471264372,0.06756621689155441,0.12950191570881212,0.06620689655172396,1.1045977011494255,0.5172413793103449,1.0344827586206897,0.4505747126436781
#agathe,0.45040442741592174,0.5885057471264372,13.793103448275863,0.18140929535232392,0.005108556832694768,0.12950191570881212,0.9272030651340994,0.3103448275862069,0.6206896551724138,0.3103448275862069
#madame-alain,0.005330667999333687,0.06756621689155441,0.18140929535232392,1.2413793103448265,0.16191904047976008,0.00029985007496251606,0.43178410794602684,0.053973013493253355,0.10794602698650671,0.053973013493253355
#javotte,0.010217113665389502,0.12950191570881212,0.005108556832694751,0.16191904047976008,23.310344827586206,0.4505747126436781,0.03591954022988506,0.10344827586206896,0.20689655172413793,0.10344827586206896
#monsieur-remy,0.3923371647509578,0.06620689655172411,0.12950191570881228,0.00029985007496251606,0.4505747126436781,19.862068965517242,0.2793103448275861,0.1724137931034483,0.3448275862068966,0.1724137931034483
#monsieur-thibaut,0.18773946360153262,1.1045977011494255,0.9272030651340994,0.43178410794602684,0.03591954022988506,0.2793103448275861,15.20689655172414,1.9008620689655176,0.5517241379310345,1.9008620689655176
#le-notaire,0.23180076628352486,0.5172413793103449,0.3103448275862069,0.053973013493253355,0.10344827586206896,0.1724137931034483,1.9008620689655176,27.034482758620694,0.06896551724137931,0.034482758620689655
#le-neveu,0.4636015325670497,1.0344827586206897,0.6206896551724138,0.10794602698650671,0.20689655172413793,0.3448275862068966,0.5517241379310345,0.06896551724137931,25.137931034482758,0.06896551724137931
#l-autre-notaire,0.23180076628352486,0.4505747126436781,0.3103448275862069,0.053973013493253355,0.10344827586206896,0.1724137931034483,1.9008620689655176,0.034482758620689655,0.06896551724137931,27.034482758620694
Successions,#la-vallee,#mademoiselle-habert,#agathe,#madame-alain,#javotte,#monsieur-remy,#monsieur-thibaut,#le-notaire,#le-neveu,#l-autre-notaire
#la-vallee,0.008403361344537815,0.2605042016806723,0.11764705882352941,0.42857142857142855,0.008403361344537815,0.008403361344537815,0.01680672268907563,0.01680672268907563,0.13445378151260504,0.0
#mademoiselle-habert,0.3815789473684211,0.013157894736842105,0.07894736842105263,0.47368421052631576,0.039473684210526314,0.0,0.013157894736842105,0.0,0.0,0.0
#agathe,0.24528301886792453,0.1509433962264151,0.0,0.41509433962264153,0.018867924528301886,0.03773584905660377,0.1320754716981132,0.0,0.0,0.0
#madame-alain,0.3409090909090909,0.19318181818181818,0.13068181818181818,0.011363636363636364,0.022727272727272728,0.125,0.11363636363636363,0.0,0.0625,0.0
#javotte,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-remy,0.038461538461538464,0.0,0.07692307692307693,0.8461538461538461,0.0,0.0,0.038461538461538464,0.0,0.0,0.0
#monsieur-thibaut,0.06451612903225806,0.0,0.22580645161290322,0.6451612903225806,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903
#le-notaire,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#le-neveu,0.4074074074074074,0.0,0.0,0.5925925925925926,0.0,0.0,0.0,0.0,0.0,0.0
#l-autre-notaire,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
