VALEUR,#hermiane,#le-prince,#carise,#egle,#azor,#mesrou,#adine,#mesrin,#carise #mesrou,#meslis,#dina
Fréquences (scènes),0.15,0.15,0.5,0.75,0.3,0.2,0.25,0.35,0.05,0.05,0.05
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.0546875,0.0546875,0.1875,0.234375,0.09375,0.09375,0.0625,0.125,0.015625,0.0390625,0.0390625
Déviations,#hermiane,#le-prince,#carise,#egle,#azor,#mesrou,#adine,#mesrin,#carise #mesrou,#meslis,#dina
#hermiane,14.450000000000001,14.450000000000001,0.16666666666666666,0.6944444444444444,0.8999999999999999,0.6000000000000001,0.75,1.0499999999999998,0.15000000000000002,4.8166666666666655,4.8166666666666655
#hermiane,14.450000000000001,14.450000000000001,0.16666666666666666,0.6944444444444444,0.8999999999999999,0.6000000000000001,0.75,1.0499999999999998,0.15000000000000002,4.8166666666666655,4.8166666666666655
#carise,0.16666666666666666,0.16666666666666666,5.0,0.03333333333333333,0.3333333333333333,2.0,0.1,0.07142857142857142,0.5,0.5,0.5
#egle,0.6944444444444444,0.6944444444444444,0.03333333333333333,1.25,0.05555555555555555,0.3333333333333333,0.15,0.011904761904761904,0.08333333333333333,0.08333333333333333,0.08333333333333333
#azor,0.8999999999999999,0.8999999999999999,0.3333333333333333,0.05555555555555555,9.8,0.533333333333333,1.5,0.38571428571428606,0.30000000000000004,0.30000000000000004,0.30000000000000004
#mesrou,0.6,0.6,2.0,0.3333333333333333,0.5333333333333334,12.800000000000002,1.0,0.25714285714285723,0.20000000000000004,0.20000000000000004,0.20000000000000004
#adine,0.75,0.75,0.1,0.15,1.5,1.0,11.25,0.03571428571428571,0.25,0.25,0.25
#mesrin,1.05,1.05,0.07142857142857142,0.011904761904761904,0.3857142857142856,0.257142857142857,0.03571428571428571,8.450000000000005,1.2071428571428566,0.35000000000000003,0.35000000000000003
#carise #mesrou,0.15,0.15,0.5,0.08333333333333333,0.3,0.20000000000000004,0.25,1.2071428571428573,18.049999999999997,0.05000000000000001,0.05000000000000001
#meslis,4.816666666666666,4.816666666666666,0.5,0.08333333333333333,0.3,0.20000000000000004,0.25,0.35,0.05000000000000001,18.049999999999997,18.049999999999997
#meslis,4.816666666666666,4.816666666666666,0.5,0.08333333333333333,0.3,0.20000000000000004,0.25,0.35,0.05000000000000001,18.049999999999997,18.049999999999997
Successions,#hermiane,#le-prince,#carise,#egle,#azor,#mesrou,#adine,#mesrin,#carise #mesrou,#meslis,#dina
#hermiane,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333
#le-prince,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
#carise,0.0,0.014925373134328358,0.0,0.7313432835820896,0.014925373134328358,0.014925373134328358,0.13432835820895522,0.04477611940298507,0.0,0.029850746268656716,0.014925373134328358
#egle,0.006493506493506494,0.0,0.3116883116883117,0.01948051948051948,0.3246753246753247,0.05844155844155844,0.15584415584415584,0.11688311688311688,0.006493506493506494,0.0,0.0
#azor,0.0,0.0,0.0,0.7183098591549296,0.0,0.056338028169014086,0.0,0.22535211267605634,0.0,0.0,0.0
#mesrou,0.0,0.0,0.125,0.6875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0
#adine,0.0,0.0,0.19148936170212766,0.5319148936170213,0.0,0.0,0.02127659574468085,0.2553191489361702,0.0,0.0,0.0
#mesrin,0.0,0.0,0.1,0.26,0.34,0.04,0.24,0.02,0.0,0.0,0.0
#carise #mesrou,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#meslis,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
#dina,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
