VALEUR,#dejanire,#dirce,#hilus,#le-choeur,#une-thessalienne,#junon,#la-jalousie,#junon #la-jalousie,#iole,#iole #hilus,#le-choeur-des-captifs,#une-captive,#hercule,#philoctete,#hercule #philoctete,#le-choeur #alcide,#un-thessalien,#le-thessalien #le-choeur,#le-choeur #dejanire,#le-grand-pretre #le-choeur,#le-grand-pretre,#le-choeur-de-femmes,#hercule #hilus #le-choeur,#hilus #le-choeur,#jupiter
Fréquences (scènes),0.4782608695652174,0.17391304347826086,0.2608695652173913,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
Fréquences(répliques),0.215929203539823,0.035398230088495575,0.1929203539823009,0.03893805309734513,0.010619469026548672,0.02831858407079646,0.023008849557522124,0.008849557522123894,0.09734513274336283,0.010619469026548672,0.01592920353982301,0.024778761061946902,0.1929203539823009,0.04601769911504425,0.005309734513274336,0.0035398230088495575,0.01415929203539823,0.0017699115044247787,0.007079646017699115,0.007079646017699115,0.0035398230088495575,0.0017699115044247787,0.0017699115044247787,0.0017699115044247787,0.010619469026548672
Confrontation,0.09868421052631579,0.03289473684210526,0.09210526315789473,0.09868421052631579,0.013157894736842105,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.07236842105263158,0.013157894736842105,0.019736842105263157,0.019736842105263157,0.125,0.06578947368421052,0.03289473684210526,0.03289473684210526,0.03289473684210526,0.03289473684210526,0.019736842105263157,0.019736842105263157,0.019736842105263157,0.013157894736842105,0.039473684210526314,0.039473684210526314,0.013157894736842105
Déviations,#dejanire,#dirce,#hilus,#le-choeur,#une-thessalienne,#junon,#la-jalousie,#junon #la-jalousie,#iole,#iole #hilus,#le-choeur-des-captifs,#une-captive,#hercule,#philoctete,#hercule #philoctete,#le-choeur #alcide,#un-thessalien,#le-thessalien #le-choeur,#le-choeur #dejanire,#le-grand-pretre #le-choeur,#le-grand-pretre,#le-choeur-de-femmes,#hercule #hilus #le-choeur,#hilus #le-choeur,#jupiter
#dejanire,6.260869565217391,2.276679841897233,0.26350461133069825,0.8094861660079051,0.5691699604743082,0.4782608695652174,0.0019762845849802344,0.4782608695652174,0.43577075098814233,0.4782608695652174,0.5691699604743082,0.5691699604743082,3.8260869565217392,1.9130434782608696,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.5691699604743082,0.5691699604743082,0.5691699604743082,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.4782608695652174
#dirce,2.276679841897233,15.695652173913043,1.0434782608695652,0.8695652173913043,0.17391304347826086,0.17391304347826086,1.2228260869565217,0.17391304347826086,0.6956521739130435,0.17391304347826086,0.17391304347826086,0.17391304347826086,1.391304347826087,0.6956521739130435,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086
#hilus,0.26350461133069847,1.0434782608695652,12.56521739130435,0.07101449275362319,0.2608695652173913,0.2608695652173913,0.5217391304347826,0.2608695652173913,0.8768115942028987,2.094202898550724,0.2608695652173913,0.2608695652173913,0.3994565217391305,0.8768115942028987,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,2.094202898550724,2.094202898550724,2.094202898550724,0.2608695652173913
#le-choeur,0.8094861660079051,0.8695652173913043,0.07101449275362319,14.08695652173913,2.8173913043478267,0.21739130434782608,0.43478260869565216,0.21739130434782608,0.019565217391304356,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.9141304347826088,0.019565217391304356,2.8173913043478267,2.8173913043478267,2.8173913043478267,2.8173913043478267,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,2.8173913043478267,2.8173913043478267,2.8173913043478267
#une-thessalienne,0.5691699604743082,0.17391304347826086,0.2608695652173913,2.8173913043478267,21.043478260869566,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#junon,0.4782608695652174,0.17391304347826086,0.2608695652173913,0.21739130434782608,0.043478260869565216,21.043478260869566,9.58695652173913,21.043478260869566,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
