VALEUR,#le-vicomte,#julie,#la-comtesse,#andree,#criquet,#jeannot,#monsieur-tibaudier,#monsieur-bobinet,#le-comte,#monsieur-harpin
Fréquences (scènes),0.7777777777777778,0.6666666666666666,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.0,0.10526315789473684,0.0
Confrontation,0.17796610169491525,0.16101694915254236,0.211864406779661,0.025423728813559324,0.09322033898305085,0.05084745762711865,0.13559322033898305,0.06779661016949153,0.05084745762711865,0.025423728813559324
Déviations,#le-vicomte,#julie,#la-comtesse,#andree,#criquet,#jeannot,#monsieur-tibaudier,#monsieur-bobinet,#le-comte,#monsieur-harpin
#le-vicomte,0.4444444444444443,0.0238095238095239,0.00793650793650788,0.7777777777777776,0.7619047619047616,0.1984126984126983,0.25396825396825423,0.12698412698412712,0.06349206349206356,0.06349206349206356
#julie,0.023809523809523767,1.0,0.020833333333333297,0.1666666666666667,0.0,0.0833333333333333,0.041666666666666706,0.0833333333333333,0.1666666666666667,0.6666666666666666
#la-comtesse,0.007936507936507943,0.020833333333333297,0.11111111111111122,0.013888888888888902,0.041666666666666706,0.027777777777777804,0.05555555555555561,0.027777777777777804,0.013888888888888902,0.013888888888888902
#andree,0.7777777777777778,0.1666666666666667,0.013888888888888902,7.111111111111111,1.3333333333333337,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111
#criquet,0.761904761904762,0.0,0.041666666666666706,1.3333333333333337,4.0,0.1666666666666667,0.0833333333333333,0.1666666666666667,1.3333333333333337,0.3333333333333333
#jeannot,0.19841269841269843,0.0833333333333333,0.027777777777777804,0.2222222222222222,0.1666666666666667,5.444444444444445,0.013888888888888902,0.4444444444444444,0.2222222222222222,0.2222222222222222
#monsieur-tibaudier,0.25396825396825395,0.041666666666666706,0.05555555555555561,0.4444444444444444,0.0833333333333333,0.013888888888888902,2.777777777777778,0.013888888888888902,0.6944444444444445,0.6944444444444445
#monsieur-bobinet,0.12698412698412698,0.0833333333333333,0.027777777777777804,0.2222222222222222,0.1666666666666667,0.4444444444444444,0.013888888888888902,5.444444444444445,2.7222222222222223,0.2222222222222222
#le-comte,0.06349206349206349,0.1666666666666667,0.013888888888888902,0.1111111111111111,1.3333333333333337,0.2222222222222222,0.6944444444444445,2.7222222222222223,7.111111111111111,0.1111111111111111
#monsieur-harpin,0.06349206349206349,0.6666666666666666,0.013888888888888902,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.6944444444444445,0.2222222222222222,0.1111111111111111,7.111111111111111
Successions,#le-vicomte,#julie,#la-comtesse,#andree,#criquet,#jeannot,#monsieur-tibaudier,#monsieur-bobinet,#le-comte,#monsieur-harpin
#le-vicomte,0.0,0.3103448275862069,0.3448275862068966,0.0,0.0,0.034482758620689655,0.20689655172413793,0.034482758620689655,0.0,0.06896551724137931
#julie,0.29411764705882354,0.0,0.6764705882352942,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0
#la-comtesse,0.15730337078651685,0.25842696629213485,0.011235955056179775,0.20224719101123595,0.0898876404494382,0.0449438202247191,0.011235955056179775,0.10112359550561797,0.011235955056179775,0.11235955056179775
#andree,0.0,0.0,0.9523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
#criquet,0.0,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.0,0.18181818181818182,0.0,0.0,0.0,0.0
#jeannot,0.14285714285714285,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
#monsieur-tibaudier,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
#monsieur-bobinet,0.09090909090909091,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-comte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#monsieur-harpin,0.15384615384615385,0.0,0.7692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
