VALEUR,#philinte,#alceste,#oronte,#celimene,#basque,#eliante,#clitandre,#acaste,#clitandre #acaste,#garde,#arsinoe,#dubois
Fréquences (scènes),0.4090909090909091,0.7727272727272727,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.22727272727272727,0.18181818181818182,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.045454545454545456
Fréquences(répliques),0.13372093023255813,0.4011627906976744,0.057610993657505286,0.19291754756871035,0.0047568710359408035,0.040169133192389,0.02536997885835095,0.04386892177589852,0.0005285412262156448,0.002642706131078224,0.08192389006342495,0.0153276955602537
Confrontation,0.12631578947368421,0.20526315789473684,0.07368421052631578,0.18421052631578946,0.042105263157894736,0.1,0.07894736842105263,0.08421052631578947,0.031578947368421054,0.015789473684210527,0.04736842105263158,0.010526315789473684
Déviations,#philinte,#alceste,#oronte,#celimene,#basque,#eliante,#clitandre,#acaste,#clitandre #acaste,#garde,#arsinoe,#dubois
#philinte,7.681818181818182,0.157159833630422,0.08080808080808076,1.298701298701299,1.6363636363636365,1.8676767676767678,0.08080808080808076,0.08080808080808076,0.8535353535353533,0.8535353535353533,0.04208754208754202,0.4090909090909091
#alceste,0.1571598336304217,1.136363636363636,0.2673796791443851,0.003055767761650109,0.0026737967914438453,0.004812834224598953,0.38502673796791437,0.38502673796791437,0.06684491978609627,0.06684491978609627,0.04367201426024948,0.06684491978609627
#oronte,0.08080808080808076,0.2673796791443851,14.727272727272725,0.08116883116883118,0.7272727272727273,1.3090909090909089,0.10227272727272725,0.10227272727272725,0.18181818181818182,0.18181818181818182,0.3787878787878789,0.18181818181818182
#celimene,1.298701298701299,0.003055767761650109,0.08116883116883118,2.9090909090909105,0.8311688311688312,0.01038961038961037,0.08116883116883118,0.08116883116883118,0.2077922077922078,0.2077922077922078,0.004329004329004343,0.2077922077922078
#basque,1.6363636363636365,0.0026737967914438453,0.7272727272727273,0.8311688311688312,14.727272727272725,0.9090909090909091,0.7272727272727273,0.10227272727272725,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.18181818181818182
#eliante,1.8676767676767678,0.004812834224598953,1.3090909090909089,0.01038961038961037,0.9090909090909092,13.136363636363638,1.3090909090909089,1.3090909090909089,2.627272727272727,0.2272727272727273,0.14848484848484855,0.2272727272727273
#clitandre,0.08080808080808076,0.38502673796791437,0.10227272727272725,0.08116883116883118,0.7272727272727273,1.3090909090909089,14.727272727272725,7.102272727272725,3.681818181818181,0.18181818181818182,0.3787878787878789,0.18181818181818182
#acaste,0.08080808080808076,0.38502673796791437,0.10227272727272725,0.08116883116883118,0.10227272727272725,1.3090909090909089,7.102272727272725,14.727272727272725,3.681818181818181,0.18181818181818182,0.3787878787878789,0.18181818181818182
#clitandre #acaste,0.8535353535353533,0.06684491978609627,0.18181818181818182,0.2077922077922078,0.18181818181818182,2.627272727272727,3.681818181818181,3.681818181818181,20.045454545454547,0.045454545454545456,0.13636363636363635,0.045454545454545456
#garde,0.8535353535353533,0.06684491978609627,0.18181818181818182,0.2077922077922078,0.18181818181818182,0.22727272727272727,0.18181818181818182,0.18181818181818182,0.045454545454545456,20.045454545454547,0.13636363636363635,0.045454545454545456
#arsinoe,0.04208754208754209,0.043672014260249595,0.3787878787878789,0.004329004329004321,0.5454545454545454,0.14848484848484855,0.3787878787878789,0.3787878787878789,0.13636363636363635,0.13636363636363635,16.40909090909091,0.13636363636363635
#dubois,0.4090909090909091,0.06684491978609627,0.18181818181818182,0.2077922077922078,0.18181818181818182,0.22727272727272727,0.18181818181818182,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.13636363636363635,20.045454545454547
Successions,#philinte,#alceste,#oronte,#celimene,#basque,#eliante,#clitandre,#acaste,#clitandre #acaste,#garde,#arsinoe,#dubois
#philinte,0.0,0.8,0.05333333333333334,0.04,0.0,0.09333333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,0.0
#alceste,0.32642487046632124,0.010362694300518135,0.19170984455958548,0.25906735751295334,0.010362694300518135,0.03626943005181347,0.010362694300518135,0.0051813471502590676,0.0051813471502590676,0.015544041450777202,0.05181347150259067,0.07772020725388601
#oronte,0.06818181818181818,0.8409090909090909,0.0,0.045454545454545456,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.0,0.0
#celimene,0.04819277108433735,0.6024096385542169,0.024096385542168676,0.024096385542168676,0.04819277108433735,0.024096385542168676,0.07228915662650602,0.060240963855421686,0.0,0.0,0.0963855421686747,0.0
#basque,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#eliante,0.2777777777777778,0.4444444444444444,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clitandre,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.041666666666666664,0.0,0.625,0.0,0.0,0.0,0.0
#acaste,0.0,0.09090909090909091,0.0,0.22727272727272727,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.045454545454545456,0.0
#clitandre #acaste,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#garde,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arsinoe,0.0,0.45,0.05,0.45,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
#garde,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
