VALEUR,#ninette,#ninon,#la-voix,#irus,#quinola,#spadille,#laërte,#silvio,#flora,#toutes-deux
Fréquences (scènes),0.6363636363636364,0.7272727272727273,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.7272727272727273,0.5454545454545454,0.18181818181818182,0.09090909090909091
Fréquences(répliques),0.11241830065359477,0.17647058823529413,0.023529411764705882,0.0915032679738562,0.011764705882352941,0.013071895424836602,0.40522875816993464,0.14640522875816994,0.01699346405228758,0.00261437908496732
Confrontation,0.16875,0.175,0.0125,0.16875,0.05,0.05,0.18125,0.1,0.0625,0.03125
Déviations,#ninette,#ninon,#la-voix,#irus,#quinola,#spadille,#laërte,#silvio,#flora,#toutes-deux
#ninette,1.4545454545454553,0.715909090909091,0.2077922077922078,0.06679035250463833,0.05844155844155843,0.05844155844155843,0.16233766233766236,0.17532467532467522,0.4155844155844156,0.2077922077922078
#ninon,0.715909090909091,0.818181818181818,0.10227272727272725,0.0016233766233766204,0.14204545454545456,0.14204545454545456,0.005681818181818171,0.03030303030303025,0.2045454545454545,0.10227272727272725
#la-voix,0.2077922077922078,0.10227272727272725,9.09090909090909,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.7272727272727273,0.5454545454545454,0.18181818181818182,0.09090909090909091
#irus,0.06679035250463833,0.0016233766233766204,0.6363636363636364,1.4545454545454553,0.4155844155844156,0.4155844155844156,0.16233766233766236,0.008658008658008686,0.4155844155844156,0.2077922077922078
#quinola,0.05844155844155843,0.14204545454545456,0.18181818181818182,0.4155844155844156,7.363636363636362,7.363636363636362,0.2045454545454545,1.0909090909090908,0.36363636363636365,0.18181818181818182
#quinola,0.05844155844155843,0.14204545454545456,0.18181818181818182,0.4155844155844156,7.363636363636362,7.363636363636362,0.2045454545454545,1.0909090909090908,0.36363636363636365,0.18181818181818182
#laërte,0.16233766233766236,0.005681818181818171,0.7272727272727273,0.16233766233766236,0.2045454545454545,0.2045454545454545,0.818181818181818,0.03030303030303025,0.2045454545454545,0.10227272727272725
#silvio,0.17532467532467538,0.03030303030303025,0.5454545454545454,0.008658008658008642,1.0909090909090908,1.0909090909090908,0.03030303030303025,2.2727272727272734,0.007575757575757562,0.5454545454545454
#flora,0.4155844155844156,0.2045454545454545,0.18181818181818182,0.4155844155844156,0.36363636363636365,0.36363636363636365,0.2045454545454545,0.007575757575757562,7.363636363636362,3.681818181818181
#toutes-deux,0.2077922077922078,0.10227272727272725,0.09090909090909091,0.2077922077922078,0.18181818181818182,0.18181818181818182,0.10227272727272725,0.5454545454545454,3.681818181818181,9.09090909090909
Successions,#ninette,#ninon,#la-voix,#irus,#quinola,#spadille,#laërte,#silvio,#flora,#toutes-deux
#ninette,0.0,0.78,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.02
#ninon,0.6785714285714286,0.0,0.05357142857142857,0.017857142857142856,0.0,0.0,0.08928571428571429,0.125,0.03571428571428571,0.0
#la-voix,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#irus,0.05,0.025,0.0,0.0,0.1,0.1,0.375,0.3,0.025,0.025
#quinola,0.0,0.0,0.0,0.375,0.0,0.625,0.0,0.0,0.0,0.0
#spadille,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0,0.0,0.0
#laërte,0.09523809523809523,0.09523809523809523,0.0,0.38095238095238093,0.0,0.0,0.0,0.42857142857142855,0.0,0.0
#silvio,0.02702702702702703,0.16216216216216217,0.0,0.35135135135135137,0.0,0.0,0.43243243243243246,0.0,0.02702702702702703,0.0
#flora,0.4444444444444444,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
#toutes-deux,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
