VALEUR,#le-choeur,#maitre-blazius,#dame-pluche,#le-baron,#maitre-bridaine,#perdican,#camille,#rosette,#le-paysan
Fréquences (scènes),0.2222222222222222,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.2777777777777778,0.6666666666666666,0.5,0.3333333333333333,0.1111111111111111
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.05952380952380952,0.11904761904761904,0.14285714285714285,0.10714285714285714,0.07738095238095238,0.19642857142857142,0.1488095238095238,0.10119047619047619,0.047619047619047616
Déviations,#le-choeur,#maitre-blazius,#dame-pluche,#le-baron,#maitre-bridaine,#perdican,#camille,#rosette,#le-paysan
#le-choeur,10.88888888888889,0.19841269841269843,1.3412698412698412,0.19841269841269843,1.1111111111111112,0.1666666666666666,0.0,0.0833333333333333,0.4444444444444444
#maitre-blazius,0.1984126984126983,6.722222222222222,0.5997732426303853,0.5997732426303853,0.5730158730158728,0.09523809523809508,0.6428571428571429,0.7619047619047616,0.06349206349206356
#dame-pluche,1.3412698412698416,0.5997732426303853,6.722222222222222,0.19160997732426308,0.0015873015873015758,0.0238095238095239,0.6428571428571429,0.04761904761904754,0.06349206349206356
#le-baron,0.1984126984126983,0.5997732426303853,0.19160997732426308,6.722222222222222,0.5730158730158728,0.09523809523809508,0.07142857142857142,0.7619047619047616,0.7777777777777776
#maitre-bridaine,1.1111111111111112,0.5730158730158731,0.0015873015873015888,0.5730158730158731,9.38888888888889,0.5333333333333331,0.9,0.26666666666666655,0.3555555555555555
#perdican,0.1666666666666666,0.09523809523809532,0.023809523809523767,0.09523809523809532,0.5333333333333334,2.0,0.6666666666666666,1.0,0.3333333333333334
#camille,0.0,0.6428571428571429,0.6428571428571429,0.07142857142857142,0.9,0.6666666666666666,4.5,0.0,0.0
#rosette,0.0833333333333333,0.761904761904762,0.04761904761904766,0.761904761904762,0.2666666666666667,1.0,0.0,8.0,2.6666666666666674
#le-paysan,0.4444444444444444,0.06349206349206349,0.06349206349206349,0.7777777777777778,0.3555555555555555,0.3333333333333334,0.0,2.6666666666666674,14.222222222222221
Successions,#le-choeur,#maitre-blazius,#dame-pluche,#le-baron,#maitre-bridaine,#perdican,#camille,#rosette,#le-paysan
#le-choeur,0.0,0.15789473684210525,0.2631578947368421,0.0,0.0,0.5263157894736842,0.05263157894736842,0.0,0.0
#maitre-blazius,0.06976744186046512,0.0,0.09302325581395349,0.46511627906976744,0.23255813953488372,0.11627906976744186,0.0,0.023255813953488372,0.0
#dame-pluche,0.2916666666666667,0.16666666666666666,0.0,0.3333333333333333,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0
#le-baron,0.029411764705882353,0.3088235294117647,0.11764705882352941,0.0,0.3235294117647059,0.10294117647058823,0.11764705882352941,0.0,0.0
#maitre-bridaine,0.0,0.2647058823529412,0.029411764705882353,0.6176470588235294,0.0,0.058823529411764705,0.029411764705882353,0.0,0.0
#perdican,0.05555555555555555,0.041666666666666664,0.006944444444444444,0.06944444444444445,0.013888888888888888,0.006944444444444444,0.6875,0.1111111111111111,0.006944444444444444
#camille,0.0,0.0,0.0390625,0.0703125,0.0,0.765625,0.0234375,0.0625,0.0390625
#rosette,0.0,0.0,0.0,0.0,0.0,0.72,0.28,0.0,0.0
#le-paysan,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
