VALEUR,#achas,#jonathas,#michol,#saül,#asser,#elise,#david,#la-pythonisse,#l-israelite
Fréquences (scènes),0.07692307692307693,0.3076923076923077,0.5384615384615384,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.05128205128205128,0.05128205128205128
Fréquences(répliques),0.04452690166975881,0.15893630179344465,0.19356833642547927,0.2894248608534323,0.09276437847866419,0.017934446505875078,0.13543599257884972,0.06060606060606061,0.006802721088435374
Confrontation,0.044642857142857144,0.125,0.26785714285714285,0.24107142857142858,0.125,0.026785714285714284,0.11607142857142858,0.026785714285714284,0.026785714285714284
Déviations,#achas,#jonathas,#michol,#saül,#asser,#elise,#david,#la-pythonisse,#l-israelite
#achas,33.230769230769226,0.006410256410256401,0.23443223443223446,0.09157509157509156,0.6923076923076923,0.23076923076923078,0.13675213675213677,0.15384615384615385,0.15384615384615385
#jonathas,0.006410256410256401,18.692307692307686,0.9377289377289378,0.33058608058608063,1.1303418803418803,0.9230769230769231,1.1303418803418803,0.24038461538461534,0.24038461538461534
#michol,0.23443223443223446,0.9377289377289378,8.30769230769231,0.4709576138147563,0.27472527472527447,1.1868131868131866,0.27472527472527447,1.0769230769230769,0.005494505494505487
#saül,0.09157509157509156,0.33058608058608063,0.4709576138147563,8.30769230769231,0.004884004884004849,1.6153846153846154,0.7032967032967036,0.7912087912087914,0.005494505494505487
#asser,0.6923076923076923,1.1303418803418803,0.2747252747252749,0.004884004884004906,23.076923076923077,0.6923076923076923,0.0028490028490028613,0.4615384615384615,0.4615384615384615
#elise,0.23076923076923078,0.9230769230769231,1.1868131868131866,1.6153846153846154,0.6923076923076923,33.230769230769226,0.6923076923076923,0.15384615384615385,0.15384615384615385
#david,0.13675213675213677,1.1303418803418803,0.2747252747252749,0.7032967032967031,0.0028490028490028613,0.6923076923076923,23.076923076923077,0.4615384615384615,0.4615384615384615
#la-pythonisse,0.15384615384615385,0.24038461538461534,1.0769230769230769,0.7912087912087914,0.46153846153846156,0.15384615384615385,0.46153846153846156,35.1025641025641,0.10256410256410256
#l-israelite,0.15384615384615385,0.24038461538461534,0.005494505494505487,0.005494505494505487,0.46153846153846156,0.15384615384615385,0.46153846153846156,0.10256410256410256,35.1025641025641
Successions,#achas,#jonathas,#michol,#saül,#asser,#elise,#david,#la-pythonisse,#l-israelite
#achas,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0
#jonathas,0.10810810810810811,0.02702702702702703,0.16216216216216217,0.4864864864864865,0.0,0.0,0.16216216216216217,0.02702702702702703,0.02702702702702703
#michol,0.0,0.061224489795918366,0.04081632653061224,0.3877551020408163,0.14285714285714285,0.10204081632653061,0.2653061224489796,0.0,0.0
#saül,0.05128205128205128,0.2692307692307692,0.2564102564102564,0.038461538461538464,0.1794871794871795,0.0,0.08974358974358974,0.08974358974358974,0.02564102564102564
#asser,0.0,0.0,0.2222222222222222,0.6296296296296297,0.0,0.0,0.14814814814814814,0.0,0.0
#elise,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#david,0.0,0.23333333333333334,0.3333333333333333,0.23333333333333334,0.2,0.0,0.0,0.0,0.0
#la-pythonisse,0.0,0.125,0.0,0.875,0.0,0.0,0.0,0.0,0.0
#l-israelite,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
