VALEUR,#clorine,#monrose,#aramont,#dornane,#ariste,#hortense,#le-valet,#le-garde
Fréquences (scènes),0.2807017543859649,0.45614035087719296,0.5263157894736842,0.12280701754385964,0.17543859649122806,0.3333333333333333,0.03508771929824561,0.017543859649122806
Fréquences(répliques),0.11004126547455295,0.24759284731774414,0.2173314993122421,0.12196240256762952,0.12563044475011462,0.17285648784961027,0.0018340210912425492,0.002751031636863824
Confrontation,0.1388888888888889,0.24305555555555555,0.2569444444444444,0.08333333333333333,0.08333333333333333,0.1597222222222222,0.020833333333333332,0.013888888888888888
Déviations,#clorine,#monrose,#aramont,#dornane,#ariste,#hortense,#le-valet,#le-garde
#clorine,29.491228070175442,0.7237263832658567,0.23980263157894724,1.9649122807017543,1.163267543859649,0.5208333333333335,0.5614035087719298,0.2807017543859649
#monrose,0.7237263832658567,16.85964912280702,0.03421052631578946,0.203971467129362,0.06909581646423751,0.3205128205128203,0.008434547908232129,0.6484480431848854
#aramont,0.23980263157894724,0.03421052631578946,12.789473684210527,1.455639097744361,0.9731578947368418,1.6,0.0026315789473684154,0.42631578947368426
#dornane,1.9649122807017543,0.203971467129362,1.455639097744361,43.85964912280702,0.48521303258145393,2.333333333333333,0.24561403508771928,0.12280701754385964
#ariste,1.163267543859649,0.06909581646423751,0.9731578947368418,0.48521303258145393,38.75438596491228,0.5333333333333331,0.3508771929824561,0.17543859649122806
#hortense,0.5208333333333335,0.3205128205128203,1.6,2.333333333333333,0.5333333333333331,25.33333333333334,0.1666666666666667,0.3333333333333333
#le-valet,0.5614035087719298,0.008434547908232129,0.0026315789473684154,0.24561403508771928,0.3508771929824561,0.1666666666666667,53.07017543859649,0.03508771929824561
#le-garde,0.2807017543859649,0.6484480431848854,0.42631578947368426,0.12280701754385964,0.17543859649122806,0.3333333333333333,0.03508771929824561,55.017543859649116
Successions,#clorine,#monrose,#aramont,#dornane,#ariste,#hortense,#le-valet,#le-garde
#clorine,0.0,0.11304347826086956,0.40869565217391307,0.0,0.0,0.4782608695652174,0.0,0.0
#monrose,0.059113300492610835,0.019704433497536946,0.42857142857142855,0.15763546798029557,0.17733990147783252,0.13793103448275862,0.0049261083743842365,0.014778325123152709
#aramont,0.2171945701357466,0.3665158371040724,0.004524886877828055,0.167420814479638,0.02262443438914027,0.2171945701357466,0.0,0.004524886877828055
#dornane,0.0,0.46153846153846156,0.4230769230769231,0.01282051282051282,0.10256410256410256,0.0,0.0,0.0
#ariste,0.0,0.47368421052631576,0.09210526315789473,0.10526315789473684,0.06578947368421052,0.2631578947368421,0.0,0.0
#hortense,0.36363636363636365,0.17532467532467533,0.2987012987012987,0.0,0.14285714285714285,0.006493506493506494,0.012987012987012988,0.0
#le-valet,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
#le-garde,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
