VALEUR,#doligni-fils,#doligni-pere,#rosette,#le-marquis,#la-fleur,#madame-argant,#monsieur-argant,#le-suisse,#laquais-1er,#laquais-2eme,#le-coureur,#marianne,#maitre-d-hotel
Fréquences (scènes),0.1590909090909091,0.25,0.18181818181818182,0.3181818181818182,0.13636363636363635,0.5,0.5,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.3181818181818182,0.022727272727272728
Fréquences(répliques),0.05959425190194421,0.06973795435333897,0.08368554522400676,0.17624683009298395,0.07142857142857142,0.20540997464074387,0.2265426880811496,0.0016906170752324597,0.00042265426880811494,0.00042265426880811494,0.002113271344040575,0.09974640743871513,0.0029585798816568047
Confrontation,0.06796116504854369,0.10679611650485436,0.04854368932038835,0.11165048543689321,0.024271844660194174,0.19902912621359223,0.21844660194174756,0.024271844660194174,0.024271844660194174,0.024271844660194174,0.014563106796116505,0.1262135922330097,0.009708737864077669
Déviations,#doligni-fils,#doligni-pere,#rosette,#le-marquis,#la-fleur,#madame-argant,#monsieur-argant,#le-suisse,#laquais-1er,#laquais-2eme,#le-coureur,#marianne,#maitre-d-hotel
#doligni-fils,31.113636363636367,0.8928571428571429,0.4155844155844156,0.023191094619666012,0.9545454545454545,0.6428571428571429,0.07142857142857142,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.023191094619666012,0.1590909090909091
#doligni-pere,0.8928571428571429,24.75,0.5,3.5,1.5,0.4090909090909091,2.227272727272727,0.25,0.25,0.25,0.25,0.6428571428571429,0.25
#rosette,0.4155844155844156,0.5,29.45454545454545,0.11688311688311687,0.007575757575757562,0.25,4.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.9383116883116882,0.18181818181818182
#le-marquis,0.023191094619666012,3.5,0.11688311688311687,20.45454545454546,0.6233766233766236,0.0,1.2857142857142858,1.4610389610389614,1.4610389610389614,1.4610389610389614,1.4610389610389614,2.6790352504638215,0.3181818181818182
#la-fleur,0.9545454545454546,1.5,0.007575757575757562,0.6233766233766233,32.81818181818182,1.3333333333333333,3.0,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,1.9090909090909092,0.13636363636363635
#madame-argant,0.6428571428571429,0.4090909090909091,0.25,0.0,1.3333333333333333,11.0,0.8181818181818182,0.5,0.5,0.5,0.5,0.14285714285714285,0.5
#monsieur-argant,0.07142857142857142,2.227272727272727,4.0,1.2857142857142858,3.0,0.8181818181818182,11.0,0.5,0.5,0.5,0.5,1.2857142857142858,0.5
#le-suisse,0.1590909090909091,0.25,0.18181818181818182,1.4610389610389614,0.13636363636363635,0.5,0.5,42.02272727272727,42.02272727272727,42.02272727272727,0.022727272727272728,0.3181818181818182,0.022727272727272728
#le-suisse,0.1590909090909091,0.25,0.18181818181818182,1.4610389610389614,0.13636363636363635,0.5,0.5,42.02272727272727,42.02272727272727,42.02272727272727,0.022727272727272728,0.3181818181818182,0.022727272727272728
#le-suisse,0.1590909090909091,0.25,0.18181818181818182,1.4610389610389614,0.13636363636363635,0.5,0.5,42.02272727272727,42.02272727272727,42.02272727272727,0.022727272727272728,0.3181818181818182,0.022727272727272728
#le-coureur,0.1590909090909091,0.25,0.18181818181818182,1.4610389610389614,0.13636363636363635,0.5,0.5,0.022727272727272728,0.022727272727272728,0.022727272727272728,42.02272727272727,0.3181818181818182,0.022727272727272728
#marianne,0.023191094619666012,0.6428571428571429,0.9383116883116882,2.6790352504638215,1.909090909090909,0.14285714285714285,1.2857142857142858,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,20.45454545454546,1.4610389610389614
#maitre-d-hotel,0.1590909090909091,0.25,0.18181818181818182,0.3181818181818182,0.13636363636363635,0.5,0.5,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,1.4610389610389614,42.02272727272727
Successions,#doligni-fils,#doligni-pere,#rosette,#le-marquis,#la-fleur,#madame-argant,#monsieur-argant,#le-suisse,#laquais-1er,#laquais-2eme,#le-coureur,#marianne,#maitre-d-hotel
#doligni-fils,0.013888888888888888,0.18055555555555555,0.20833333333333334,0.4166666666666667,0.0,0.1527777777777778,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0
#doligni-pere,0.17647058823529413,0.014705882352941176,0.04411764705882353,0.0,0.0,0.058823529411764705,0.6617647058823529,0.0,0.0,0.0,0.0,0.04411764705882353,0.0
#rosette,0.23809523809523808,0.047619047619047616,0.015873015873015872,0.1746031746031746,0.1111111111111111,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0
#le-marquis,0.1693121693121693,0.0,0.047619047619047616,0.015873015873015872,0.3862433862433862,0.24338624338624337,0.1164021164021164,0.0,0.0,0.005291005291005291,0.0,0.015873015873015872,0.0
#la-fleur,0.0,0.012048192771084338,0.07228915662650602,0.9036144578313253,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-argant,0.03763440860215054,0.010752688172043012,0.14516129032258066,0.25268817204301075,0.010752688172043012,0.021505376344086023,0.3279569892473118,0.0,0.0,0.0,0.0,0.1935483870967742,0.0
#monsieur-argant,0.0213903743315508,0.24598930481283424,0.0053475935828877,0.10695187165775401,0.0,0.32620320855614976,0.0374331550802139,0.016042780748663103,0.0,0.0,0.026737967914438502,0.20320855614973263,0.0106951871657754
#le-suisse,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#laquais-1er,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#laquais-2eme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#le-suisse,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#marianne,0.023255813953488372,0.023255813953488372,0.011627906976744186,0.03488372093023256,0.011627906976744186,0.4069767441860465,0.4418604651162791,0.0,0.0,0.0,0.0,0.011627906976744186,0.03488372093023256
#maitre-d-hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0
