VALEUR,#julie,#laure,#romeo,#le-domestique,#monsieur-capellet,#madame-capellet,#gervas,#benvoglio
Fréquences (scènes),0.5454545454545454,0.3333333333333333,0.12121212121212122,0.06060606060606061,0.3939393939393939,0.21212121212121213,0.06060606060606061,0.18181818181818182
Fréquences(répliques),0.36191762322754895,0.10195813639432816,0.18028359216745443,0.004051316677920324,0.14382174206617152,0.11411208642808914,0.024307900067521943,0.06954760297096556
Confrontation,0.24324324324324326,0.16216216216216217,0.06756756756756757,0.02702702702702703,0.1891891891891892,0.13513513513513514,0.04054054054054054,0.13513513513513514
Déviations,#julie,#laure,#romeo,#le-domestique,#monsieur-capellet,#madame-capellet,#gervas,#benvoglio
#julie,6.818181818181823,0.0,0.30681818181818193,1.0909090909090908,3.6550116550116547,0.17532467532467538,0.007575757575757562,0.02272727272727276
#laure,0.0,14.66666666666667,0.0833333333333334,0.6666666666666667,1.2564102564102562,0.761904761904762,2.666666666666666,2.0
#romeo,0.30681818181818193,0.0833333333333333,25.484848484848484,0.24242424242424243,1.5757575757575757,0.8484848484848486,0.24242424242424243,0.10227272727272725
#le-domestique,1.0909090909090908,0.6666666666666666,0.24242424242424243,29.12121212121212,1.864801864801865,0.4242424242424243,0.12121212121212122,0.36363636363636365
#monsieur-capellet,3.6550116550116543,1.2564102564102562,1.5757575757575757,1.864801864801865,12.121212121212121,0.5597735597735595,0.7878787878787878,1.1328671328671327
#madame-capellet,0.17532467532467522,0.7619047619047616,0.8484848484848486,0.4242424242424243,0.55977355977356,20.484848484848488,0.4242424242424243,0.4155844155844156
#gervas,0.007575757575757562,2.6666666666666674,0.24242424242424243,0.12121212121212122,0.7878787878787878,0.4242424242424243,29.12121212121212,0.36363636363636365
#benvoglio,0.022727272727272686,2.0,0.10227272727272725,0.36363636363636365,1.1328671328671334,0.4155844155844156,0.36363636363636365,22.090909090909093
Successions,#julie,#laure,#romeo,#le-domestique,#monsieur-capellet,#madame-capellet,#gervas,#benvoglio
#julie,0.055944055944055944,0.2937062937062937,0.20279720279720279,0.0,0.06993006993006994,0.20279720279720279,0.013986013986013986,0.16083916083916083
#laure,0.6615384615384615,0.015384615384615385,0.046153846153846156,0.0,0.06153846153846154,0.15384615384615385,0.06153846153846154,0.0
#romeo,0.8484848484848485,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.0,0.030303030303030304
#le-domestique,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
#monsieur-capellet,0.2037037037037037,0.09259259259259259,0.0,0.05555555555555555,0.05555555555555555,0.4074074074074074,0.0,0.18518518518518517
#madame-capellet,0.4444444444444444,0.15873015873015872,0.0,0.0,0.3492063492063492,0.015873015873015872,0.0,0.031746031746031744
#gervas,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
#benvoglio,0.6216216216216216,0.0,0.0,0.0,0.35135135135135137,0.02702702702702703,0.0,0.0
