VALEUR,#la-citoyenne-floch,#le-pere-renaud,#le-citoyen-floch,#le-citoyen-floch #la-citoyenne-floch,#corniquet,#le-chef,#la-citoyenne-floch #corniquet,#ensemble,#un-des-brigands,#le-brigand,#l-officier
Fréquences (scènes),0.5333333333333333,0.6666666666666666,0.6666666666666666,0.06666666666666667,0.5333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.2
Fréquences(répliques),0.17582417582417584,0.27472527472527475,0.21978021978021978,0.0,0.21428571428571427,0.0,0.054945054945054944,0.005494505494505495,0.0,0.01098901098901099,0.04395604395604396
Confrontation,0.15753424657534246,0.2054794520547945,0.2054794520547945,0.02054794520547945,0.1506849315068493,0.0547945205479452,0.02054794520547945,0.02054794520547945,0.0273972602739726,0.06164383561643835,0.07534246575342465
Déviations,#la-citoyenne-floch,#le-pere-renaud,#le-citoyen-floch,#le-citoyen-floch #la-citoyenne-floch,#corniquet,#le-chef,#la-citoyenne-floch #corniquet,#ensemble,#un-des-brigands,#le-brigand,#l-officier
#la-citoyenne-floch,3.266666666666667,0.08333333333333341,0.08333333333333341,0.4083333333333334,0.01666666666666666,0.6020833333333333,0.4083333333333334,0.4083333333333334,0.5333333333333333,1.6000000000000003,1.2249999999999999
#le-pere-renaud,0.08333333333333341,1.6666666666666672,1.6666666666666672,0.1666666666666667,0.020833333333333297,0.1666666666666666,0.6666666666666666,0.6666666666666666,0.1666666666666667,0.0,0.5
#le-pere-renaud,0.08333333333333341,1.6666666666666672,1.6666666666666672,0.1666666666666667,0.020833333333333297,0.1666666666666666,0.6666666666666666,0.6666666666666666,0.1666666666666667,0.0,0.5
#le-citoyen-floch #la-citoyenne-floch,0.4083333333333334,0.1666666666666667,0.1666666666666667,13.066666666666668,0.5333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.20000000000000004,0.20000000000000004
#corniquet,0.01666666666666666,0.020833333333333297,0.020833333333333297,0.5333333333333333,3.266666666666667,0.6020833333333333,0.4083333333333334,0.4083333333333334,0.4083333333333334,0.09999999999999995,0.09999999999999995
#le-chef,0.6020833333333333,0.1666666666666666,0.1666666666666666,0.26666666666666666,0.6020833333333333,8.066666666666668,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.7999999999999998,0.8000000000000002
#la-citoyenne-floch #corniquet,0.4083333333333334,0.6666666666666666,0.6666666666666666,0.06666666666666667,0.4083333333333334,0.26666666666666666,13.066666666666668,13.066666666666668,0.06666666666666667,0.20000000000000004,0.20000000000000004
#la-citoyenne-floch #corniquet,0.4083333333333334,0.6666666666666666,0.6666666666666666,0.06666666666666667,0.4083333333333334,0.26666666666666666,13.066666666666668,13.066666666666668,0.06666666666666667,0.20000000000000004,0.20000000000000004
#un-des-brigands,0.5333333333333333,0.1666666666666667,0.1666666666666667,0.06666666666666667,0.4083333333333334,0.26666666666666666,0.06666666666666667,0.06666666666666667,13.066666666666668,3.2000000000000006,0.20000000000000004
#le-brigand,1.6000000000000003,0.0,0.0,0.20000000000000004,0.09999999999999995,1.7999999999999998,0.20000000000000004,0.20000000000000004,3.2000000000000006,9.599999999999998,0.6000000000000001
#l-officier,1.2249999999999999,0.5,0.5,0.20000000000000004,0.09999999999999995,0.8000000000000002,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.6000000000000001,9.599999999999998
Successions,#la-citoyenne-floch,#le-pere-renaud,#le-citoyen-floch,#le-citoyen-floch #la-citoyenne-floch,#corniquet,#le-chef,#la-citoyenne-floch #corniquet,#ensemble,#un-des-brigands,#le-brigand,#l-officier
#la-citoyenne-floch,0.043478260869565216,0.13043478260869565,0.21739130434782608,0.0,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.0,0.0,0.08695652173913043
#le-pere-renaud,0.19230769230769232,0.038461538461538464,0.5769230769230769,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
#le-citoyen-floch,0.1111111111111111,0.5925925925925926,0.037037037037037035,0.0,0.07407407407407407,0.07407407407407407,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035
#le-citoyen-floch #la-citoyenne-floch,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#corniquet,0.5882352941176471,0.058823529411764705,0.17647058823529413,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705
#le-chef,0.3,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.0
#la-citoyenne-floch #corniquet,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-citoyenne-floch #corniquet,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-citoyenne-floch #corniquet,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-brigand,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#l-officier,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
