VALEUR,#minerve,#la-gloire,#orphise,#ariste,#le-poete,#la-femme-savante,#le-financier,#le-philosophe,#lucinde,#le-medecin,#lindor,#frontin
Fréquences (scènes),0.06666666666666667,0.06666666666666667,0.9333333333333333,0.8,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667
Fréquences(répliques),0.6792452830188679,0.2830188679245283,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0
Confrontation,0.014285714285714285,0.014285714285714285,0.32857142857142857,0.3,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.12857142857142856,0.04285714285714286,0.04285714285714286,0.014285714285714285
Déviations,#minerve,#la-gloire,#orphise,#ariste,#le-poete,#la-femme-savante,#le-financier,#le-philosophe,#lucinde,#le-medecin,#lindor,#frontin
#minerve,13.066666666666668,13.066666666666668,0.9333333333333333,0.8000000000000002,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667
#minerve,13.066666666666668,13.066666666666668,0.9333333333333333,0.8000000000000002,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667
#orphise,0.9333333333333333,0.9333333333333333,0.0666666666666667,0.05714285714285699,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.00476190476190476,0.01904761904761904,0.00476190476190476,0.00476190476190476,0.00476190476190476
#ariste,0.8000000000000002,0.8000000000000002,0.057142857142857245,0.5999999999999992,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.012500000000000022,0.049999999999999975,0.049999999999999975,0.8000000000000002
#le-poete,0.06666666666666667,0.06666666666666667,0.00476190476190476,0.049999999999999975,13.066666666666668,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667
#la-femme-savante,0.06666666666666667,0.06666666666666667,0.00476190476190476,0.049999999999999975,0.06666666666666667,13.066666666666668,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667
#le-financier,0.06666666666666667,0.06666666666666667,0.00476190476190476,0.049999999999999975,0.06666666666666667,0.06666666666666667,13.066666666666668,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667
#le-philosophe,0.06666666666666667,0.06666666666666667,0.00476190476190476,0.049999999999999975,0.06666666666666667,0.06666666666666667,0.06666666666666667,13.066666666666668,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667
#lucinde,0.26666666666666666,0.26666666666666666,0.01904761904761904,0.012500000000000022,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,8.066666666666668,2.016666666666667,2.016666666666667,0.26666666666666666
#le-medecin,0.06666666666666667,0.06666666666666667,0.00476190476190476,0.049999999999999975,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,2.016666666666667,13.066666666666668,0.06666666666666667,0.06666666666666667
#lindor,0.06666666666666667,0.06666666666666667,0.00476190476190476,0.049999999999999975,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,2.016666666666667,0.06666666666666667,13.066666666666668,0.06666666666666667
#frontin,0.06666666666666667,0.06666666666666667,0.00476190476190476,0.8000000000000002,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,13.066666666666668
Successions,#minerve,#la-gloire,#orphise,#ariste,#le-poete,#la-femme-savante,#le-financier,#le-philosophe,#lucinde,#le-medecin,#lindor,#frontin
#minerve,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-gloire,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#orphise,0.013333333333333334,0.0,0.02666666666666667,0.4,0.12,0.05333333333333334,0.06666666666666667,0.10666666666666667,0.04,0.13333333333333333,0.02666666666666667,0.013333333333333334
#ariste,0.0,0.0,0.5660377358490566,0.0,0.11320754716981132,0.07547169811320754,0.05660377358490566,0.11320754716981132,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.0
#le-poete,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-femme-savante,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-financier,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-femme-savante,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucinde,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.0
#le-medecin,0.0,0.0,0.45454545454545453,0.18181818181818182,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0
#lindor,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0
#frontin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
