VALEUR,#albin,#antonin,#julie,#geta,#justine,#arcas,#pauline,#emilie
Fréquences (scènes),0.125,0.40625,0.34375,0.375,0.5,0.09375,0.09375,0.03125
Fréquences(répliques),0.04360056258790436,0.2742616033755274,0.13853727144866385,0.2672292545710267,0.23277074542897327,0.02531645569620253,0.007032348804500703,0.011251758087201125
Confrontation,0.07894736842105263,0.19736842105263158,0.17105263157894737,0.2236842105263158,0.2236842105263158,0.05263157894736842,0.039473684210526314,0.013157894736842105
Déviations,#albin,#antonin,#julie,#geta,#justine,#arcas,#pauline,#emilie
#albin,24.5,1.1634615384615385,0.10227272727272728,0.16666666666666666,0.5,0.375,0.375,0.125
#antonin,1.1634615384615385,11.28125,0.049169580419580416,0.7211538461538461,0.34615384615384615,1.21875,1.21875,0.40625
#julie,0.10227272727272728,0.049169580419580416,13.78125,0.8522727272727273,2.227272727272727,1.03125,1.03125,0.34375
#geta,0.16666666666666666,0.7211538461538461,0.8522727272727273,12.5,0.6666666666666666,3.125,1.125,0.375
#justine,0.5,0.34615384615384615,2.227272727272727,0.6666666666666666,8.0,0.16666666666666666,1.5,0.5
#arcas,0.375,1.21875,1.03125,3.125,0.16666666666666666,26.28125,0.28125,0.09375
#pauline,0.375,1.21875,1.03125,1.125,1.5,0.28125,26.28125,0.09375
#emilie,0.125,0.40625,0.34375,0.375,0.5,0.09375,0.09375,30.03125
Successions,#albin,#antonin,#julie,#geta,#justine,#arcas,#pauline,#emilie
#albin,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0
#antonin,0.14893617021276595,0.0,0.2765957446808511,0.2553191489361702,0.3191489361702128,0.0,0.0,0.0
#julie,0.0,0.36363636363636365,0.030303030303030304,0.42424242424242425,0.18181818181818182,0.0,0.0,0.0
#geta,0.0,0.32608695652173914,0.30434782608695654,0.043478260869565216,0.2608695652173913,0.06521739130434782,0.0,0.0
#justine,0.0425531914893617,0.2765957446808511,0.10638297872340426,0.3404255319148936,0.0851063829787234,0.0,0.0851063829787234,0.06382978723404255
#arcas,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
#pauline,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#pauline,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
