VALEUR,#conine,#messaline,#vitus,#le-garde,#pine,#matricius,#matricius #pine #nombrilis,#nombrilis,#le-roi,#le-premier-garde,#le-second-garde
Fréquences (scènes),0.5,0.2857142857142857,0.5,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142
Fréquences(répliques),0.18393782383419688,0.2823834196891192,0.19689119170984457,0.07772020725388601,0.018134715025906734,0.012953367875647668,0.0025906735751295338,0.007772020725388601,0.04922279792746114,0.10362694300518134,0.06476683937823834
Confrontation,0.16666666666666666,0.1111111111111111,0.14814814814814814,0.09259259259259259,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407
Déviations,#conine,#messaline,#vitus,#le-garde,#pine,#matricius,#matricius #pine #nombrilis,#nombrilis,#le-roi,#le-premier-garde,#le-second-garde
#conine,3.5,0.5,0.07142857142857142,0.16666666666666666,0.5,0.5,0.5,0.5,0.0,0.5,0.5
#messaline,0.5,7.142857142857143,2.0,0.8571428571428571,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858,0.3214285714285715,0.2857142857142857,0.2857142857142857
#vitus,0.07142857142857142,2.0,3.5,0.16666666666666666,0.5,0.5,0.5,0.5,1.0,0.5,0.5
#le-garde,0.16666666666666666,0.8571428571428571,0.16666666666666666,8.642857142857144,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.42857142857142855,2.880952380952381,2.880952380952381
#pine,0.5,1.7857142857142858,0.5,0.21428571428571427,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.14285714285714285,0.07142857142857142,0.07142857142857142
#pine,0.5,1.7857142857142858,0.5,0.21428571428571427,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.14285714285714285,0.07142857142857142,0.07142857142857142
#pine,0.5,1.7857142857142858,0.5,0.21428571428571427,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.14285714285714285,0.07142857142857142,0.07142857142857142
#pine,0.5,1.7857142857142858,0.5,0.21428571428571427,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.14285714285714285,0.07142857142857142,0.07142857142857142
#le-roi,0.0,0.3214285714285715,1.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,10.285714285714288,0.14285714285714285,0.14285714285714285
#le-premier-garde,0.5,0.2857142857142857,0.5,2.880952380952381,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,12.071428571428573,12.071428571428573
#le-premier-garde,0.5,0.2857142857142857,0.5,2.880952380952381,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,12.071428571428573,12.071428571428573
Successions,#conine,#messaline,#vitus,#le-garde,#pine,#matricius,#matricius #pine #nombrilis,#nombrilis,#le-roi,#le-premier-garde,#le-second-garde
#conine,0.10526315789473684,0.15789473684210525,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0
#messaline,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.0,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0,0.0
#vitus,0.5882352941176471,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413
#le-garde,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#matricius,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#pine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-roi,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-premier-garde,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
#le-second-garde,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0
