VALEUR,#narrateur-du-prologue,#olympion,#chalinus,#cleostrate,#pardalisque,#myrrhine,#stalinon,#alcesime,#pardausque,#le-cuisinier,#olympion #stalinon,#une-servante,#le-chef-de-la-troupe
Fréquences (scènes),0.041666666666666664,0.4166666666666667,0.25,0.3333333333333333,0.20833333333333334,0.16666666666666666,0.625,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.0,0.1896551724137931,0.11206896551724138,0.13793103448275862,0.04310344827586207,0.08620689655172414,0.23275862068965517,0.02586206896551724,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.06896551724137931,0.05172413793103448
Déviations,#narrateur-du-prologue,#olympion,#chalinus,#cleostrate,#pardalisque,#myrrhine,#stalinon,#alcesime,#pardausque,#le-cuisinier,#olympion #stalinon,#une-servante,#le-chef-de-la-troupe
#narrateur-du-prologue,22.04166666666667,0.4166666666666667,0.25,0.3333333333333333,0.20833333333333334,0.16666666666666666,0.625,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664
#olympion,0.41666666666666663,8.166666666666664,0.9,0.03333333333333328,2.0833333333333335,0.06666666666666674,0.49,1.25,0.41666666666666663,0.8166666666666669,0.8166666666666669,1.6333333333333337,0.8166666666666669
#chalinus,0.25,0.9,13.5,0.0,1.25,0.0,0.016666666666666666,0.75,0.25,0.25,0.25,0.5,2.25
#cleostrate,0.3333333333333333,0.03333333333333336,0.0,10.66666666666667,0.2666666666666667,2.083333333333334,0.2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666667,1.3333333333333337
#pardalisque,0.20833333333333331,2.0833333333333335,1.25,0.26666666666666655,15.041666666666663,0.03333333333333337,0.405,0.625,3.008333333333334,0.20833333333333331,0.20833333333333331,0.41666666666666663,0.20833333333333331
#myrrhine,0.16666666666666666,0.06666666666666664,0.0,2.083333333333334,0.03333333333333332,16.66666666666667,0.9,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.3333333333333337,4.166666666666668
#stalinon,0.625,0.49,0.016666666666666666,0.2,0.405,0.9,3.375,0.008333333333333333,0.225,0.225,0.225,0.45,0.225
#alcesime,0.125,1.25,0.75,0.0,0.625,0.5,0.008333333333333333,18.375,0.125,0.125,0.125,0.25,0.125
#pardausque,0.041666666666666664,0.4166666666666667,0.25,0.3333333333333333,3.008333333333333,0.16666666666666666,0.225,0.125,22.04166666666667,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664
#le-cuisinier,0.041666666666666664,0.8166666666666664,0.25,0.3333333333333333,0.20833333333333334,0.16666666666666666,0.225,0.125,0.041666666666666664,22.04166666666667,0.041666666666666664,0.08333333333333333,0.041666666666666664
#olympion #stalinon,0.041666666666666664,0.8166666666666664,0.25,0.3333333333333333,0.20833333333333334,0.16666666666666666,0.225,0.125,0.041666666666666664,0.041666666666666664,22.04166666666667,0.08333333333333333,0.041666666666666664
#une-servante,0.08333333333333333,1.6333333333333329,0.5,0.1666666666666667,0.4166666666666667,1.3333333333333337,0.45,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,20.166666666666664,10.083333333333332
#le-chef-de-la-troupe,0.041666666666666664,0.8166666666666664,2.25,1.3333333333333337,0.20833333333333334,4.166666666666668,0.225,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,10.083333333333332,22.04166666666667
Successions,#narrateur-du-prologue,#olympion,#chalinus,#cleostrate,#pardalisque,#myrrhine,#stalinon,#alcesime,#pardausque,#le-cuisinier,#olympion #stalinon,#une-servante,#le-chef-de-la-troupe
#narrateur-du-prologue,,,,,,,,,,,,,
#olympion,0.007874015748031496,0.0,0.15748031496062992,0.1732283464566929,0.015748031496062992,0.015748031496062992,0.5905511811023622,0.0,0.0,0.015748031496062992,0.0,0.023622047244094488,0.0
#chalinus,0.0,0.3333333333333333,0.0,0.07407407407407407,0.0,0.0,0.5925925925925926,0.0,0.0,0.0,0.0,0.0,0.0
#cleostrate,0.0,0.1919191919191919,0.06060606060606061,0.0,0.010101010101010102,0.16161616161616163,0.5050505050505051,0.0707070707070707,0.0,0.0,0.0,0.0,0.0
#pardalisque,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.057692307692307696,0.9038461538461539,0.0,0.0,0.0,0.0,0.0,0.0
#myrrhine,0.0,0.13636363636363635,0.0,0.6818181818181818,0.13636363636363635,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
#stalinon,0.0,0.37168141592920356,0.11946902654867257,0.21238938053097345,0.20353982300884957,0.004424778761061947,0.004424778761061947,0.05752212389380531,0.004424778761061947,0.0,0.004424778761061947,0.017699115044247787,0.0
#alcesime,0.0,0.0,0.0,0.35,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
#pardausque,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-cuisinier,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pardausque,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-servante,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0
#le-chef-de-la-troupe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
