VALEUR,#lisette,#lisidor,#lucile,#araminte,#le-baron,#damon,#cidalise,#ismene,#l-abbe,#le-medecin,#le-marquis
Fréquences (scènes),0.4666666666666667,0.9333333333333333,0.2,0.8666666666666667,0.13333333333333333,0.3333333333333333,0.4666666666666667,0.5333333333333333,0.2,0.06666666666666667,0.13333333333333333
Fréquences(répliques),0.0,0.0,0.0,0.0,0.48,0.04,0.0,0.0,0.48,0.0,0.0
Confrontation,0.09848484848484848,0.18181818181818182,0.04924242424242424,0.17803030303030304,0.015151515151515152,0.09090909090909091,0.12121212121212122,0.13636363636363635,0.06439393939393939,0.030303030303030304,0.03409090909090909
Déviations,#lisette,#lisidor,#lucile,#araminte,#le-baron,#damon,#cidalise,#ismene,#l-abbe,#le-medecin,#le-marquis
#lisette,4.266666666666667,0.03333333333333335,1.828571428571428,0.1875457875457875,0.9333333333333333,0.04761904761904754,0.02176870748299319,0.1440476190476191,0.11428571428571435,0.6095238095238095,0.00476190476190476
#lisidor,0.03333333333333335,0.0666666666666667,0.014285714285714247,0.001465201465201455,0.00952380952380952,0.0238095238095239,0.04353741496598638,0.02916666666666668,0.014285714285714247,0.00476190476190476,0.00952380952380952
#lucile,1.828571428571429,0.014285714285714311,9.599999999999998,0.1384615384615385,0.4000000000000001,0.0,0.11428571428571424,0.22500000000000006,0.2666666666666665,3.2000000000000006,0.4000000000000001
#araminte,0.1875457875457875,0.001465201465201455,0.1384615384615385,0.2666666666666664,0.041025641025641005,0.10256410256410267,0.14358974358974366,0.16410256410256402,0.06153846153846151,0.020512820512820502,0.041025641025641005
#le-baron,0.9333333333333333,0.00952380952380952,0.4000000000000001,0.041025641025641005,11.266666666666667,0.6666666666666666,0.9333333333333333,1.0666666666666667,0.4000000000000001,0.13333333333333333,0.26666666666666666
#damon,0.04761904761904766,0.023809523809523767,0.0,0.10256410256410237,0.6666666666666666,6.666666666666668,0.19047619047619038,0.6666666666666669,4.0,1.3333333333333337,0.6666666666666666
#cidalise,0.02176870748299319,0.04353741496598638,0.11428571428571435,0.14358974358974366,0.9333333333333333,0.1904761904761907,4.266666666666667,2.8583333333333334,0.257142857142857,0.6095238095238095,1.219047619047619
#ismene,0.1440476190476191,0.02916666666666668,0.22500000000000006,0.16410256410256402,1.0666666666666667,0.6666666666666669,2.8583333333333334,3.266666666666667,1.2249999999999999,0.4083333333333334,0.8166666666666668
#l-abbe,0.11428571428571424,0.014285714285714311,0.2666666666666665,0.06153846153846151,0.4000000000000001,4.0,0.25714285714285723,1.2249999999999999,9.599999999999998,3.2000000000000006,0.4000000000000001
#le-medecin,0.6095238095238095,0.00476190476190476,3.2000000000000006,0.020512820512820502,0.13333333333333333,1.3333333333333337,0.6095238095238095,0.4083333333333334,3.2000000000000006,13.066666666666668,0.13333333333333333
#le-marquis,0.00476190476190476,0.00952380952380952,0.4000000000000001,0.041025641025641005,0.26666666666666666,0.6666666666666666,1.219047619047619,0.8166666666666668,0.4000000000000001,0.13333333333333333,11.266666666666667
Successions,#lisette,#lisidor,#lucile,#araminte,#le-baron,#damon,#cidalise,#ismene,#l-abbe,#le-medecin,#le-marquis
#lisette,0.0,0.631578947368421,0.05263157894736842,0.2631578947368421,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0
#lisidor,0.18032786885245902,0.0,0.13114754098360656,0.32786885245901637,0.09836065573770492,0.01639344262295082,0.01639344262295082,0.06557377049180328,0.01639344262295082,0.06557377049180328,0.08196721311475409
#lucile,0.15384615384615385,0.5384615384615384,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0
#araminte,0.07058823529411765,0.24705882352941178,0.03529411764705882,0.023529411764705882,0.17647058823529413,0.09411764705882353,0.047058823529411764,0.08235294117647059,0.047058823529411764,0.09411764705882353,0.08235294117647059
#le-baron,0.0,0.17391304347826086,0.0,0.7391304347826086,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0
#damon,0.047619047619047616,0.09523809523809523,0.0,0.38095238095238093,0.0,0.0,0.09523809523809523,0.23809523809523808,0.09523809523809523,0.047619047619047616,0.0
#cidalise,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.375
#ismene,0.0,0.05263157894736842,0.0,0.23684210526315788,0.0,0.07894736842105263,0.10526315789473684,0.0,0.18421052631578946,0.05263157894736842,0.2894736842105263
#l-abbe,0.0,0.1,0.0,0.2,0.0,0.2,0.05,0.35,0.0,0.1,0.0
#le-medecin,0.0,0.1,0.05,0.35,0.0,0.1,0.05,0.1,0.25,0.0,0.0
#le-marquis,0.0,0.1875,0.0,0.25,0.0,0.0,0.28125,0.28125,0.0,0.0,0.0
